name	url	locale	address	price
Сироп кленовый Зелёная Линия, 200мл	https://www.perekrestok.ru/cat/252/p/sirop-klenovyj-zelenaa-linia-200ml-4155971	msk	Москва, Большой Патриарший переулок, 5	579,99 ₽/шт
Сироп Клубничный Маркет, 250мл	https://www.perekrestok.ru/cat/110/p/sirop-klubnicnyj-market-250ml-4277904	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Сироп со вкусом малины Маркет, 250мл	https://www.perekrestok.ru/cat/110/p/sirop-so-vkusom-maliny-market-250ml-4277905	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Сироп голубой агавы светлый Зелёная Линия, 240мл	https://www.perekrestok.ru/cat/252/p/sirop-goluboj-agavy-svetlyj-zelenaa-linia-240ml-4038274	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт
Сироп голубой агавы тёмный Зелёная Линия, 240мл	https://www.perekrestok.ru/cat/252/p/sirop-goluboj-agavy-temnyj-zelenaa-linia-240ml-4038275	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт
Сбитень Столбушино медовый с травами и пряностями Зелёная Линия, 250мл	https://www.perekrestok.ru/cat/110/p/sbiten-stolbusino-medovyj-s-travami-i-pranostami-zelenaa-linia-250ml-4200319	msk	Москва, Большой Патриарший переулок, 5	409,99 ₽/шт
Сироп кленовый Зелёная Линия, 200мл	https://www.perekrestok.ru/cat/252/p/sirop-klenovyj-zelenaa-linia-200ml-4155971	spb	Санкт-Петербург, Биржевая площадь, 4	579,99 ₽/шт
Сироп со вкусом малины Маркет, 250мл	https://www.perekrestok.ru/cat/110/p/sirop-so-vkusom-maliny-market-250ml-4277905	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сироп Клубничный Маркет, 250мл	https://www.perekrestok.ru/cat/110/p/sirop-klubnicnyj-market-250ml-4277904	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сироп Маракуйя Маркет, 250мл	https://www.perekrestok.ru/cat/110/p/sirop-marakuja-market-250ml-4277906	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт
Топпинг Махеевъ мягкая карамель, 300мл	https://www.perekrestok.ru/cat/110/p/topping-maheev-magkaa-karamel-300ml-4038129	spb	Санкт-Петербург, Биржевая площадь, 4	134,99 ₽/шт
Сироп Соленая Карамель Маркет, 250 мл	https://www.perekrestok.ru/cat/110/p/sirop-solenaa-karamel-market-250-ml-4277908	spb	Санкт-Петербург, Биржевая площадь, 4	139,99 ₽/шт
