name	url	locale	address	price	time
Соджу Jinro со вкусом и ароматом грейпфрута 13%, 360мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-grejpfruta-13-360ml-4063710	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соджу Jinro со вкусом и ароматом клубники 13%, 360мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-klubniki-13-360ml-4063715	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль Черный Русский с коньяком и вкусом миндаля слабоалкогольный 7.2%, 450мл	https://www.perekrestok.ru/cat/11/p/koktejl-cernyj-russkij-s-konakom-i-vkusom-mindala-slaboalkogolnyj-7-2-450ml-3977135	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль алкогольный Pre яблоко 20%, 500мл	https://www.perekrestok.ru/cat/11/p/koktejl-alkogolnyj-pre-abloko-20-500ml-4214648	msk	Москва, Большой Патриарший переулок, 5	529,99 ₽/шт	Sun Jul  7 23:20:00 2024
Спиртной напиток Aperol в наборе с бокалом 11%, 700мл	https://www.perekrestok.ru/cat/3/p/spirtnoj-napitok-aperol-v-nabore-s-bokalom-11-700ml-4309022	msk	Москва, Большой Патриарший переулок, 5	1 699,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Nemiroff Коктейль слабоалкогольный со вкусом дыни текилы лайма 7%, 330мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-koktejl-slaboalkogolnyj-so-vkusom-dyni-tekily-lajma-7-330ml-4297346	spb	Санкт-Петербург, Биржевая площадь, 4	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Nemiroff спиртованный газированный со вкусом ежевики рома и лайма, 330мл	https://www.perekrestok.ru/cat/11/p/napitok-nemiroff-spirtovannyj-gazirovannyj-so-vkusom-ezeviki-roma-i-lajma-330ml-4267799	spb	Санкт-Петербург, Биржевая площадь, 4	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток слабоалкогольный Relax Royal Dream газированный 5.5%, 330мл	https://www.perekrestok.ru/cat/11/p/napitok-slaboalkogolnyj-relax-royal-dream-gazirovannyj-5-5-330ml-4233118	spb	Санкт-Петербург, Биржевая площадь, 4	87,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соджу Jinro со вкусом и ароматом грейпфрута 13%, 360мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-grejpfruta-13-360ml-4063710	spb	Санкт-Петербург, Биржевая площадь, 4	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соджу Jinro со вкусом и ароматом клубники 13%, 360мл	https://www.perekrestok.ru/cat/11/p/sodzu-jinro-so-vkusom-i-aromatom-klubniki-13-360ml-4063715	spb	Санкт-Петербург, Биржевая площадь, 4	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
