name	url	locale	address	price
Сливки стерилизованные 10% Пр!ст, 195мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-10-pr-st-195ml-3431574	msk	Москва, Большой Патриарший переулок, 5	35,99 ₽/шт
Сливки питьевые ультрапастеризованные 10% Молочный Знак, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-ultrapasterizovannye-10-molocnyj-znak-500ml-4267108	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Сливки питьевые ультрапастеризованные 10% Зелёная Линия, 10х10г	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-ultrapasterizovannye-10-zelenaa-linia-10h10g-4271735	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт
Сливки Домик в деревне 10%, 950мл	https://www.perekrestok.ru/cat/115/p/slivki-domik-v-derevne-10-950ml-4249875	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Сливки пастеризованные Домик в деревне 10%, 270мл	https://www.perekrestok.ru/cat/115/p/slivki-pasterizovannye-domik-v-derevne-10-270ml-3496642	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Сливки стерилизованные Домик в деревне 10%, 480мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-domik-v-derevne-10-480ml-44849	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Сливки безлактозные питьевые стерилизованные 10% Зелёная Линия, 450мл	https://www.perekrestok.ru/cat/115/p/slivki-bezlaktoznye-pitevye-sterilizovannye-10-zelenaa-linia-450ml-4297352	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Сливки стерилизованные Домик в деревне 10%, 200мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-domik-v-derevne-10-200ml-44824	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт
Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-parmalat-comfort-bezlaktoznye-ultrapasterizovannye-11-500ml-4063899	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Сливки Альпенгурт безлактозные порционные 10%, 100мл	https://www.perekrestok.ru/cat/115/p/slivki-alpengurt-bezlaktoznye-porcionnye-10-100ml-4255363	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Сливки Ehrmann питьевые ультрапастеризованные для кофе 10%, 10х10мл	https://www.perekrestok.ru/cat/115/p/slivki-ehrmann-pitevye-ultrapasterizovannye-dla-kofe-10-10h10ml-4303544	msk	Москва, Большой Патриарший переулок, 5	63,99 ₽/шт
Сливки Село Зелёное стерилизованные 10%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-selo-zelenoe-sterilizovannye-10-500ml-3328522	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Сливки питьевые пастеризованные 10% Зелёная Линия, 200мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-pasterizovannye-10-zelenaa-linia-200ml-4249387	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Сливки Эконива Professional Line питьевые ультрапастеризованные 10%, 1л	https://www.perekrestok.ru/cat/115/p/slivki-ekoniva-professional-line-pitevye-ultrapasterizovannye-10-1l-4146100	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Сливки Из Молока Нашей Дойки питьевые пастеризованные 10%, 450мл	https://www.perekrestok.ru/cat/115/p/slivki-iz-moloka-nasej-dojki-pitevye-pasterizovannye-10-450ml-4074181	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт
Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 200мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-parmalat-comfort-bezlaktoznye-ultrapasterizovannye-11-200ml-4073940	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт
Сливки ультрапастеризованные 10% Сарафаново, 480мл	https://www.perekrestok.ru/cat/115/p/slivki-ultrapasterizovannye-10-sarafanovo-480ml-3634638	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Сливки ультрапастеризованные 20% Молочный Знак, 200г	https://www.perekrestok.ru/cat/115/p/slivki-ultrapasterizovannye-20-molocnyj-znak-200g-4316249	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Сливки питьевые ультрапастеризованные 20% Молочный Знак, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-ultrapasterizovannye-20-molocnyj-znak-500ml-4267107	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Сливки питьевые стерилизованные 20% Молочный знак, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-sterilizovannye-20-molocnyj-znak-500ml-4178851	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Сливки стерилизованные Домик в деревне 20%, 480мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-domik-v-derevne-20-480ml-2086159	msk	Москва, Большой Патриарший переулок, 5	194,99 ₽/шт
Сливки Простоквашино ультрапастеризованые 20%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-prostokvasino-ultrapasterizovanye-20-500ml-4264332	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Сливки стерилизованные Домик в деревне 20%, 200мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-domik-v-derevne-20-200ml-44831	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт
Сливки Parmalat стерилизованные 23%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-parmalat-sterilizovannye-23-500ml-78560	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Сливки сгущённые Алексеевское с сахаром 19%, 270мл	https://www.perekrestok.ru/cat/115/p/slivki-sgusennye-alekseevskoe-s-saharom-19-270ml-3643006	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Сливки сгущённые Волоконовское с сахаром 19%, 400мл	https://www.perekrestok.ru/cat/115/p/slivki-sgusennye-volokonovskoe-s-saharom-19-400ml-3485806	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Крем President Сливки для соуса ультрапастеризованный 23%, 500г	https://www.perekrestok.ru/cat/115/p/krem-president-slivki-dla-sousa-ultrapasterizovannyj-23-500g-4335256	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Крем Сливки Для Взбивания сливочный ультрапастеризованный 33% Молочный Знак, 500г	https://www.perekrestok.ru/cat/115/p/krem-slivki-dla-vzbivania-slivocnyj-ultrapasterizovannyj-33-molocnyj-znak-500g-4315603	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Крем Вкуснотеево сливки для взбивания 33%, 250мл	https://www.perekrestok.ru/cat/115/p/krem-vkusnoteevo-slivki-dla-vzbivania-33-250ml-4063280	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Сливки Петмол для взбивания ультрапастеризованные 33%, 1л	https://www.perekrestok.ru/cat/115/p/slivki-petmol-dla-vzbivania-ultrapasterizovannye-33-1l-3924342	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт
Сливки Parmalat для взбивания стерилизованные 35%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-parmalat-dla-vzbivania-sterilizovannye-35-500ml-70721	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт
Крем Альпенгурт Классик взбитый сливочный ультрапастеризованный 17%, 200г	https://www.perekrestok.ru/cat/115/p/krem-alpengurt-klassik-vzbityj-slivocnyj-ultrapasterizovannyj-17-200g-4208413	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Крем HuLaLa на растительном масле взбитый ультрапастеризованные 24%, 250г	https://www.perekrestok.ru/cat/115/p/krem-hulala-na-rastitelnom-masle-vzbityj-ultrapasterizovannye-24-250g-3622127	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт
Крем Альпенгурт Hopla взбитый на растительных маслах ультрапастеризованный 22%, 250г	https://www.perekrestok.ru/cat/115/p/krem-alpengurt-hopla-vzbityj-na-rastitelnyh-maslah-ultrapasterizovannyj-22-250g-4355034	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Сливки Клевер ультрапастеризованные 10%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-klever-ultrapasterizovannye-10-500ml-2029626	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сливки Домик в деревне 10%, 950мл	https://www.perekrestok.ru/cat/115/p/slivki-domik-v-derevne-10-950ml-4249875	spb	Санкт-Петербург, Биржевая площадь, 4	174,99 ₽/шт
Сливки Ehrmann питьевые ультрапастеризованные для кофе 10%, 10х10мл	https://www.perekrestok.ru/cat/115/p/slivki-ehrmann-pitevye-ultrapasterizovannye-dla-kofe-10-10h10ml-4303544	spb	Санкт-Петербург, Биржевая площадь, 4	63,99 ₽/шт
Сливки стерилизованные Домик в деревне 10%, 480мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-domik-v-derevne-10-480ml-44849	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сливки стерилизованные 10% Пр!ст, 195мл	https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-10-pr-st-195ml-3431574	spb	Санкт-Петербург, Биржевая площадь, 4	33,70 ₽/шт
Сливки Свитлогорье ультрапастеризованные 10%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-svitlogore-ultrapasterizovannye-10-500ml-3500128	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сливки питьевые ультрапастеризованные 10% Зелёная Линия, 10х10г	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-ultrapasterizovannye-10-zelenaa-linia-10h10g-4271735	spb	Санкт-Петербург, Биржевая площадь, 4	59,99 ₽/шт
Сливки питьевые Большая Кружка для чая и кофе ультрапастеризованные 10%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-bolsaa-kruzka-dla-caa-i-kofe-ultrapasterizovannye-10-500ml-3435848	spb	Санкт-Петербург, Биржевая площадь, 4	114,99 ₽/шт
Сливки Село Зелёное стерилизованные 10%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-selo-zelenoe-sterilizovannye-10-500ml-3328522	spb	Санкт-Петербург, Биржевая площадь, 4	164,99 ₽/шт
Сливки питьевые Parmalat Comfort безлактозные ультрапастеризованные 11%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-parmalat-comfort-bezlaktoznye-ultrapasterizovannye-11-500ml-4063899	spb	Санкт-Петербург, Биржевая площадь, 4	179,99 ₽/шт
Сливки безлактозные питьевые стерилизованные 10% Зелёная Линия, 450мл	https://www.perekrestok.ru/cat/115/p/slivki-bezlaktoznye-pitevye-sterilizovannye-10-zelenaa-linia-450ml-4297352	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сливки питьевые Большая Кружка ультрапастеризованные 10%, 200мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-bolsaa-kruzka-ultrapasterizovannye-10-200ml-3439447	spb	Санкт-Петербург, Биржевая площадь, 4	63,99 ₽/шт
Сливки Альпенгурт безлактозные порционные 10%, 100мл	https://www.perekrestok.ru/cat/115/p/slivki-alpengurt-bezlaktoznye-porcionnye-10-100ml-4255363	spb	Санкт-Петербург, Биржевая площадь, 4	67,99 ₽/шт
Сливки Parmalat питьевые ультрапастеризованные 11%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-parmalat-pitevye-ultrapasterizovannye-11-500ml-91814	spb	Санкт-Петербург, Биржевая площадь, 4	174,99 ₽/шт
Сливки Простоквашино ультрапастеризованые 10%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-prostokvasino-ultrapasterizovanye-10-500ml-4264333	spb	Санкт-Петербург, Биржевая площадь, 4	119,99 ₽/шт
Сливки питьевые ультрапастеризованные 10% Молочный Знак, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-ultrapasterizovannye-10-molocnyj-znak-500ml-4267108	spb	Санкт-Петербург, Биржевая площадь, 4	119,99 ₽/шт
Сливки питьевые Большая Кружка ультрапастеризованные 20%, 500мл	https://www.perekrestok.ru/cat/115/p/slivki-pitevye-bolsaa-kruzka-ultrapasterizovannye-20-500ml-3660345	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт
Сливки Вкуснотеево ультрапастеризованные 20%, 125мл	https://www.perekrestok.ru/cat/115/p/slivki-vkusnoteevo-ultrapasterizovannye-20-125ml-4008786	spb	Санкт-Петербург, Биржевая площадь, 4	49,99 ₽/шт
