name	url	locale	address	price	time
Смесь Семушка из орехов и клюквы, 100г	https://www.perekrestok.ru/cat/158/p/smes-semuska-iz-orehov-i-klukvy-100g-4027702	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Grand Master Гурман, 550г	https://www.perekrestok.ru/cat/158/p/smes-grand-master-gurman-550g-3645971	msk	Москва, Большой Патриарший переулок, 5	799,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Семушка из жареных орехов и изюма, 150г	https://www.perekrestok.ru/cat/158/p/smes-semuska-iz-zarenyh-orehov-i-izuma-150g-3428415	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Коктейль орехов и сухофруктов Маркет Collection, 135г	https://www.perekrestok.ru/cat/158/p/smes-koktejl-orehov-i-suhofruktov-market-collection-135g-4280428	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь орехов Семушка жареных сладкая с цукатами, 110г	https://www.perekrestok.ru/cat/158/p/smes-orehov-semuska-zarenyh-sladkaa-s-cukatami-110g-4268668	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь орехово-фруктовая Пр!ст, 500г	https://www.perekrestok.ru/cat/158/p/smes-orehovo-fruktovaa-pr-st-500g-4310049	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь сладкая Маркет, 167г	https://www.perekrestok.ru/cat/158/p/smes-sladkaa-market-167g-3640862	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь салатная Семушка, 80г	https://www.perekrestok.ru/cat/158/p/smes-salatnaa-semuska-80g-4267521	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль смесь сухофруктов и ядер орехов Маркет Перекрёсток, 150г	https://www.perekrestok.ru/cat/158/p/koktejl-smes-suhofruktov-i-ader-orehov-market-perekrestok-150g-3651949	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Сладкая к чаю Пр!ст, 100г	https://www.perekrestok.ru/cat/158/p/smes-sladkaa-k-cau-pr-st-100g-3640869	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананас-папайя цукаты Пр!ст, 100г	https://www.perekrestok.ru/cat/158/p/ananas-papaja-cukaty-pr-st-100g-3640867	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананас-папайя сушёные Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/158/p/ananas-papaja-susenye-market-perekrestok-200g-3469379	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь фруктов Filipino Sun ананас-банан-манго-сметанное яблоко подсушенная, 130г	https://www.perekrestok.ru/cat/158/p/smes-fruktov-filipino-sun-ananas-banan-mango-smetannoe-abloko-podsusennaa-130g-4052878	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Grand Master Гурман, 550г	https://www.perekrestok.ru/cat/158/p/smes-grand-master-gurman-550g-3645971	spb	Санкт-Петербург, Биржевая площадь, 4	799,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Семушка из жареных орехов и изюма, 150г	https://www.perekrestok.ru/cat/158/p/smes-semuska-iz-zarenyh-orehov-i-izuma-150g-3428415	spb	Санкт-Петербург, Биржевая площадь, 4	309,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Семушка из орехов и клюквы, 100г	https://www.perekrestok.ru/cat/158/p/smes-semuska-iz-orehov-i-klukvy-100g-4027702	spb	Санкт-Петербург, Биржевая площадь, 4	279,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Коктейль орехов и сухофруктов Маркет Collection, 135г	https://www.perekrestok.ru/cat/158/p/smes-koktejl-orehov-i-suhofruktov-market-collection-135g-4280428	spb	Санкт-Петербург, Биржевая площадь, 4	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь орехов Семушка жареных сладкая с цукатами, 110г	https://www.perekrestok.ru/cat/158/p/smes-orehov-semuska-zarenyh-sladkaa-s-cukatami-110g-4268668	spb	Санкт-Петербург, Биржевая площадь, 4	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь орехово-фруктовая Пр!ст, 500г	https://www.perekrestok.ru/cat/158/p/smes-orehovo-fruktovaa-pr-st-500g-4310049	spb	Санкт-Петербург, Биржевая площадь, 4	359,99 ₽/шт	Sun Jul  7 23:20:00 2024
Коктейль смесь сухофруктов и ядер орехов Маркет Перекрёсток, 150г	https://www.perekrestok.ru/cat/158/p/koktejl-smes-suhofruktov-i-ader-orehov-market-perekrestok-150g-3651949	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Сладкая к чаю Пр!ст, 100г	https://www.perekrestok.ru/cat/158/p/smes-sladkaa-k-cau-pr-st-100g-3640869	spb	Санкт-Петербург, Биржевая площадь, 4	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь семян Только Польза Восточная для салата, 60г	https://www.perekrestok.ru/cat/158/p/smes-seman-tolko-polza-vostocnaa-dla-salata-60g-4135669	spb	Санкт-Петербург, Биржевая площадь, 4	71,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ананас-папайя сушёные Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/158/p/ananas-papaja-susenye-market-perekrestok-200g-3469379	spb	Санкт-Петербург, Биржевая площадь, 4	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Семушка из орехов и клюквы, 100г	https://www.perekrestok.ru/cat/158/p/smes-semuska-iz-orehov-i-klukvy-100g-4027702	ekb	Екатеринбург, ул. Бориса Ельцина, 3	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Grand Master Гурман, 550г	https://www.perekrestok.ru/cat/158/p/smes-grand-master-gurman-550g-3645971	ekb	Екатеринбург, ул. Бориса Ельцина, 3	799,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь Коктейль орехов и сухофруктов Маркет Collection, 135г	https://www.perekrestok.ru/cat/158/p/smes-koktejl-orehov-i-suhofruktov-market-collection-135g-4280428	ekb	Екатеринбург, ул. Бориса Ельцина, 3	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Смесь орехов Семушка жареных сладкая с цукатами, 110г	https://www.perekrestok.ru/cat/158/p/smes-orehov-semuska-zarenyh-sladkaa-s-cukatami-110g-4268668	ekb	Екатеринбург, ул. Бориса Ельцина, 3	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
