name	url	locale	address	price	time
Сметана Parmalat Comfort безлактозная 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-parmalat-comfort-bezlaktoznaa-15-300g-4314536	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Parmalat Comfort безлактозная 20%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-parmalat-comfort-bezlaktoznaa-20-300g-4314537	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Крем Veg's Family со вкусом сметаны на основе кокосового масла, 320г	https://www.perekrestok.ru/cat/118/p/krem-vegs-family-so-vkusom-smetany-na-osnove-kokosovogo-masla-320g-4336853	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Чабан 40%, 400г	https://www.perekrestok.ru/cat/118/p/smetana-caban-40-400g-4222522	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Крем Veg's Family со вкусом сметаны на основе кокосового масла, 170г	https://www.perekrestok.ru/cat/118/p/krem-vegs-family-so-vkusom-smetany-na-osnove-kokosovogo-masla-170g-4336852	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Большая Кружка 10%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-bolsaa-kruzka-10-300g-4241378	spb	Санкт-Петербург, Биржевая площадь, 4	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Простоквашино 10%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-prostokvasino-10-300g-4121582	spb	Санкт-Петербург, Биржевая площадь, 4	74,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана 10% Сарафаново, 300г	https://www.perekrestok.ru/cat/118/p/smetana-10-sarafanovo-300g-4221361	spb	Санкт-Петербург, Биржевая площадь, 4	74,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Пискаревский 15%, 450г	https://www.perekrestok.ru/cat/118/p/smetana-piskarevskij-15-450g-3391034	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Пискаревский 15%, 200г	https://www.perekrestok.ru/cat/118/p/smetana-piskarevskij-15-200g-29910	spb	Санкт-Петербург, Биржевая площадь, 4	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Простоквашино 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-prostokvasino-15-300g-4121592	spb	Санкт-Петербург, Биржевая площадь, 4	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Брест-Литовск 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-brest-litovsk-15-300g-4262697	spb	Санкт-Петербург, Биржевая площадь, 4	74,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Большая кружка 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-bolsaa-kruzka-15-300g-4241377	spb	Санкт-Петербург, Биржевая площадь, 4	85,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Резной Палисад 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-reznoj-palisad-15-300g-3621532	spb	Санкт-Петербург, Биржевая площадь, 4	93,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Брест-Литовск 15%, 180г	https://www.perekrestok.ru/cat/118/p/smetana-brest-litovsk-15-180g-3627506	spb	Санкт-Петербург, Биржевая площадь, 4	67,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Домик в деревне 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-domik-v-derevne-15-300g-3665624	spb	Санкт-Петербург, Биржевая площадь, 4	64,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Северное Молоко Вологодская 15%, 400г	https://www.perekrestok.ru/cat/118/p/smetana-severnoe-moloko-vologodskaa-15-400g-3434521	spb	Санкт-Петербург, Биржевая площадь, 4	76,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана 15% Зелёная Линия, 180г	https://www.perekrestok.ru/cat/118/p/smetana-15-zelenaa-linia-180g-4183653	spb	Санкт-Петербург, Биржевая площадь, 4	77,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана 15% Молочный Знак, 180г	https://www.perekrestok.ru/cat/118/p/smetana-15-molocnyj-znak-180g-4320001	spb	Санкт-Петербург, Биржевая площадь, 4	55,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана 15% Молочный Знак, 300г	https://www.perekrestok.ru/cat/118/p/smetana-15-molocnyj-znak-300g-4272205	spb	Санкт-Петербург, Биржевая площадь, 4	83,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Parmalat Comfort безлактозная 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-parmalat-comfort-bezlaktoznaa-15-300g-4314536	spb	Санкт-Петербург, Биржевая площадь, 4	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Свежее Завтра 15%, 300г	https://www.perekrestok.ru/cat/118/p/smetana-svezee-zavtra-15-300g-4241376	spb	Санкт-Петербург, Биржевая площадь, 4	94,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сметана Простоквашино из топлёных сливок 15%, 260г	https://www.perekrestok.ru/cat/118/p/smetana-prostokvasino-iz-toplenyh-slivok-15-260g-3667086	spb	Санкт-Петербург, Биржевая площадь, 4	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
