name	url	locale	address	price
Продукт питьевой J7 Полезный завтрак Яблоко-Ананас-Банан-Киви-Манго, 300мл	https://www.perekrestok.ru/cat/213/p/produkt-pitevoj-j7-poleznyj-zavtrak-abloko-ananas-banan-kivi-mango-300ml-4123388	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт
Коктейль J7 из вишни, бананов и яблок с овсяными хлопьями, 300мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-iz-visni-bananov-i-ablok-s-ovsanymi-hlopami-300ml-4227655	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Пюре Смузи малина-ежевика с соком прямого отжима Зелёная Линия, 270мл	https://www.perekrestok.ru/cat/257/p/pure-smuzi-malina-ezevika-s-sokom-pramogo-otzima-zelenaa-linia-270ml-4106323	msk	Москва, Большой Патриарший переулок, 5	116,99 ₽/шт
Смузи манго-апельсин с соком прямого отжима Зелёная Линия, 270мл	https://www.perekrestok.ru/cat/257/p/smuzi-mango-apelsin-s-sokom-pramogo-otzima-zelenaa-linia-270ml-4106325	msk	Москва, Большой Патриарший переулок, 5	116,99 ₽/шт
Напиток сокосодержащий Добрый Ягодный микс обогащённый витаминами для детей, 950мл	https://www.perekrestok.ru/cat/213/p/napitok-sokosoderzasij-dobryj-agodnyj-miks-obogasennyj-vitaminami-dla-detej-950ml-4192482	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Напиток сокосодержащий Добрый яблочно-лимонный для детей, 950мл	https://www.perekrestok.ru/cat/213/p/napitok-sokosoderzasij-dobryj-ablocno-limonnyj-dla-detej-950ml-4192481	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Напиток сокосодержащий Добрый Тропический микс обогащённый витаминами для детей, 950мл	https://www.perekrestok.ru/cat/213/p/napitok-sokosoderzasij-dobryj-tropiceskij-miks-obogasennyj-vitaminami-dla-detej-950ml-4192483	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Пюре Смузи Фитнес с семенами чиа Зелёная Линия, 120г	https://www.perekrestok.ru/cat/253/p/pure-smuzi-fitnes-s-semenami-cia-zelenaa-linia-120g-4304546	msk	Москва, Большой Патриарший переулок, 5	71,99 ₽/шт
Пюре Смузи Тонус с семенами чиа и льна Зелёная Линия, 120г	https://www.perekrestok.ru/cat/253/p/pure-smuzi-tonus-s-semenami-cia-i-lna-zelenaa-linia-120g-4304545	msk	Москва, Большой Патриарший переулок, 5	71,99 ₽/шт
Пюре Смузи Энергия с семенами чиа льна и гуараной Зелёная Линия, 120г	https://www.perekrestok.ru/cat/253/p/pure-smuzi-energia-s-semenami-cia-lna-i-guaranoj-zelenaa-linia-120g-4304544	msk	Москва, Большой Патриарший переулок, 5	71,99 ₽/шт
Смузи Be Up фруктовый манго апельсин маракуйя, 300мл	https://www.perekrestok.ru/cat/213/p/smuzi-be-up-fruktovyj-mango-apelsin-marakuja-300ml-4239127	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Смузи Be Up фруктовый банан маракуйя, 300мл	https://www.perekrestok.ru/cat/213/p/smuzi-be-up-fruktovyj-banan-marakuja-300ml-4239124	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
