name	url	locale	address	price	time
Палочки кукурузные Cheetos Сыр, 50г	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	msk	Москва, Большой Патриарший переулок, 5	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукурузные снеки Cheetos Сыр, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-syr-85g-3196707	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукурузные снеки Cheetos Кетчуп, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики кукурузные СырBall со вкусом сыра, 140г	https://www.perekrestok.ru/cat/709/p/sariki-kukuruznye-syrball-so-vkusom-syra-140g-3437912	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Cheetos Ветчина и сыр кукурузные, 50г	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-vetcina-i-syr-kukuruznye-50g-4281894	msk	Москва, Большой Патриарший переулок, 5	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки кукурузные Cheetos Краб, 85г	https://www.perekrestok.ru/cat/709/p/sneki-kukuruznye-cheetos-krab-85g-4157228	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Cheetos кукурузные со вкусом краба, 50г	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-kukuruznye-so-vkusom-kraba-50g-4237428	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки кукурузные Holy Corn Томат, 50г	https://www.perekrestok.ru/cat/709/p/sneki-kukuruznye-holy-corn-tomat-50g-4204923	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукуруза Грызли жареная со вкусом бекона, 50г	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-bekona-50g-4345228	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукуруза Грызли жареная со вкусом васаби, 50г	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-vasabi-50g-4345231	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукуруза Грызли жареная со вкусом хрена, 50г	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-hrena-50g-4345224	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики СырBall кукурузные со вкусом кетчупа, 140г	https://www.perekrestok.ru/cat/709/p/sariki-syrball-kukuruznye-so-vkusom-ketcupa-140g-4276923	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Сыр Cheesky Хрустящая Моцарелла со вкусом лука со сметаной 30%, 20г	https://www.perekrestok.ru/cat/709/p/sneki-syr-cheesky-hrustasaa-mocarella-so-vkusom-luka-so-smetanoj-30-20g-3956395	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Сырцееды копчёный 30%, 23г	https://www.perekrestok.ru/cat/709/p/syr-syrceedy-kopcenyj-30-23g-3659411	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Cheesky Хрустящая Моцарелла со вкусом охотничьих колбасок, 20г	https://www.perekrestok.ru/cat/709/p/syr-cheesky-hrustasaa-mocarella-so-vkusom-ohotnicih-kolbasok-20g-4188462	msk	Москва, Большой Патриарший переулок, 5	53,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лавашики Azar хрустящие со вкусом и ароматом сыр с чесноком, 90г	https://www.perekrestok.ru/cat/709/p/lavasiki-azar-hrustasie-so-vkusom-i-aromatom-syr-s-cesnokom-90g-4260002	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки кукурузные Cheetos Сыр, 50г	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	spb	Санкт-Петербург, Биржевая площадь, 4	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки Cheetos кукурузные Кетчуп, 50г	https://www.perekrestok.ru/cat/709/p/palocki-cheetos-kukuruznye-ketcup-50g-4179193	spb	Санкт-Петербург, Биржевая площадь, 4	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукурузные снеки Cheetos Кетчуп, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	spb	Санкт-Петербург, Биржевая площадь, 4	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики кукурузные СырBall со вкусом сыра, 140г	https://www.perekrestok.ru/cat/709/p/sariki-kukuruznye-syrball-so-vkusom-syra-140g-3437912	spb	Санкт-Петербург, Биржевая площадь, 4	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Сырколбас кукурузные со вкусом сыр и колбаса, 100г	https://www.perekrestok.ru/cat/709/p/sneki-syrkolbas-kukuruznye-so-vkusom-syr-i-kolbasa-100g-4233208	spb	Санкт-Петербург, Биржевая площадь, 4	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки кукурузные Cheetos Краб, 85г	https://www.perekrestok.ru/cat/709/p/sneki-kukuruznye-cheetos-krab-85g-4157228	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Сырколбас кукурузные со вкусом двойного сыра, 100г	https://www.perekrestok.ru/cat/709/p/sneki-syrkolbas-kukuruznye-so-vkusom-dvojnogo-syra-100g-4210462	spb	Санкт-Петербург, Биржевая площадь, 4	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукуруза Грызли жареная со вкусом бекона, 50г	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-bekona-50g-4345228	spb	Санкт-Петербург, Биржевая площадь, 4	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукуруза Грызли жареная со вкусом васаби, 50г	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-vasabi-50g-4345231	spb	Санкт-Петербург, Биржевая площадь, 4	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукуруза Грызли жареная со вкусом хрена, 50г	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-hrena-50g-4345224	spb	Санкт-Петербург, Биржевая площадь, 4	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики СырBall кукурузные со вкусом кетчупа, 140г	https://www.perekrestok.ru/cat/709/p/sariki-syrball-kukuruznye-so-vkusom-ketcupa-140g-4276923	spb	Санкт-Петербург, Биржевая площадь, 4	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки кукурузные Cheetos Сыр, 50г	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	ekb	Екатеринбург, ул. Бориса Ельцина, 3	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукурузные снеки Cheetos Сыр, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-syr-85g-3196707	ekb	Екатеринбург, ул. Бориса Ельцина, 3	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки Cheetos кукурузные Кетчуп, 50г	https://www.perekrestok.ru/cat/709/p/palocki-cheetos-kukuruznye-ketcup-50g-4179193	ekb	Екатеринбург, ул. Бориса Ельцина, 3	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукурузные снеки Cheetos Кетчуп, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	ekb	Екатеринбург, ул. Бориса Ельцина, 3	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики кукурузные СырBall со вкусом сыра, 140г	https://www.perekrestok.ru/cat/709/p/sariki-kukuruznye-syrball-so-vkusom-syra-140g-3437912	ekb	Екатеринбург, ул. Бориса Ельцина, 3	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Зерна кукурузы обжаренные солёные Маркет, 100г	https://www.perekrestok.ru/cat/709/p/zerna-kukuruzy-obzarennye-solenye-market-100g-4312216	ekb	Екатеринбург, ул. Бориса Ельцина, 3	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Cheetos Ветчина и сыр кукурузные, 50г	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-vetcina-i-syr-kukuruznye-50g-4281894	ekb	Екатеринбург, ул. Бориса Ельцина, 3	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки кукурузные Cheetos Краб, 85г	https://www.perekrestok.ru/cat/709/p/sneki-kukuruznye-cheetos-krab-85g-4157228	ekb	Екатеринбург, ул. Бориса Ельцина, 3	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Сырколбас кукурузные со вкусом сыр и колбаса, 100г	https://www.perekrestok.ru/cat/709/p/sneki-syrkolbas-kukuruznye-so-vkusom-syr-i-kolbasa-100g-4233208	ekb	Екатеринбург, ул. Бориса Ельцина, 3	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Cheetos кукурузные со вкусом краба, 50г	https://www.perekrestok.ru/cat/709/p/sneki-cheetos-kukuruznye-so-vkusom-kraba-50g-4237428	ekb	Екатеринбург, ул. Бориса Ельцина, 3	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Сырколбас кукурузные со вкусом двойного сыра, 100г	https://www.perekrestok.ru/cat/709/p/sneki-syrkolbas-kukuruznye-so-vkusom-dvojnogo-syra-100g-4210462	ekb	Екатеринбург, ул. Бориса Ельцина, 3	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукуруза Грызли жареная со вкусом васаби, 50г	https://www.perekrestok.ru/cat/709/p/kukuruza-gryzli-zarenaa-so-vkusom-vasabi-50g-4345231	ekb	Екатеринбург, ул. Бориса Ельцина, 3	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики СырBall кукурузные со вкусом кетчупа, 140г	https://www.perekrestok.ru/cat/709/p/sariki-syrball-kukuruznye-so-vkusom-ketcupa-140g-4276923	ekb	Екатеринбург, ул. Бориса Ельцина, 3	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Снеки Сыр Cheesky Хрустящая Моцарелла со вкусом лука со сметаной 30%, 20г	https://www.perekrestok.ru/cat/709/p/sneki-syr-cheesky-hrustasaa-mocarella-so-vkusom-luka-so-smetanoj-30-20g-3956395	ekb	Екатеринбург, ул. Бориса Ельцина, 3	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки кукурузные Cheetos Сыр, 50г	https://www.perekrestok.ru/cat/709/p/palocki-kukuruznye-cheetos-syr-50g-4179192	nn	Нижний Новгород, площадь Минина и Пожарского, 2	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукурузные снеки Cheetos Сыр, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-syr-85g-3196707	nn	Нижний Новгород, площадь Минина и Пожарского, 2	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки Cheetos кукурузные Кетчуп, 50г	https://www.perekrestok.ru/cat/709/p/palocki-cheetos-kukuruznye-ketcup-50g-4179193	nn	Нижний Новгород, площадь Минина и Пожарского, 2	54,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кукурузные снеки Cheetos Кетчуп, 85г	https://www.perekrestok.ru/cat/709/p/kukuruznye-sneki-cheetos-ketcup-85g-3224542	nn	Нижний Новгород, площадь Минина и Пожарского, 2	97,99 ₽/шт	Sun Jul  7 23:20:00 2024
Шарики кукурузные СырBall со вкусом сыра, 140г	https://www.perekrestok.ru/cat/709/p/sariki-kukuruznye-syrball-so-vkusom-syra-140g-3437912	nn	Нижний Новгород, площадь Минина и Пожарского, 2	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Зерна кукурузы обжаренные солёные Маркет, 100г	https://www.perekrestok.ru/cat/709/p/zerna-kukuruzy-obzarennye-solenye-market-100g-4312216	nn	Нижний Новгород, площадь Минина и Пожарского, 2	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
