name	url	locale	address	price
Сок яблочный из яблок сорта гренни Смит Market Collection, 1л	https://www.perekrestok.ru/cat/211/p/sok-ablocnyj-iz-ablok-sorta-grenni-smit-market-collection-1l-4100578	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Сок гранатовый Market Collection, 250мл	https://www.perekrestok.ru/cat/211/p/sok-granatovyj-market-collection-250ml-4100581	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Сок гранатовый прямого отжима неосветлённый пастеризованный Market Collection, 1л	https://www.perekrestok.ru/cat/211/p/sok-granatovyj-pramogo-otzima-neosvetlennyj-pasterizovannyj-market-collection-1l-4145061	msk	Москва, Большой Патриарший переулок, 5	409,99 ₽/шт
Сок апельсиновый с мякотью Market Collection, 250мл	https://www.perekrestok.ru/cat/211/p/sok-apelsinovyj-s-makotu-market-collection-250ml-4100579	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Сок томатный с мякотью восстановленный с солью Маркет Перекрёсток, 1л	https://www.perekrestok.ru/cat/211/p/sok-tomatnyj-s-makotu-vosstanovlennyj-s-solu-market-perekrestok-1l-3612826	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Сок яблочный восстановленный Маркет Перекрёсток, 1л	https://www.perekrestok.ru/cat/211/p/sok-ablocnyj-vosstanovlennyj-market-perekrestok-1l-3612824	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Сок яблочный из яблок сорта Гренни Смит Market Collection, 250мл	https://www.perekrestok.ru/cat/211/p/sok-ablocnyj-iz-ablok-sorta-grenni-smit-market-collection-250ml-4100577	msk	Москва, Большой Патриарший переулок, 5	81,99 ₽/шт
Сок Сады Придонья яблочный прямого отжима без сахара, 1л	https://www.perekrestok.ru/cat/211/p/sok-sady-pridona-ablocnyj-pramogo-otzima-bez-sahara-1l-26869	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Сок Сады Придонья зелёное яблоко для детского питания, 1л	https://www.perekrestok.ru/cat/211/p/sok-sady-pridona-zelenoe-abloko-dla-detskogo-pitania-1l-80142	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Сок Добрый Яблоко, 1л	https://www.perekrestok.ru/cat/211/p/sok-dobryj-abloko-1l-58049	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
