name	url	locale	address	price
Соль морская йодированная поваренная пищевая Маркет Перекрёсток, 500г	https://www.perekrestok.ru/cat/101/p/sol-morskaa-jodirovannaa-povarennaa-pisevaa-market-perekrestok-500g-3652519	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Соль гималайская Зелёная Линия, 400г	https://www.perekrestok.ru/cat/101/p/sol-gimalajskaa-zelenaa-linia-400g-4221321	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Соль Адыгейская Абадзехская поваренная пищевая Маркет Перекрёсток, 300г	https://www.perekrestok.ru/cat/101/p/sol-adygejskaa-abadzehskaa-povarennaa-pisevaa-market-perekrestok-300g-4105539	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт
Соль пищевая универсальная с грузинскими травами Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/101/p/sol-pisevaa-universalnaa-s-gruzinskimi-travami-market-perekrestok-200g-4105542	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Соль Адыгейская Бжедугская поваренная пищевая Маркет Перекрёсток, 300г	https://www.perekrestok.ru/cat/101/p/sol-adygejskaa-bzedugskaa-povarennaa-pisevaa-market-perekrestok-300g-4105540	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт
Соль с грузинскими травами традиционная пищевая Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/101/p/sol-s-gruzinskimi-travami-tradicionnaa-pisevaa-market-perekrestok-200g-4105541	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Соль поваренная пищевая крупная, 1кг	https://www.perekrestok.ru/cat/101/p/sol-povarennaa-pisevaa-krupnaa-1kg-3255026	msk	Москва, Большой Патриарший переулок, 5	12,50 ₽/шт
Соль поваренная пищевая мелкая, 1кг	https://www.perekrestok.ru/cat/101/p/sol-povarennaa-pisevaa-melkaa-1kg-3231335	msk	Москва, Большой Патриарший переулок, 5	20,90 ₽/шт
Соль Salina каменная поваренная пищевая помол №1, 1кг	https://www.perekrestok.ru/cat/101/p/sol-salina-kamennaa-povarennaa-pisevaa-pomol-no1-1kg-3450465	msk	Москва, Большой Патриарший переулок, 5	37,99 ₽/шт
Соль Salina пищевая каменная, 1кг	https://www.perekrestok.ru/cat/101/p/sol-salina-pisevaa-kamennaa-1kg-3958082	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт
Соль Илецкая поваренная пищевая высшего сорта помол 1, 500г	https://www.perekrestok.ru/cat/101/p/sol-ileckaa-povarennaa-pisevaa-vyssego-sorta-pomol-1-500g-3613637	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Соль Валетек пищевая с пониженным содержанием натрия-калий-магний-йод, 350г	https://www.perekrestok.ru/cat/101/p/sol-valetek-pisevaa-s-ponizennym-soderzaniem-natria-kalij-magnij-jod-350g-3393119	msk	Москва, Большой Патриарший переулок, 5	78,99 ₽/шт
Соль Илецкая поваренная пищевая высшего сорта помол 1, 180г	https://www.perekrestok.ru/cat/101/p/sol-ileckaa-povarennaa-pisevaa-vyssego-sorta-pomol-1-180g-3613636	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт
Соль Крымская Морская пищевая натуральная высший сорт Зелёная Линия, 500г	https://www.perekrestok.ru/cat/101/p/sol-krymskaa-morskaa-pisevaa-naturalnaa-vyssij-sort-zelenaa-linia-500g-4259187	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Соль 4Life морская йодированная пищевая мелкая, 250г	https://www.perekrestok.ru/cat/101/p/sol-4life-morskaa-jodirovannaa-pisevaa-melkaa-250g-3507368	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт
Соль 4life морская атлантическая йодированная пищевая мелкая, 500г	https://www.perekrestok.ru/cat/101/p/sol-4life-morskaa-atlanticeskaa-jodirovannaa-pisevaa-melkaa-500g-4117216	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
