name	url	locale	address	price	time
Форель радужная Extra Fish филе-кусок с кожей слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-extra-fish-file-kusok-s-kozej-slabosolenaa-200g-3460853	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Русское Море филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-russkoe-more-file-kusok-slabosolenaa-200g-3387455	msk	Москва, Большой Патриарший переулок, 5	519,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель радужная филе-кусок слабосолёная Пр!ст, 130г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-file-kusok-slabosolenaa-pr-st-130g-4066444	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Рыба-Рыба радужная слабосолёная филе-ломтики, 100г	https://www.perekrestok.ru/cat/812/p/forel-ryba-ryba-raduznaa-slabosolenaa-file-lomtiki-100g-4349602	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Меридиан радужная филе-кусок с кожей слабосоленая охлажденная, 200г	https://www.perekrestok.ru/cat/812/p/forel-meridian-raduznaa-file-kusok-s-kozej-slabosolenaa-ohlazdennaa-200g-4285178	msk	Москва, Большой Патриарший переулок, 5	466,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Балтийский Берег филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-baltijskij-bereg-file-kusok-slabosolenaa-200g-3923407	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Горбуша 3 Fish слабосолёная кусочки для бутербродов, 80г	https://www.perekrestok.ru/cat/812/p/gorbusa-3-fish-slabosolenaa-kusocki-dla-buterbrodov-80g-3671589	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Русское Море филе-ломтики слабосолёная, 120г	https://www.perekrestok.ru/cat/812/p/forel-russkoe-more-file-lomtiki-slabosolenaa-120g-3387456	msk	Москва, Большой Патриарший переулок, 5	389,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель радужная слабосоленая филе-кусок с кожей Маркет, 150г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-slabosolenaa-file-kusok-s-kozej-market-150g-4263077	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Gustafsen радужная соленая филе-кусок, 150г	https://www.perekrestok.ru/cat/812/p/forel-gustafsen-raduznaa-solenaa-file-kusok-150g-4217902	msk	Москва, Большой Патриарший переулок, 5	389,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сёмга Русское Море филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/semga-russkoe-more-file-kusok-slabosolenaa-200g-3387452	msk	Москва, Большой Патриарший переулок, 5	699,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель нарезка слабосолёная	https://www.perekrestok.ru/cat/812/p/forel-narezka-slabosolenaa-6204	msk	Москва, Большой Патриарший переулок, 5	2 499,00 ₽/кг	Sun Jul  7 23:20:00 2024
Форель Горная слабосоленая филе-кусок на коже, 200г	https://www.perekrestok.ru/cat/812/p/forel-gornaa-slabosolenaa-file-kusok-na-koze-200g-4292150	msk	Москва, Большой Патриарший переулок, 5	519,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Рыба-Рыба радужная слабосолёная филе-кусок, 200г	https://www.perekrestok.ru/cat/812/p/forel-ryba-ryba-raduznaa-slabosolenaa-file-kusok-200g-4349601	msk	Москва, Большой Патриарший переулок, 5	479,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сёмга Gustafsen слабосолёная нарезка	https://www.perekrestok.ru/cat/812/p/semga-gustafsen-slabosolenaa-narezka-6098	msk	Москва, Большой Патриарший переулок, 5	3 390,00 ₽/кг	Sun Jul  7 23:20:00 2024
Семга Gustafsen филе-кусок солёная, 150г	https://www.perekrestok.ru/cat/175/p/semga-gustafsen-file-kusok-solenaa-150g-4357050	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт	Sun Jul  7 23:20:00 2024
Филе сельди атлантической слабосоленое в масле Маркет, 250г	https://www.perekrestok.ru/cat/812/p/file-seldi-atlanticeskoj-slabosolenoe-v-masle-market-250g-4275608	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Атлантика Малосольная филе-кусочки в масле, 240г	https://www.perekrestok.ru/cat/175/p/seld-atlantika-malosolnaa-file-kusocki-v-masle-240g-4056953	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь слабосолёная 400+	https://www.perekrestok.ru/cat/812/p/seld-slabosolenaa-400-70039	msk	Москва, Большой Патриарший переулок, 5	399,00 ₽/кг	Sun Jul  7 23:20:00 2024
Сельдь Балтийский Берег жирная специального посола, 650г	https://www.perekrestok.ru/cat/812/p/seld-baltijskij-bereg-zirnaa-specialnogo-posola-650g-3463843	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Филе-кусочки в уксусно-масляной заливке, 280	https://www.perekrestok.ru/cat/812/p/seld-file-kusocki-v-uksusno-maslanoj-zalivke-280-4255358	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сельдь Капитанская Бочка тихоокеанская солёная филе в винной заливке, 150г	https://www.perekrestok.ru/cat/175/p/seld-kapitanskaa-bocka-tihookeanskaa-solenaa-file-v-vinnoj-zalivke-150g-4337858	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель нарезка слабосолёная	https://www.perekrestok.ru/cat/812/p/forel-narezka-slabosolenaa-6204	spb	Санкт-Петербург, Биржевая площадь, 4	2 499,00 ₽/кг	Sun Jul  7 23:20:00 2024
Форель Балтийский Берег филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-baltijskij-bereg-file-kusok-slabosolenaa-200g-3923407	spb	Санкт-Петербург, Биржевая площадь, 4	559,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Русское Море филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-russkoe-more-file-kusok-slabosolenaa-200g-3387455	spb	Санкт-Петербург, Биржевая площадь, 4	639,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Gustafsen радужная соленая филе-кусок, 150г	https://www.perekrestok.ru/cat/812/p/forel-gustafsen-raduznaa-solenaa-file-kusok-150g-4217902	spb	Санкт-Петербург, Биржевая площадь, 4	389,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Мередиан Мирамар филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-meredian-miramar-file-kusok-slabosolenaa-200g-4132667	spb	Санкт-Петербург, Биржевая площадь, 4	349,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель филе радужная соленая	https://www.perekrestok.ru/cat/812/p/forel-file-raduznaa-solenaa-4325789	spb	Санкт-Петербург, Биржевая площадь, 4	2 299,00 ₽/кг	Sun Jul  7 23:20:00 2024
Форель Русское Море филе-ломтики слабосолёная, 120г	https://www.perekrestok.ru/cat/812/p/forel-russkoe-more-file-lomtiki-slabosolenaa-120g-3387456	spb	Санкт-Петербург, Биржевая площадь, 4	459,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сёмга Русское Море филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/semga-russkoe-more-file-kusok-slabosolenaa-200g-3387452	spb	Санкт-Петербург, Биржевая площадь, 4	679,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель радужная слабосоленая филе-кусок с кожей Маркет, 150г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-slabosolenaa-file-kusok-s-kozej-market-150g-4263077	spb	Санкт-Петербург, Биржевая площадь, 4	319,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель радужная Меридиан  филе-ломтики слабосолёная, 120г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-meridian-file-lomtiki-slabosolenaa-120g-11778	spb	Санкт-Петербург, Биржевая площадь, 4	279,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель радужная Extra Fish филе-кусок с кожей слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-extra-fish-file-kusok-s-kozej-slabosolenaa-200g-3460853	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Рыба-Рыба радужная слабосолёная филе-ломтики, 100г	https://www.perekrestok.ru/cat/812/p/forel-ryba-ryba-raduznaa-slabosolenaa-file-lomtiki-100g-4349602	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Рыба Горбуша ломтики, 150г	https://www.perekrestok.ru/cat/812/p/ryba-gorbusa-lomtiki-150g-3306370	spb	Санкт-Петербург, Биржевая площадь, 4	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Горбуша 3 Fish слабосолёная кусочки для бутербродов, 80г	https://www.perekrestok.ru/cat/812/p/gorbusa-3-fish-slabosolenaa-kusocki-dla-buterbrodov-80g-3671589	spb	Санкт-Петербург, Биржевая площадь, 4	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кета Kingfish слабосолёные ломтики с укропом и розовым перцем, 120г	https://www.perekrestok.ru/cat/812/p/keta-kingfish-slabosolenye-lomtiki-s-ukropom-i-rozovym-percem-120g-4102531	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Кала я Марьяпоят радужная соленая филе с базиликом	https://www.perekrestok.ru/cat/812/p/forel-kala-a-marapoat-raduznaa-solenaa-file-s-bazilikom-4284325	spb	Санкт-Петербург, Биржевая площадь, 4	1 999,00 ₽/кг	Sun Jul  7 23:20:00 2024
Форель Горная слабосоленая филе-слайсы, 100г	https://www.perekrestok.ru/cat/812/p/forel-gornaa-slabosolenaa-file-slajsy-100g-4292151	spb	Санкт-Петербург, Биржевая площадь, 4	339,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель радужная филе-ломтики слабосоленая Маркет, 120г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-file-lomtiki-slabosolenaa-market-120g-4299647	spb	Санкт-Петербург, Биржевая площадь, 4	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сёмга Русское Море филе-ломтики слабосолёная, 120г	https://www.perekrestok.ru/cat/812/p/semga-russkoe-more-file-lomtiki-slabosolenaa-120g-3387453	spb	Санкт-Петербург, Биржевая площадь, 4	589,99 ₽/шт	Sun Jul  7 23:20:00 2024
