name	url	locale	address	price	time
Соломка Жуковский Хлеб сдобная с маком, 200г	https://www.perekrestok.ru/cat/714/p/solomka-zukovskij-hleb-sdobnaa-s-makom-200g-3483752	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка Жуковский Хлеб сдобная с ванилью, 200г	https://www.perekrestok.ru/cat/714/p/solomka-zukovskij-hleb-sdobnaa-s-vanilu-200g-3483753	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка сладкая брусника Зелёная Линия, 150г	https://www.perekrestok.ru/cat/714/p/solomka-sladkaa-brusnika-zelenaa-linia-150g-4132873	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка сладкая черная смородина Зелёная Линия, 150г	https://www.perekrestok.ru/cat/714/p/solomka-sladkaa-cernaa-smorodina-zelenaa-linia-150g-4132872	msk	Москва, Большой Патриарший переулок, 5	95,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка Арнаут сладкая, 350г	https://www.perekrestok.ru/cat/714/p/solomka-arnaut-sladkaa-350g-3267872	spb	Санкт-Петербург, Биржевая площадь, 4	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка сладкая брусника Зелёная Линия, 150г	https://www.perekrestok.ru/cat/714/p/solomka-sladkaa-brusnika-zelenaa-linia-150g-4132873	spb	Санкт-Петербург, Биржевая площадь, 4	83,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка сладкая черная смородина Зелёная Линия, 150г	https://www.perekrestok.ru/cat/714/p/solomka-sladkaa-cernaa-smorodina-zelenaa-linia-150g-4132872	spb	Санкт-Петербург, Биржевая площадь, 4	83,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка с начинкой со вкусом вишни в темном шоколаде Зелёная Линия, 80г	https://www.perekrestok.ru/cat/714/p/solomka-s-nacinkoj-so-vkusom-visni-v-temnom-sokolade-zelenaa-linia-80g-4282782	spb	Санкт-Петербург, Биржевая площадь, 4	83,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка с начинкой со вкусом лесных ягод в темном шоколаде Зелёная Линия, 80г	https://www.perekrestok.ru/cat/714/p/solomka-s-nacinkoj-so-vkusom-lesnyh-agod-v-temnom-sokolade-zelenaa-linia-80g-4282783	spb	Санкт-Петербург, Биржевая площадь, 4	75,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка Жуковский Хлеб сдобная с маком, 200г	https://www.perekrestok.ru/cat/714/p/solomka-zukovskij-hleb-sdobnaa-s-makom-200g-3483752	spb	Санкт-Петербург, Биржевая площадь, 4	53,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка Жуковский Хлеб сдобная с ванилью, 200г	https://www.perekrestok.ru/cat/714/p/solomka-zukovskij-hleb-sdobnaa-s-vanilu-200g-3483753	spb	Санкт-Петербург, Биржевая площадь, 4	53,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка Жуковский Хлеб сдобная с ванилью, 200г	https://www.perekrestok.ru/cat/714/p/solomka-zukovskij-hleb-sdobnaa-s-vanilu-200g-3483753	ekb	Екатеринбург, ул. Бориса Ельцина, 3	37,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка сладкая брусника Зелёная Линия, 150г	https://www.perekrestok.ru/cat/714/p/solomka-sladkaa-brusnika-zelenaa-linia-150g-4132873	ekb	Екатеринбург, ул. Бориса Ельцина, 3	65,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соломка Жуковский Хлеб сдобная с солью, 200г	https://www.perekrestok.ru/cat/714/p/solomka-zukovskij-hleb-sdobnaa-s-solu-200g-3483751	ekb	Екатеринбург, ул. Бориса Ельцина, 3	37,99 ₽/шт	Sun Jul  7 23:20:00 2024
