name	url	locale	address	price
Сосиски из грудки индейки и говядины из мяса птицы 1 сорт Зелёная Линия, 240г	https://www.perekrestok.ru/cat/134/p/sosiski-iz-grudki-indejki-i-govadiny-iz-masa-pticy-1-sort-zelenaa-linia-240g-4056912	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Сосиски из мяса птицы с моцареллой и базиликом вареные 1 сорт Зелёная Линия, 250г	https://www.perekrestok.ru/cat/134/p/sosiski-iz-masa-pticy-s-mocarelloj-i-bazilikom-varenye-1-sort-zelenaa-linia-250g-4221323	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Сосиски из грудки индейки с брокколи и морковью высший сорт Зелёная Линия, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-iz-grudki-indejki-s-brokkoli-i-morkovu-vyssij-sort-zelenaa-linia-300g-4077764	msk	Москва, Большой Патриарший переулок, 5	419,99 ₽/шт
Сосиски варёные Клинский Клинские, 460г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-klinskij-klinskie-460g-3653933	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт
Сосиски Папа Может Сочные вареные категории В, 410г	https://www.perekrestok.ru/cat/134/p/sosiski-papa-mozet-socnye-varenye-kategorii-v-410g-4343709	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Сосиски варёные Ближние Горки с сыром, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-bliznie-gorki-s-syrom-450g-3489558	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Сосиски Владимирский Состав с мраморной говядиной Black Angus вареные категории Б, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-vladimirskij-sostav-s-mramornoj-govadinoj-black-angus-varenye-kategorii-b-450g-4279045	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Сосиски Мясницкий Ряд Венский завтрак из мяса кур варёные, 320г	https://www.perekrestok.ru/cat/134/p/sosiski-masnickij-rad-venskij-zavtrak-iz-masa-kur-varenye-320g-4353466	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Колбаски варёные МД Бородина Крошка нямми, 240г	https://www.perekrestok.ru/cat/134/p/kolbaski-varenye-md-borodina-kroska-nammi-240g-99657	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Сосиски Идель Особые с говядиной Халяль, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-idel-osobye-s-govadinoj-halal-300g-4251908	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Сосиски из мяса индейки со сливками Зелёная Линия, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-iz-masa-indejki-so-slivkami-zelenaa-linia-300g-4316920	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Сосиски Идель Восточные Из Курицы вареные, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-idel-vostocnye-iz-kuricy-varenye-300g-4310608	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Изделие колбасное вареное Сосиски Эко Восточные Халяль, 480г	https://www.perekrestok.ru/cat/134/p/izdelie-kolbasnoe-varenoe-sosiski-eko-vostocnye-halal-480g-4316901	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Сосиски Рузком Султан варёные халяль, 400г	https://www.perekrestok.ru/cat/134/p/sosiski-ruzkom-sultan-varenye-halal-400g-4252563	msk	Москва, Большой Патриарший переулок, 5	142,99 ₽/шт
Сосиски Рахмат Мусульманские из мяса птицы вареные, 400г	https://www.perekrestok.ru/cat/134/p/sosiski-rahmat-musulmanskie-iz-masa-pticy-varenye-400g-4310607	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Сосиски Вязанка Сливушки, 330г	https://www.perekrestok.ru/cat/134/p/sosiski-vazanka-slivuski-330g-4081069	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Сосиски Клинский сливочные, 470г	https://www.perekrestok.ru/cat/134/p/sosiski-klinskij-slivocnye-470g-3330134	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт
Сосиски Останкино сливочные премиум, 350г	https://www.perekrestok.ru/cat/134/p/sosiski-ostankino-slivocnye-premium-350g-3212773	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Сосиски МД Бородина сливочные, 480г	https://www.perekrestok.ru/cat/134/p/sosiski-md-borodina-slivocnye-480g-3443810	msk	Москва, Большой Патриарший переулок, 5	459,99 ₽/шт
Сосиски Останкино сливочные вареные категории Б, 410г	https://www.perekrestok.ru/cat/134/p/sosiski-ostankino-slivocnye-varenye-kategorii-b-410g-4342912	msk	Москва, Большой Патриарший переулок, 5	340,99 ₽/шт
Сосиски МД Бородина молочные 1 сорт, 470г	https://www.perekrestok.ru/cat/134/p/sosiski-md-borodina-molocnye-1-sort-470g-3390152	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Сосиски варёные Клинский молочные категории Б, 470г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-klinskij-molocnye-kategorii-b-470g-4175216	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Сосиски Молочные вареные категории Б Маркет, 406г	https://www.perekrestok.ru/cat/134/p/sosiski-molocnye-varenye-kategorii-b-market-406g-4276248	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Сосиски Окраина с натуральным молоком, 420г	https://www.perekrestok.ru/cat/134/p/sosiski-okraina-s-naturalnym-molokom-420g-3635837	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Сосиски Ближние Горки молочные категория Б, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-bliznie-gorki-molocnye-kategoria-b-450g-3416253	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Сосиски Окраина молочные, 420г	https://www.perekrestok.ru/cat/134/p/sosiski-okraina-molocnye-420g-3634490	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт
Сосиски варёные Индилайт из индейки с сыром, 440г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-indilajt-iz-indejki-s-syrom-440g-4169216	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Сосиски Клинский Клинские с сыром, 470г	https://www.perekrestok.ru/cat/134/p/sosiski-klinskij-klinskie-s-syrom-470g-3370433	msk	Москва, Большой Патриарший переулок, 5	419,99 ₽/шт
Сосиски Черкизово Баварские С Сыром вареные, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-cerkizovo-bavarskie-s-syrom-varenye-300g-4292006	msk	Москва, Большой Патриарший переулок, 5	286,99 ₽/шт
Сосиски Клинский Венские, 470г	https://www.perekrestok.ru/cat/134/p/sosiski-klinskij-venskie-470g-3460864	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт
Сосиски варёные Мираторг Венские категория Б, 350г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-miratorg-venskie-kategoria-b-350g-4100628	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Сосиски варёные Мясницкий Ряд Венские охлаждённые, 420г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-masnickij-rad-venskie-ohlazdennye-420g-4103236	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Сосиски варёные Мираторг Баварские категория Б, 350г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-miratorg-bavarskie-kategoria-b-350g-4100627	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Сосиски варёные Ближние Горки Баварские категория Б, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-bliznie-gorki-bavarskie-kategoria-b-450g-4214042	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Сосиски Дымов Баварские, 460г	https://www.perekrestok.ru/cat/134/p/sosiski-dymov-bavarskie-460g-3359555	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт
Сосиски детские из мяса птицы Зелёная Линия, 180г	https://www.perekrestok.ru/cat/134/p/sosiski-detskie-iz-masa-pticy-zelenaa-linia-180g-4241464	msk	Москва, Большой Патриарший переулок, 5	309,99 ₽/шт
Сосиски Высший Вкус Нежные пшеничные, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-vyssij-vkus-neznye-psenicnye-300g-4260424	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт
Сосиски Высший Вкус Delicious Classic пшеничные, 200г	https://www.perekrestok.ru/cat/134/p/sosiski-vyssij-vkus-delicious-classic-psenicnye-200g-4260425	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Сосиски Не Мясо Правильное питание веганские, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-ne-maso-pravilnoe-pitanie-veganskie-300g-4130033	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Сосиски Не Мясо Для жарки веганские, 250г	https://www.perekrestok.ru/cat/134/p/sosiski-ne-maso-dla-zarki-veganskie-250g-4130029	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Колбаски варёные куриные натуральные из мяса птицы высший сорт Зелёная Линия, 240г	https://www.perekrestok.ru/cat/134/p/kolbaski-varenye-kurinye-naturalnye-iz-masa-pticy-vyssij-sort-zelenaa-linia-240g-4081997	spb	Санкт-Петербург, Биржевая площадь, 4	279,99 ₽/шт
Сосиски из грудки индейки с брокколи и морковью высший сорт Зелёная Линия, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-iz-grudki-indejki-s-brokkoli-i-morkovu-vyssij-sort-zelenaa-linia-300g-4077764	spb	Санкт-Петербург, Биржевая площадь, 4	439,99 ₽/шт
Сосиски из мяса птицы с моцареллой и базиликом вареные 1 сорт Зелёная Линия, 250г	https://www.perekrestok.ru/cat/134/p/sosiski-iz-masa-pticy-s-mocarelloj-i-bazilikom-varenye-1-sort-zelenaa-linia-250g-4221323	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт
Сосиски Вязанка Рубленные, 500г	https://www.perekrestok.ru/cat/134/p/sosiski-vazanka-rublennye-500g-3624221	spb	Санкт-Петербург, Биржевая площадь, 4	289,99 ₽/шт
Сосиски Папа Может Сочные вареные категории В, 410г	https://www.perekrestok.ru/cat/134/p/sosiski-papa-mozet-socnye-varenye-kategorii-v-410g-4343709	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт
Сосиски варёные Папа может Копченые категории В, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-papa-mozet-kopcenye-kategorii-v-450g-4033771	spb	Санкт-Петербург, Биржевая площадь, 4	259,99 ₽/шт
Сосиски варёные Индилайт Грандос из мяса индейки, 440г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-indilajt-grandos-iz-masa-indejki-440g-4169220	spb	Санкт-Петербург, Биржевая площадь, 4	199,99 ₽/шт
Сосиски Вязанка Молокуши Миникушай варёные, 330г	https://www.perekrestok.ru/cat/134/p/sosiski-vazanka-molokusi-minikusaj-varenye-330g-4339153	spb	Санкт-Петербург, Биржевая площадь, 4	149,99 ₽/шт
Сардельки из мяса птицы варёные для детей Зелёная Линия, 240г	https://www.perekrestok.ru/cat/134/p/sardelki-iz-masa-pticy-varenye-dla-detej-zelenaa-linia-240g-4336419	spb	Санкт-Петербург, Биржевая площадь, 4	279,99 ₽/шт
Сосиски варёные из грудки куриной с тыквой высший сорт Зелёная Линия, 200г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-iz-grudki-kurinoj-s-tykvoj-vyssij-sort-zelenaa-linia-200g-4135356	spb	Санкт-Петербург, Биржевая площадь, 4	239,99 ₽/шт
Сосиски Дымов Молочные вареные категории Б, 406г	https://www.perekrestok.ru/cat/134/p/sosiski-dymov-molocnye-varenye-kategorii-b-406g-4329658	spb	Санкт-Петербург, Биржевая площадь, 4	329,99 ₽/шт
Сосиски Вязанка Филейские рубленые варёные, 300г	https://www.perekrestok.ru/cat/134/p/sosiski-vazanka-filejskie-rublenye-varenye-300g-4337765	spb	Санкт-Петербург, Биржевая площадь, 4	289,99 ₽/шт
Сосиски Вязанка Сливушки, 330г	https://www.perekrestok.ru/cat/134/p/sosiski-vazanka-slivuski-330g-4081069	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт
Сосиски Окраина сливочные, 350г	https://www.perekrestok.ru/cat/134/p/sosiski-okraina-slivocnye-350g-3434237	spb	Санкт-Петербург, Биржевая площадь, 4	279,99 ₽/шт
Сосиски Клинский сливочные, 470г	https://www.perekrestok.ru/cat/134/p/sosiski-klinskij-slivocnye-470g-3330134	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт
Сосиски Ближние Горки сливочные, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-bliznie-gorki-slivocnye-450g-26457	spb	Санкт-Петербург, Биржевая площадь, 4	409,99 ₽/шт
Сосиски варёные Великолукский МК сливочные, 330г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-velikolukskij-mk-slivocnye-330g-3207022	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сосиски МД Бородина премиум с натуральными сливками, 480г	https://www.perekrestok.ru/cat/134/p/sosiski-md-borodina-premium-s-naturalnymi-slivkami-480g-3486631	spb	Санкт-Петербург, Биржевая площадь, 4	209,99 ₽/шт
Сосиски варёные Черкизово Сливочные категория Б, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-cerkizovo-slivocnye-kategoria-b-450g-4045571	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт
Сосиски Вязанка Молокуши, 450г	https://www.perekrestok.ru/cat/134/p/sosiski-vazanka-molokusi-450g-3633778	spb	Санкт-Петербург, Биржевая площадь, 4	309,99 ₽/шт
Сосиски варёные Клинский молочные категории Б, 470г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-klinskij-molocnye-kategorii-b-470g-4175216	spb	Санкт-Петербург, Биржевая площадь, 4	329,99 ₽/шт
Сосиски Окраина с натуральным молоком	https://www.perekrestok.ru/cat/134/p/sosiski-okraina-s-naturalnym-molokom-4252437	spb	Санкт-Петербург, Биржевая площадь, 4	559,99 ₽/кг
Сосиски варёные Великолукский МК молочные, 330г	https://www.perekrestok.ru/cat/134/p/sosiski-varenye-velikolukskij-mk-molocnye-330g-3198697	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт
Сосиски МД Бородина молочные, 480г	https://www.perekrestok.ru/cat/134/p/sosiski-md-borodina-molocnye-480g-3451122	spb	Санкт-Петербург, Биржевая площадь, 4	479,99 ₽/шт
