name	url	locale	address	price	time
Соус Barilla Basilico томатный с базиликом, 400мл	https://www.perekrestok.ru/cat/218/p/sous-barilla-basilico-tomatnyj-s-bazilikom-400ml-2156106	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Barilla Napoletana томатный с овощами, 400мл	https://www.perekrestok.ru/cat/218/p/sous-barilla-napoletana-tomatnyj-s-ovosami-400ml-3010197	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Uni Dan Для Болоньезе томатный оригинальный, 350г	https://www.perekrestok.ru/cat/218/p/sous-uni-dan-dla-boloneze-tomatnyj-originalnyj-350g-4276802	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Barilla Arrabbiata томатный с перцем чили, 400мл	https://www.perekrestok.ru/cat/218/p/sous-barilla-arrabbiata-tomatnyj-s-percem-cili-400ml-2168220	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Аджика Стоевъ Грузинская перечная, 120мл	https://www.perekrestok.ru/cat/218/p/adzika-stoev-gruzinskaa-perecnaa-120ml-3384959	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Astoria Пицца-соус, 200мл	https://www.perekrestok.ru/cat/218/p/sous-astoria-picca-sous-200ml-4236360	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус овощной Delicados Сальса пикантная, 200мл	https://www.perekrestok.ru/cat/218/p/sous-ovosnoj-delicados-salsa-pikantnaa-200ml-3967085	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Uni Dan томатный с базиликом оригинальный, 350г	https://www.perekrestok.ru/cat/218/p/sous-uni-dan-tomatnyj-s-bazilikom-originalnyj-350g-4276801	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Кинто Сацебели охотничий, 300мл	https://www.perekrestok.ru/cat/218/p/sous-kinto-sacebeli-ohotnicij-300ml-9238	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус томатный Славянский Дар По-грузински, 360мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-slavanskij-dar-po-gruzinski-360ml-3901092	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус томатный Славянский Дар Хреновина, 360мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-slavanskij-dar-hrenovina-360ml-3901091	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Кинто Сацебели свежий помидор, 305г	https://www.perekrestok.ru/cat/218/p/sous-kinto-sacebeli-svezij-pomidor-305g-4321937	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Uni Dan Аррабиата томатный оригинальный, 350г	https://www.perekrestok.ru/cat/218/p/sous-uni-dan-arrabiata-tomatnyj-originalnyj-350g-4276800	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус томатный Кинто Грузинский шашлычный, 305мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-kinto-gruzinskij-saslycnyj-305ml-3363586	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Heinz Баффало Острый томатный, 200г	https://www.perekrestok.ru/cat/218/p/sous-heinz-baffalo-ostryj-tomatnyj-200g-4332227	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт	Sun Jul  7 23:20:00 2024
Аджика Амца Абхазская классическая, 200мл	https://www.perekrestok.ru/cat/218/p/adzika-amca-abhazskaa-klassiceskaa-200ml-2127539	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Кинто Кебаб с тобаско, 310мл	https://www.perekrestok.ru/cat/218/p/sous-kinto-kebab-s-tobasko-310ml-3427310	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Махеевъ пять перцев деликатесный, 230мл	https://www.perekrestok.ru/cat/218/p/sous-maheev-pat-percev-delikatesnyj-230ml-4226586	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Сацебели томатный Маркет Перекрёсток, 240мл	https://www.perekrestok.ru/cat/218/p/sous-sacebeli-tomatnyj-market-perekrestok-240ml-4009312	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус томатный Kuhne барбекю с копчёным перцем, 235мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-kuhne-barbeku-s-kopcenym-percem-235ml-3683491	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Помидорка Краснодарский, 490г	https://www.perekrestok.ru/cat/218/p/sous-pomidorka-krasnodarskij-490g-4287246	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Icancook Томатный Пелати гастрономический, 170мл	https://www.perekrestok.ru/cat/218/p/sous-icancook-tomatnyj-pelati-gastronomiceskij-170ml-4094919	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Bravente Наполетана томатный, 360г	https://www.perekrestok.ru/cat/218/p/sous-bravente-napoletana-tomatnyj-360g-4339881	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Bella Contadina средиземноморский, 290мл	https://www.perekrestok.ru/cat/218/p/sous-bella-contadina-sredizemnomorskij-290ml-4227732	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус томатный Mutti с сыром пармиджано реджано, 400мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-mutti-s-syrom-parmidzano-redzano-400ml-4003263	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Богатство Вкуса Сацебели классический, 310мл	https://www.perekrestok.ru/cat/218/p/sous-bogatstvo-vkusa-sacebeli-klassiceskij-310ml-3634658	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Bravente Арраббьята томатный, 360г	https://www.perekrestok.ru/cat/218/p/sous-bravente-arrabbata-tomatnyj-360g-4339294	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус томатный Славянский Дар Шашлык-машлык, 360мл	https://www.perekrestok.ru/cat/218/p/sous-tomatnyj-slavanskij-dar-saslyk-maslyk-360ml-3901093	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Аджика Амца Абхазская копченая, 200мл	https://www.perekrestok.ru/cat/218/p/adzika-amca-abhazskaa-kopcenaa-200ml-3966099	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Don Antonio Болоньезе томатный, 240мл	https://www.perekrestok.ru/cat/218/p/sous-don-antonio-boloneze-tomatnyj-240ml-4304347	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Богатство Вкуса Сацебели оригинальный, 310мл	https://www.perekrestok.ru/cat/218/p/sous-bogatstvo-vkusa-sacebeli-originalnyj-310ml-3634657	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Potier Армориканский, 180 г	https://www.perekrestok.ru/cat/218/p/sous-potier-armorikanskij-180-g-4245152	msk	Москва, Большой Патриарший переулок, 5	569,99 ₽/шт	Sun Jul  7 23:20:00 2024
Соус Louis Martin томатный с рикоттой, 190г	https://www.perekrestok.ru/cat/218/p/sous-louis-martin-tomatnyj-s-rikottoj-190g-4288992	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
