name	url	locale	address	price
Приправа Kotanyi итальянские травы, 14г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-italanskie-travy-14g-3385945	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Базилик измельчённый Маркет Перекрёсток, 7г	https://www.perekrestok.ru/cat/103/p/bazilik-izmelcennyj-market-perekrestok-7g-3481038	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт
Укроп измельчённый Маркет Перекрёсток, 7г	https://www.perekrestok.ru/cat/103/p/ukrop-izmelcennyj-market-perekrestok-7g-3481036	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Приправа Kotanyi хмели-сунели, 30г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-hmeli-suneli-30g-2112098	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Кумин целый Маркет Перекрёсток, 13г	https://www.perekrestok.ru/cat/103/p/kumin-celyj-market-perekrestok-13g-3900618	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Петрушка нарезанная Маркет Перекрёсток, 7г	https://www.perekrestok.ru/cat/103/p/petruska-narezannaa-market-perekrestok-7g-3481037	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт
Орегано Kotanyi измельченный, 8г	https://www.perekrestok.ru/cat/103/p/oregano-kotanyi-izmelcennyj-8g-88761	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Кинза Приправия Эксклюзив сушёная, 15г	https://www.perekrestok.ru/cat/103/p/kinza-pripravia-ekskluziv-susenaa-15g-4331459	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Приправа зелень для супа нарезанная Маркет Перекрёсток, 16г	https://www.perekrestok.ru/cat/103/p/priprava-zelen-dla-supa-narezannaa-market-perekrestok-16g-3900150	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Приправа Kotanyi Ароматные травы с луком и чесноком, 20г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-aromatnye-travy-s-lukom-i-cesnokom-20g-3979066	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Розмарин Kotanyi нарезанный, 15г	https://www.perekrestok.ru/cat/103/p/rozmarin-kotanyi-narezannyj-15g-3368505	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Тимьян Kotanyi измельчённый, 14г	https://www.perekrestok.ru/cat/103/p/timan-kotanyi-izmelcennyj-14g-88776	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Гвоздика целая Маркет Перекрёсток, 10г	https://www.perekrestok.ru/cat/103/p/gvozdika-celaa-market-perekrestok-10g-3900617	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Приправа Kotanyi кавказские травы, 9г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-kavkazskie-travy-9g-3614555	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Приправа хмели-сунели Маркет Перекрёсток, 28г	https://www.perekrestok.ru/cat/103/p/priprava-hmeli-suneli-market-perekrestok-28g-3689198	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Приправа Kotanyi зелень для супа нарезанная, 24г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-zelen-dla-supa-narezannaa-24g-3485116	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Приправа Kotanyi Прованские травы, 10г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-provanskie-travy-10g-4354109	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Приправа Kotanyi итальянская кухня, 20г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-italanskaa-kuhna-20g-3621046	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Кардамон Kotanyi молотый, 10г	https://www.perekrestok.ru/cat/103/p/kardamon-kotanyi-molotyj-10g-3451332	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Тмин Kotanyi семена, 28г	https://www.perekrestok.ru/cat/103/p/tmin-kotanyi-semena-28g-88777	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Шафран Kotanyi натуральный, 0.12г	https://www.perekrestok.ru/cat/103/p/safran-kotanyi-naturalnyj-0-12g-3292241	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Приправа Kotanyi французские травы, 17г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-francuzskie-travy-17g-3385948	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Приправа Kotanyi итальянские травы в мельнице, 48г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-italanskie-travy-v-melnice-48g-67129	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт
Приправа итальянские травы Маркет Перекрёсток, 55г	https://www.perekrestok.ru/cat/103/p/priprava-italanskie-travy-market-perekrestok-55g-4001097	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Приправа Kotanyi прованские травы, 30г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-provanskie-travy-30g-3661203	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Приправа Kotanyi чеснок-травы-соль в мельнице, 50г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-cesnok-travy-sol-v-melnice-50g-2058397	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт
Гвоздика Kotanyi целая, 18г	https://www.perekrestok.ru/cat/103/p/gvozdika-kotanyi-celaa-18g-88758	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Анис Kotanyi звездчатый целый, 8г	https://www.perekrestok.ru/cat/103/p/anis-kotanyi-zvezdcatyj-celyj-8g-4284089	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Приправа Дариэла 12 овощей и трав, 80г	https://www.perekrestok.ru/cat/103/p/priprava-dariela-12-ovosej-i-trav-80g-4333001	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Пажитник Kotanyi Шамбала семена, 15г	https://www.perekrestok.ru/cat/103/p/pazitnik-kotanyi-sambala-semena-15g-4284083	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Эстрагон Kotanyi Тархун измельченный, 7г	https://www.perekrestok.ru/cat/103/p/estragon-kotanyi-tarhun-izmelcennyj-7g-4284522	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Приправа французские травы Маркет Перекрёсток, 48г	https://www.perekrestok.ru/cat/103/p/priprava-francuzskie-travy-market-perekrestok-48g-4001098	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Смесь перечная Kotanyi с розмарином, 20г	https://www.perekrestok.ru/cat/103/p/smes-perecnaa-kotanyi-s-rozmarinom-20g-3979064	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Приправа Kotanyi французские травы в мельнице, 33г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-francuzskie-travy-v-melnice-33g-67130	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт
Приправа Kotanyi Сумах, 10г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-sumah-10g-3979068	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Бадьян Золото Индии звёздчатый целый, 20г	https://www.perekrestok.ru/cat/103/p/badan-zoloto-indii-zvezdcatyj-celyj-20g-4343702	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Гвоздика Золото Индии, 30г	https://www.perekrestok.ru/cat/103/p/gvozdika-zoloto-indii-30g-4343613	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Приправа Дариэла Нежная с базиликом и паприкой, 70г	https://www.perekrestok.ru/cat/103/p/priprava-dariela-neznaa-s-bazilikom-i-paprikoj-70g-4333003	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Специи Permeris Уцхо сунели, 25г	https://www.perekrestok.ru/cat/103/p/specii-permeris-ucho-suneli-25g-4285524	msk	Москва, Большой Патриарший переулок, 5	134,99 ₽/шт
Приправа Kotanyi Травы с копчёной солью, 50г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-travy-s-kopcenoj-solu-50g-4284517	msk	Москва, Большой Патриарший переулок, 5	489,99 ₽/шт
Анис Золото Индии семена, 30г	https://www.perekrestok.ru/cat/103/p/anis-zoloto-indii-semena-30g-4343701	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Фенугрек Золото Индии молотый, 30г	https://www.perekrestok.ru/cat/103/p/fenugrek-zoloto-indii-molotyj-30g-4343616	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Кумин Золото Индии семена, 30г	https://www.perekrestok.ru/cat/103/p/kumin-zoloto-indii-semena-30g-4343614	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Приправа Global Spice для рыбного стейка, 185г	https://www.perekrestok.ru/cat/103/p/priprava-global-spice-dla-rybnogo-stejka-185g-4339051	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт
Перец чёрный молотый Пр!ст, 15г	https://www.perekrestok.ru/cat/103/p/perec-cernyj-molotyj-pr-st-15g-3500194	msk	Москва, Большой Патриарший переулок, 5	10,99 ₽/шт
Перец чёрный Kotanyi молотый, 20г	https://www.perekrestok.ru/cat/103/p/perec-cernyj-kotanyi-molotyj-20g-88780	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Перец чёрный горошком Пр!ст, 15г	https://www.perekrestok.ru/cat/103/p/perec-cernyj-goroskom-pr-st-15g-3500195	msk	Москва, Большой Патриарший переулок, 5	22,99 ₽/шт
Приправа Kotanyi 4 перца, 20г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-4-perca-20g-3386024	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Перец чёрный молотый Маркет Перекрёсток, 18г	https://www.perekrestok.ru/cat/103/p/perec-cernyj-molotyj-market-perekrestok-18g-3687602	msk	Москва, Большой Патриарший переулок, 5	71,99 ₽/шт
Перец красный молотый Пр!ст, 15г	https://www.perekrestok.ru/cat/103/p/perec-krasnyj-molotyj-pr-st-15g-3500196	msk	Москва, Большой Патриарший переулок, 5	19,99 ₽/шт
Перец чёрный горошком Маркет Перекрёсток, 18г	https://www.perekrestok.ru/cat/103/p/perec-cernyj-goroskom-market-perekrestok-18g-3689196	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Приправа Kotanyi Апельсиновый Перец, 15г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-apelsinovyj-perec-15g-4149522	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Перец Кайенский чили молотый Маркет Перекрёсток, 18г	https://www.perekrestok.ru/cat/103/p/perec-kajenskij-cili-molotyj-market-perekrestok-18g-3689197	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Перец душистый Kotanyi горошком, 15г	https://www.perekrestok.ru/cat/103/p/perec-dusistyj-kotanyi-goroskom-15g-88760	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Приправа 4 Перца горошком Маркет Перекрёсток, 18г	https://www.perekrestok.ru/cat/103/p/priprava-4-perca-goroskom-market-perekrestok-18g-3900093	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Смесь перцев Kotanyi дроблёная, 12г	https://www.perekrestok.ru/cat/103/p/smes-percev-kotanyi-droblenaa-12g-3447385	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Перец чёрный Kotanyi горошком, 20г	https://www.perekrestok.ru/cat/103/p/perec-cernyj-kotanyi-goroskom-20g-88779	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Смесь перцев Kotanyi с копчёным чипотле, 20г	https://www.perekrestok.ru/cat/103/p/smes-percev-kotanyi-s-kopcenym-cipotle-20g-4240663	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Перец чёрный Kotanyi в мельнице, 36г	https://www.perekrestok.ru/cat/103/p/perec-cernyj-kotanyi-v-melnice-36g-89001	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт
Приправа Kotanyi 4 перца в мельнице, 35г	https://www.perekrestok.ru/cat/103/p/priprava-kotanyi-4-perca-v-melnice-35g-89000	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт
Смесь перцев Kotanyi, 35г	https://www.perekrestok.ru/cat/103/p/smes-percev-kotanyi-35g-3489942	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт
Приправа чили-соль Маркет Перекрёсток, 63г	https://www.perekrestok.ru/cat/103/p/priprava-cili-sol-market-perekrestok-63g-4001095	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
