name	url	locale	address	price	time
Сухарики-гренки Воронцовские ржаные со вкусом чеснока, 60г	https://www.perekrestok.ru/cat/711/p/suhariki-grenki-voroncovskie-rzanye-so-vkusom-cesnoka-60g-3427610	msk	Москва, Большой Патриарший переулок, 5	34,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Воронцовские Бородинские с чесноком, 100г	https://www.perekrestok.ru/cat/711/p/grenki-voroncovskie-borodinskie-s-cesnokom-100g-4328538	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
Палочки с чесноком, 100г	https://www.perekrestok.ru/cat/711/p/palocki-s-cesnokom-100g-3651147	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики-гренки Три Семёрки со вкусом чеснока, 150г	https://www.perekrestok.ru/cat/711/p/suhariki-grenki-tri-semerki-so-vkusom-cesnoka-150g-3611032	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Гренковъ ржано-пшеничные с чесноком, 100г	https://www.perekrestok.ru/cat/711/p/grenki-grenkov-rzano-psenicnye-s-cesnokom-100g-4350166	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Добрынов Деревенские натуральный чеснок, 100г	https://www.perekrestok.ru/cat/711/p/suhariki-dobrynov-derevenskie-naturalnyj-cesnok-100g-4348357	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики-гренки Клины ржаные со вкусом чеснока 130г	https://www.perekrestok.ru/cat/711/p/suhariki-grenki-kliny-rzanye-so-vkusom-cesnoka-130g-3492421	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Рижский Рижские со вкусом чеснока, 100г	https://www.perekrestok.ru/cat/711/p/suhariki-rizskij-rizskie-so-vkusom-cesnoka-100g-3387867	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Три корочки ржаные со вкусом холодец с хреном, 100г	https://www.perekrestok.ru/cat/711/p/suhariki-tri-korocki-rzanye-so-vkusom-holodec-s-hrenom-100g-2063961	msk	Москва, Большой Патриарший переулок, 5	39,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Три корочки ржаные со вкусом холодец с хреном, 60г + горчичный соус, 25мл	https://www.perekrestok.ru/cat/711/p/suhariki-tri-korocki-rzanye-so-vkusom-holodec-s-hrenom-60g-gorcicnyj-sous-25ml-3911761	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Хрустеам Багет воздушные со вкусом Индейка с горчичным соусом, 100г	https://www.perekrestok.ru/cat/711/p/suhariki-hrusteam-baget-vozdusnye-so-vkusom-indejka-s-gorcicnym-sousom-100g-4281419	msk	Москва, Большой Патриарший переулок, 5	74,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Воронцовские ржано-пшеничные со вкусом стейка на гриле, 120г	https://www.perekrestok.ru/cat/711/p/suhariki-voroncovskie-rzano-psenicnye-so-vkusom-stejka-na-grile-120g-4348068	msk	Москва, Большой Патриарший переулок, 5	43,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Lava Lava ржаные со вкусом шаурмы, 30г	https://www.perekrestok.ru/cat/711/p/suhariki-lava-lava-rzanye-so-vkusom-saurmy-30g-4302331	msk	Москва, Большой Патриарший переулок, 5	34,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Эу, Пацан! ржаные со вкусом говядины с луком хрустящие, 30г	https://www.perekrestok.ru/cat/711/p/suhariki-eu-pacan-rzanye-so-vkusom-govadiny-s-lukom-hrustasie-30g-4331708	msk	Москва, Большой Патриарший переулок, 5	34,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Lava Lava ржаные со вкусом холодца с хреном, 30г	https://www.perekrestok.ru/cat/711/p/suhariki-lava-lava-rzanye-so-vkusom-holodca-s-hrenom-30g-4302334	msk	Москва, Большой Патриарший переулок, 5	34,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Добрынов Деревенские со вкусом бекона, 100г	https://www.perekrestok.ru/cat/711/p/suhariki-dobrynov-derevenskie-so-vkusom-bekona-100g-4348355	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Добрынов Деревенские со вкусом холодца и хрена, 100г	https://www.perekrestok.ru/cat/711/p/suhariki-dobrynov-derevenskie-so-vkusom-holodca-i-hrena-100g-4348358	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Гренковъ ржано-пшеничные со вкусом аджики, 100г	https://www.perekrestok.ru/cat/711/p/grenki-grenkov-rzano-psenicnye-so-vkusom-adziki-100g-4350165	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Гренковъ ржано-пшеничные со вкусом рёбрышек на гриле по-мексикански, 100г	https://www.perekrestok.ru/cat/711/p/grenki-grenkov-rzano-psenicnye-so-vkusom-rebrysek-na-grile-po-meksikanski-100g-4350164	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки 5D Холодец с хреном, 45г	https://www.perekrestok.ru/cat/711/p/grenki-5d-holodec-s-hrenom-45g-4350320	msk	Москва, Большой Патриарший переулок, 5	24,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Хрусteam Багет Сырное ассорти, 60г	https://www.perekrestok.ru/cat/711/p/suhariki-hrusteam-baget-syrnoe-assorti-60g-3360550	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Хрусteam Багет Томат-Зелень, 60г	https://www.perekrestok.ru/cat/711/p/suhariki-hrusteam-baget-tomat-zelen-60g-3360552	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Три корочки ржаные со вкусом томата с зеленью, 40г	https://www.perekrestok.ru/cat/711/p/suhariki-tri-korocki-rzanye-so-vkusom-tomata-s-zelenu-40g-63021	msk	Москва, Большой Патриарший переулок, 5	18,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики ХрусTeam Чиабатта со вкусом оливки и ароматные травы воздушные, 55г	https://www.perekrestok.ru/cat/711/p/suhariki-hrusteam-ciabatta-so-vkusom-olivki-i-aromatnye-travy-vozdusnye-55g-4294308	msk	Москва, Большой Патриарший переулок, 5	57,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Хрусteam Багет со вкусом сметаны и зелени, 100г	https://www.perekrestok.ru/cat/711/p/suhariki-hrusteam-baget-so-vkusom-smetany-i-zeleni-100g-4199888	msk	Москва, Большой Патриарший переулок, 5	74,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сухарики Русскарт пшеничные хрустящие со вкусом Кубанские томаты, 24х50г	https://www.perekrestok.ru/cat/711/p/suhariki-russkart-psenicnye-hrustasie-so-vkusom-kubanskie-tomaty-24h50g-4350522	msk	Москва, Большой Патриарший переулок, 5	34,99 ₽/шт	Sun Jul  7 23:20:00 2024
Гренки Хруст со вкусом томатов вяленых с итальянскими травами, 75г	https://www.perekrestok.ru/cat/711/p/grenki-hrust-so-vkusom-tomatov-valenyh-s-italanskimi-travami-75g-4327050	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
