name	url	locale	address	price
Кумкват цукаты Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/kumkvat-cukaty-pr-st-100g-3676270	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Цукаты Совхоз Кохора Цитрусы Абхазии мандарина, 180г	https://www.perekrestok.ru/cat/160/p/cukaty-sovhoz-kohora-citrusy-abhazii-mandarina-180g-4344954	msk	Москва, Большой Патриарший переулок, 5	479,99 ₽/шт
Цукаты Совхоз Кохора Цитрусы Абхазии апельсина, 180г	https://www.perekrestok.ru/cat/160/p/cukaty-sovhoz-kohora-citrusy-abhazii-apelsina-180g-4344952	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт
Изюм Голден Маркет, 250г	https://www.perekrestok.ru/cat/160/p/izum-golden-market-250g-4316951	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Виноград сушёный Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-pr-st-100g-3959493	msk	Москва, Большой Патриарший переулок, 5	37,99 ₽/шт
Клюква вяленая  Зелёная Линия, 150г	https://www.perekrestok.ru/cat/160/p/klukva-valenaa-zelenaa-linia-150g-4328122	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт
Виноград сушёный Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-market-perekrestok-200g-3469368	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Смесь винограда сушёная Маркет Перекрёсток, 180г	https://www.perekrestok.ru/cat/160/p/smes-vinograda-susenaa-market-perekrestok-180g-3651928	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Финики Меджул Маркет Collection, 200г	https://www.perekrestok.ru/cat/160/p/finiki-medzul-market-collection-200g-4286638	msk	Москва, Большой Патриарший переулок, 5	389,99 ₽/шт
Шиповник сушеный Зелёная Линия, 100г	https://www.perekrestok.ru/cat/160/p/sipovnik-susenyj-zelenaa-linia-100g-4271833	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Чернослив без косточки Пр!ст, 500г	https://www.perekrestok.ru/cat/160/p/cernosliv-bez-kostocki-pr-st-500g-4314010	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт
Абрикос сушёный без косточки Пр!ст, 500г	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-bez-kostocki-pr-st-500g-4314011	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Ягоды годжи сушеные Зелёная Линия, 100г	https://www.perekrestok.ru/cat/160/p/agody-godzi-susenye-zelenaa-linia-100g-4271621	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Вишня вяленая Зелёная Линия, 150г	https://www.perekrestok.ru/cat/160/p/visna-valenaa-zelenaa-linia-150g-4328120	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Черника вяленая Зелёная Линия, 150г	https://www.perekrestok.ru/cat/160/p/cernika-valenaa-zelenaa-linia-150g-4328121	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт
Яблоко резаное сушёное Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/160/p/abloko-rezanoe-susenoe-market-perekrestok-200g-3972139	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Чернослив Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/cernosliv-pr-st-100g-4236206	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Абрикос сушёный Маркет Перекрёсток, 150г	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-market-perekrestok-150g-3651924	msk	Москва, Большой Патриарший переулок, 5	284,99 ₽/шт
Абрикос сушеный без косточек Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-bez-kostocek-pr-st-100g-4273146	msk	Москва, Большой Патриарший переулок, 5	81,99 ₽/шт
Смесь компотная из сухофруктов Маркет, 500г	https://www.perekrestok.ru/cat/160/p/smes-kompotnaa-iz-suhofruktov-market-500g-4312918	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Чернослив без косточки сушёный Маркет Перекрёсток, 150г	https://www.perekrestok.ru/cat/160/p/cernosliv-bez-kostocki-susenyj-market-perekrestok-150g-3651925	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Финики сушеные с косточкой Пр!ст, 300г	https://www.perekrestok.ru/cat/160/p/finiki-susenye-s-kostockoj-pr-st-300g-4287359	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Финики сушёные Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/160/p/finiki-susenye-market-perekrestok-200g-4103572	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Финики Befresh Мазафати сушёные, 550г	https://www.perekrestok.ru/cat/160/p/finiki-befresh-mazafati-susenye-550g-4118056	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт
Чипсы банановые Пр!ст, 130г	https://www.perekrestok.ru/cat/160/p/cipsy-bananovye-pr-st-130g-4034931	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Манго сушеное Маркет, 500г	https://www.perekrestok.ru/cat/160/p/mango-susenoe-market-500g-4327421	msk	Москва, Большой Патриарший переулок, 5	589,99 ₽/шт
Чипсы Вкусы Мира кокосовые, 40г	https://www.perekrestok.ru/cat/160/p/cipsy-vkusy-mira-kokosovye-40g-3618875	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Плоды манго сушеные Маркет, 200г	https://www.perekrestok.ru/cat/160/p/plody-mango-susenye-market-200g-4275526	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Кольца Яблоков яблочные из кисло-сладких яблок, 50г	https://www.perekrestok.ru/cat/202/p/kolca-ablokov-ablocnye-iz-kislo-sladkih-ablok-50g-4258942	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Бананы Naturfoods вяленые, 200г	https://www.perekrestok.ru/cat/160/p/banany-naturfoods-valenye-200g-3661298	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Абрикосы сушеные без косточек Маркет, 150г	https://www.perekrestok.ru/cat/160/p/abrikosy-susenye-bez-kostocek-market-150g-4336452	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Инжир сушеный Маркет Перекрёсток, 140г	https://www.perekrestok.ru/cat/160/p/inzir-susenyj-market-perekrestok-140g-4228874	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Абрикосы сушеные без косточки Зелёная Линия, 150г	https://www.perekrestok.ru/cat/160/p/abrikosy-susenye-bez-kostocki-zelenaa-linia-150g-4288280	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/шт
Чернослив Дары природы сушеный, 150г	https://www.perekrestok.ru/cat/160/p/cernosliv-dary-prirody-susenyj-150g-13921	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Хурма сушеная Market Collection, 250г	https://www.perekrestok.ru/cat/160/p/hurma-susenaa-market-collection-250g-4291760	msk	Москва, Большой Патриарший переулок, 5	459,99 ₽/шт
Яблоко Экофермер сушёное, 75г	https://www.perekrestok.ru/cat/160/p/abloko-ekofermer-susenoe-75g-3661355	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Банан жареный Tamarind House с начинкой из маракуйи, 45г	https://www.perekrestok.ru/cat/160/p/banan-zarenyj-tamarind-house-s-nacinkoj-iz-marakuji-45g-4346164	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Ананас King сушеный, 500г	https://www.perekrestok.ru/cat/160/p/ananas-king-susenyj-500g-4252260	msk	Москва, Большой Патриарший переулок, 5	919,99 ₽/шт
Плоды дыни мускусной сушёные Маркет Collection, 100г	https://www.perekrestok.ru/cat/160/p/plody-dyni-muskusnoj-susenye-market-collection-100g-4322445	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Плоды папайи сушеные Маркет, 200г	https://www.perekrestok.ru/cat/160/p/plody-papaji-susenye-market-200g-4275527	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Маракуйя King сушеная, 500г	https://www.perekrestok.ru/cat/160/p/marakuja-king-susenaa-500g-4252262	msk	Москва, Большой Патриарший переулок, 5	919,99 ₽/шт
Яблоко Sun Crisp cублимированное, 25г	https://www.perekrestok.ru/cat/160/p/abloko-sun-crisp-cublimirovannoe-25g-4283927	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт
Кокос King сушеный, 500г	https://www.perekrestok.ru/cat/160/p/kokos-king-susenyj-500g-4252263	msk	Москва, Большой Патриарший переулок, 5	839,99 ₽/шт
Кумкват цукаты Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/kumkvat-cukaty-pr-st-100g-3676270	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт
Абрикос сушёный без косточки Пр!ст, 500г	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-bez-kostocki-pr-st-500g-4314011	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт
Смесь винограда сушёная Маркет Перекрёсток, 180г	https://www.perekrestok.ru/cat/160/p/smes-vinograda-susenaa-market-perekrestok-180g-3651928	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт
Виноград сушёный Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-market-perekrestok-200g-3469368	spb	Санкт-Петербург, Биржевая площадь, 4	164,99 ₽/шт
Чернослив без косточки Пр!ст, 500г	https://www.perekrestok.ru/cat/160/p/cernosliv-bez-kostocki-pr-st-500g-4314010	spb	Санкт-Петербург, Биржевая площадь, 4	399,99 ₽/шт
Виноград сушёный Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/vinograd-susenyj-pr-st-100g-3959493	spb	Санкт-Петербург, Биржевая площадь, 4	28,90 ₽/шт
Яблоко резаное сушёное Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/160/p/abloko-rezanoe-susenoe-market-perekrestok-200g-3972139	spb	Санкт-Петербург, Биржевая площадь, 4	289,99 ₽/шт
Плоды манго сушеные Маркет, 200г	https://www.perekrestok.ru/cat/160/p/plody-mango-susenye-market-200g-4275526	spb	Санкт-Петербург, Биржевая площадь, 4	339,99 ₽/шт
Манго сушеное Маркет, 500г	https://www.perekrestok.ru/cat/160/p/mango-susenoe-market-500g-4327421	spb	Санкт-Петербург, Биржевая площадь, 4	589,99 ₽/шт
Финики сушёные Маркет Перекрёсток, 200г	https://www.perekrestok.ru/cat/160/p/finiki-susenye-market-perekrestok-200g-4103572	spb	Санкт-Петербург, Биржевая площадь, 4	119,99 ₽/шт
Финики Befresh Мазафати сушёные, 550г	https://www.perekrestok.ru/cat/160/p/finiki-befresh-mazafati-susenye-550g-4118056	spb	Санкт-Петербург, Биржевая площадь, 4	299,99 ₽/шт
Абрикос сушёный Маркет Перекрёсток, 150г	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-market-perekrestok-150g-3651924	spb	Санкт-Петербург, Биржевая площадь, 4	284,99 ₽/шт
Абрикос сушеный без косточек Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/abrikos-susenyj-bez-kostocek-pr-st-100g-4273146	spb	Санкт-Петербург, Биржевая площадь, 4	57,60 ₽/шт
Хурма сушеная Market Collection, 250г	https://www.perekrestok.ru/cat/160/p/hurma-susenaa-market-collection-250g-4291760	spb	Санкт-Петербург, Биржевая площадь, 4	459,99 ₽/шт
Чернослив без косточки сушёный Маркет Перекрёсток, 150г	https://www.perekrestok.ru/cat/160/p/cernosliv-bez-kostocki-susenyj-market-perekrestok-150g-3651925	spb	Санкт-Петербург, Биржевая площадь, 4	179,99 ₽/шт
Смесь компотная из сухофруктов Маркет, 500г	https://www.perekrestok.ru/cat/160/p/smes-kompotnaa-iz-suhofruktov-market-500g-4312918	spb	Санкт-Петербург, Биржевая площадь, 4	219,99 ₽/шт
Чернослив Пр!ст, 100г	https://www.perekrestok.ru/cat/160/p/cernosliv-pr-st-100g-4236206	spb	Санкт-Петербург, Биржевая площадь, 4	58,90 ₽/шт
Чипсы банановые Пр!ст, 130г	https://www.perekrestok.ru/cat/160/p/cipsy-bananovye-pr-st-130g-4034931	spb	Санкт-Петербург, Биржевая площадь, 4	114,99 ₽/шт
Чернослив Дары природы сушеный, 150г	https://www.perekrestok.ru/cat/160/p/cernosliv-dary-prirody-susenyj-150g-13921	spb	Санкт-Петербург, Биржевая площадь, 4	269,99 ₽/шт
Плоды маракуйи сушеные Маркет, 200г	https://www.perekrestok.ru/cat/160/p/plody-marakuji-susenye-market-200g-4275528	spb	Санкт-Петербург, Биржевая площадь, 4	369,99 ₽/шт
Абрикосы сушеные без косточек Маркет, 150г	https://www.perekrestok.ru/cat/160/p/abrikosy-susenye-bez-kostocek-market-150g-4336452	spb	Санкт-Петербург, Биржевая площадь, 4	169,99 ₽/шт
Финики сушеные с косточкой Пр!ст, 300г	https://www.perekrestok.ru/cat/160/p/finiki-susenye-s-kostockoj-pr-st-300g-4287359	spb	Санкт-Петербург, Биржевая площадь, 4	89,99 ₽/шт
Бананы Naturfoods вяленые, 200г	https://www.perekrestok.ru/cat/160/p/banany-naturfoods-valenye-200g-3661298	spb	Санкт-Петербург, Биржевая площадь, 4	154,99 ₽/шт
Плоды папайи сушеные Маркет, 200г	https://www.perekrestok.ru/cat/160/p/plody-papaji-susenye-market-200g-4275527	spb	Санкт-Петербург, Биржевая площадь, 4	339,99 ₽/шт
Чипсы Вкусы Мира кокосовые, 40г	https://www.perekrestok.ru/cat/160/p/cipsy-vkusy-mira-kokosovye-40g-3618875	spb	Санкт-Петербург, Биржевая площадь, 4	164,99 ₽/шт
Яблоко Экофермер сушёное, 75г	https://www.perekrestok.ru/cat/160/p/abloko-ekofermer-susenoe-75g-3661355	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт
