name	url	locale	address	price	time
Кальмар Сухогруз сушёно-вяленый полоски, 70г	https://www.perekrestok.ru/cat/812/p/kalmar-suhogruz-suseno-valenyj-poloski-70g-3692498	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар Сухогруз сушёный шинкованный, 70г	https://www.perekrestok.ru/cat/812/p/kalmar-suhogruz-susenyj-sinkovannyj-70g-2154903	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лещ Тарань-ка солёно-сушёный неразделанный, 250г	https://www.perekrestok.ru/cat/812/p/les-taran-ka-soleno-susenyj-nerazdelannyj-250g-3448516	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт	Sun Jul  7 23:20:00 2024
Горбуша соломка вяленая Маркет, 40г	https://www.perekrestok.ru/cat/812/p/gorbusa-solomka-valenaa-market-40g-4309430	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Рыбка Янтарная с перцем сушено-вяленая Маркет, 70г	https://www.perekrestok.ru/cat/812/p/rybka-antarnaa-s-percem-suseno-valenaa-market-70g-4309427	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Жёлтый полосатик сушено-вяленый Маркет, 70г	https://www.perekrestok.ru/cat/178/p/zeltyj-polosatik-suseno-valenyj-market-70g-4284124	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Ставридка Сухогруз сушёная, 70г	https://www.perekrestok.ru/cat/812/p/stavridka-suhogruz-susenaa-70g-3193121	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Анчоус Сухогруз сушёный, 70г	https://www.perekrestok.ru/cat/812/p/ancous-suhogruz-susenyj-70g-3022552	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Янтарная рыбка Сухогруз сушёная филе, 70г	https://www.perekrestok.ru/cat/812/p/antarnaa-rybka-suhogruz-susenaa-file-70g-3360236	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар Сухогруз сушёный шинкованный, 70г	https://www.perekrestok.ru/cat/812/p/kalmar-suhogruz-susenyj-sinkovannyj-70g-2154903	spb	Санкт-Петербург, Биржевая площадь, 4	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кальмар Сухогруз сушёно-вяленый полоски, 70г	https://www.perekrestok.ru/cat/812/p/kalmar-suhogruz-suseno-valenyj-poloski-70g-3692498	spb	Санкт-Петербург, Биржевая площадь, 4	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лещ Тарань-ка солёно-сушёный неразделанный, 250г	https://www.perekrestok.ru/cat/812/p/les-taran-ka-soleno-susenyj-nerazdelannyj-250g-3448516	spb	Санкт-Петербург, Биржевая площадь, 4	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Горбуша соломка вяленая Маркет, 40г	https://www.perekrestok.ru/cat/812/p/gorbusa-solomka-valenaa-market-40g-4309430	spb	Санкт-Петербург, Биржевая площадь, 4	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Рыбка Янтарная с перцем сушено-вяленая Маркет, 70г	https://www.perekrestok.ru/cat/812/p/rybka-antarnaa-s-percem-suseno-valenaa-market-70g-4309427	spb	Санкт-Петербург, Биржевая площадь, 4	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
