name	url	locale	address	price
Эскалоп свиной Перекрёсток без кости	https://www.perekrestok.ru/cat/951/p/eskalop-svinoj-perekrestok-bez-kosti-4834	msk	Москва, Большой Патриарший переулок, 5	469,99 ₽/кг
Окорок свиной без кости Перекрёсток	https://www.perekrestok.ru/cat/951/p/okorok-svinoj-bez-kosti-perekrestok-4833	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/кг
Лопатка свиная без кости	https://www.perekrestok.ru/cat/951/p/lopatka-svinaa-bez-kosti-3293544	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/кг
Лопатка свиная Черкизово категории А охлаждённая	https://www.perekrestok.ru/cat/139/p/lopatka-svinaa-cerkizovo-kategorii-a-ohlazdennaa-53905	msk	Москва, Большой Патриарший переулок, 5	479,99 ₽/кг
Шейка свиная без кости Перекрёсток	https://www.perekrestok.ru/cat/951/p/sejka-svinaa-bez-kosti-perekrestok-912	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/кг
Шейка свиная категория А охлажденная Маркет	https://www.perekrestok.ru/cat/951/p/sejka-svinaa-kategoria-a-ohlazdennaa-market-4277445	msk	Москва, Большой Патриарший переулок, 5	489,99 ₽/кг
Вырезка свиная Перекрёсток	https://www.perekrestok.ru/cat/951/p/vyrezka-svinaa-perekrestok-84875	msk	Москва, Большой Патриарший переулок, 5	489,99 ₽/кг
Вырезка свиная категория А охлажденная Маркет	https://www.perekrestok.ru/cat/951/p/vyrezka-svinaa-kategoria-a-ohlazdennaa-market-4277448	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/кг
Корейка свиная без кости Перекрёсток	https://www.perekrestok.ru/cat/951/p/korejka-svinaa-bez-kosti-perekrestok-911	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/кг
Корейка свиная Перекрёсток с костью	https://www.perekrestok.ru/cat/951/p/korejka-svinaa-perekrestok-s-kostu-85126	msk	Москва, Большой Патриарший переулок, 5	359,99 ₽/кг
Стейк Самсон из свиной корейки в маринаде категории Б охлаждённый, 400г	https://www.perekrestok.ru/cat/951/p/stejk-samson-iz-svinoj-korejki-v-marinade-kategorii-b-ohlazdennyj-400g-4339454	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Ребра свиные Мираторг Деликатесные	https://www.perekrestok.ru/cat/951/p/rebra-svinye-miratorg-delikatesnye-46011	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/кг
Рёбрышки свиные Мираторг охлаждённые	https://www.perekrestok.ru/cat/951/p/rebryski-svinye-miratorg-ohlazdennye-3667403	msk	Москва, Большой Патриарший переулок, 5	499,00 ₽/кг
Грудинка свиная Перекрёсток на кости	https://www.perekrestok.ru/cat/951/p/grudinka-svinaa-perekrestok-na-kosti-3273206	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/кг
Поджарка свиная	https://www.perekrestok.ru/cat/951/p/podzarka-svinaa-11511	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/кг
Эскалоп свиной категории А охлажденный Маркет, 400г	https://www.perekrestok.ru/cat/139/p/eskalop-svinoj-kategorii-a-ohlazdennyj-market-400g-4277867	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Эскалоп свиной Перекрёсток без кости	https://www.perekrestok.ru/cat/951/p/eskalop-svinoj-perekrestok-bez-kosti-4834	spb	Санкт-Петербург, Биржевая площадь, 4	469,99 ₽/кг
