name	url	locale	address	price	time
Сыр Кремчиз мягкий сливочный 70% Зелёная Линия, 140г	https://www.perekrestok.ru/cat/122/p/syr-kremciz-magkij-slivocnyj-70-zelenaa-linia-140g-4162492	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Эдам нарезка 45% Маркет Перекрёсток, 125г	https://www.perekrestok.ru/cat/122/p/syr-edam-narezka-45-market-perekrestok-125g-3505827	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Моцарелла мини 45% Маркет, 120г	https://www.perekrestok.ru/cat/122/p/syr-magkij-mocarella-mini-45-market-120g-3500953	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Три Сыра тертый 45% Маркет Перекресток, 200г	https://www.perekrestok.ru/cat/122/p/syr-tri-syra-tertyj-45-market-perekrestok-200g-4271631	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Моцарелла для пиццы 45% Зелёная Линия, 250г	https://www.perekrestok.ru/cat/122/p/syr-magkij-mocarella-dla-piccy-45-zelenaa-linia-250g-3668945	msk	Москва, Большой Патриарший переулок, 5	241,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр гауда ломтики 48% Маркет Перекрёсток, 125г	https://www.perekrestok.ru/cat/122/p/syr-gauda-lomtiki-48-market-perekrestok-125g-4003953	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Буррата классическая 45% Зелёная Линия, 150г	https://www.perekrestok.ru/cat/122/p/syr-magkij-burrata-klassiceskaa-45-zelenaa-linia-150g-3668846	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр полутвёрдый Халлуми из коровьего молока 50% Market Collection, 200г	https://www.perekrestok.ru/cat/122/p/syr-polutverdyj-hallumi-iz-korovego-moloka-50-market-collection-200g-3958445	msk	Москва, Большой Патриарший переулок, 5	279,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Страчателла итальянский 40% Зелёная Линия, 200г	https://www.perekrestok.ru/cat/122/p/syr-magkij-stracatella-italanskij-40-zelenaa-linia-200g-3668893	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Mlekara Sabac А ла каймак 70%, 250г	https://www.perekrestok.ru/cat/122/p/syr-magkij-mlekara-sabac-a-la-kajmak-70-250g-3377879	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Моцарелла 45% Маркет Перекрёсток, 400г	https://www.perekrestok.ru/cat/122/p/syr-magkij-mocarella-45-market-perekrestok-400g-3480834	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Моцарелла мини в рассоле 45% Зелёная Линия, 380г	https://www.perekrestok.ru/cat/122/p/syr-magkij-mocarella-mini-v-rassole-45-zelenaa-linia-380g-3949283	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Гиагинский МЗ Адыгейский 40%, 300г	https://www.perekrestok.ru/cat/122/p/syr-giaginskij-mz-adygejskij-40-300g-3466088	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр мягкий Маскарпоне 80% Зелёная Линия, 250г	https://www.perekrestok.ru/cat/122/p/syr-magkij-maskarpone-80-zelenaa-linia-250g-4154662	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Galbani Моцарелла 45%, 125г	https://www.perekrestok.ru/cat/122/p/syr-galbani-mocarella-45-125g-15105	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Рикотта 45% Зелёная Линия, 180г	https://www.perekrestok.ru/cat/122/p/syr-rikotta-45-zelenaa-linia-180g-4158126	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Unagrande Моцарелла Фиор Ди Латте в воде без лактозы 45%, 125г	https://www.perekrestok.ru/cat/122/p/syr-unagrande-mocarella-fior-di-latte-v-vode-bez-laktozy-45-125g-4050806	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Сыр Galbani Моцарелла мини 45%, 150г	https://www.perekrestok.ru/cat/122/p/syr-galbani-mocarella-mini-45-150g-3433594	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт	Sun Jul  7 23:20:00 2024
