name	url	locale	address	price
Сырок творожный с ванилью глазированный 26% Молочный знак, 40г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-s-vanilu-glazirovannyj-26-molocnyj-znak-40g-4208434	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт
Сырок творожный с вареной сгущенкой глазированный 26% Молочный знак, 40г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-s-varenoj-sgusenkoj-glazirovannyj-26-molocnyj-znak-40g-4208433	msk	Москва, Большой Патриарший переулок, 5	47,99 ₽/шт
Сырок А.Ростагрокомплекс Картошка творожный глазированный в молочном шоколаде 20%, 50г	https://www.perekrestok.ru/cat/656/p/syrok-a-rostagrokompleks-kartoska-tvoroznyj-glazirovannyj-v-molocnom-sokolade-20-50g-4227635	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт
Сырок творожный Свитлогорье с какао глазированный 26%, 50г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-svitlogore-s-kakao-glazirovannyj-26-50g-3463779	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Сырок творожный Ростагроэкспорт Картошка глазированный 20%, 40г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-rostagroeksport-kartoska-glazirovannyj-20-40g-3648192	msk	Москва, Большой Патриарший переулок, 5	37,49 ₽/шт
Сырок Творобушки Шоколад творожный глазированный с какао 20%, 40г	https://www.perekrestok.ru/cat/656/p/syrok-tvorobuski-sokolad-tvoroznyj-glazirovannyj-s-kakao-20-40g-4290208	msk	Москва, Большой Патриарший переулок, 5	37,99 ₽/шт
Сырок творожный Свитлогорье Palermo с твёрдым сыром глазированный в молочном шоколаде 23%, 55г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-svitlogore-palermo-s-tverdym-syrom-glazirovannyj-v-molocnom-sokolade-23-55g-4226011	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт
Сырок творожный Савушкин Продукт трюфель глазированный 23%, 40г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-savuskin-produkt-trufel-glazirovannyj-23-40g-4100981	msk	Москва, Большой Патриарший переулок, 5	37,99 ₽/шт
Продукт молочный ЗГДДОП Картошка цельнозерновая в молочном бельгийском шоколаде 10.5%, 60г	https://www.perekrestok.ru/cat/656/p/produkt-molocnyj-zgddop-kartoska-celnozernovaa-v-molocnom-belgijskom-sokolade-10-5-60g-4144782	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт
Сырок творожный Ростагроэкспорт с ароматом ванили глазированный 20%, 45г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-rostagroeksport-s-aromatom-vanili-glazirovannyj-20-45g-3666242	msk	Москва, Большой Патриарший переулок, 5	33,99 ₽/шт
Сырок А.Ростагрокомплекс творожный глазированный в молочном шоколаде с ванилью 26%, 50г	https://www.perekrestok.ru/cat/656/p/syrok-a-rostagrokompleks-tvoroznyj-glazirovannyj-v-molocnom-sokolade-s-vanilu-26-50g-4227614	msk	Москва, Большой Патриарший переулок, 5	73,99 ₽/шт
Сырок творожный Свитлогорье с ванилином глазированный 26%, 50г	https://www.perekrestok.ru/cat/656/p/syrok-tvoroznyj-svitlogore-s-vanilinom-glazirovannyj-26-50g-3427052	msk	Москва, Большой Патриарший переулок, 5	67,99 ₽/шт
Сырок А.Ростагрокомплекс творожный глазированный в темном шоколаде с ванилью 26%, 50г	https://www.perekrestok.ru/cat/656/p/syrok-a-rostagrokompleks-tvoroznyj-glazirovannyj-v-temnom-sokolade-s-vanilu-26-50g-4227647	msk	Москва, Большой Патриарший переулок, 5	75,99 ₽/шт
