name	url	locale	address	price	time
Напиток спиртной Tequila Lo Siento Silver 38%, 700мл	https://www.perekrestok.ru/cat/13/p/napitok-spirtnoj-tequila-lo-siento-silver-38-700ml-4135054	msk	Москва, Большой Патриарший переулок, 5	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Tequila Lo Siento Gold 0,7	https://www.perekrestok.ru/cat/13/p/napitok-tequila-lo-siento-gold-0-7-4135057	msk	Москва, Большой Патриарший переулок, 5	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Бланко 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-blanko-40-750ml-3420847	msk	Москва, Большой Патриарший переулок, 5	3 299,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Репосадо 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-reposado-40-750ml-3425206	msk	Москва, Большой Патриарший переулок, 5	3 379,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток спиртной Tequila Lo Siento Silver 38%, 700мл	https://www.perekrestok.ru/cat/13/p/napitok-spirtnoj-tequila-lo-siento-silver-38-700ml-4135054	spb	Санкт-Петербург, Биржевая площадь, 4	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Messicano Альтено Голд золотая 38%, 500мл	https://www.perekrestok.ru/cat/13/p/tekila-messicano-alteno-gold-zolotaa-38-500ml-4235311	spb	Санкт-Петербург, Биржевая площадь, 4	1 049,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Tequila Lo Siento Gold 0,7	https://www.perekrestok.ru/cat/13/p/napitok-tequila-lo-siento-gold-0-7-4135057	spb	Санкт-Петербург, Биржевая площадь, 4	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Бланко 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-blanko-40-750ml-3420847	spb	Санкт-Петербург, Биржевая площадь, 4	3 699,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток спиртной Tequila Lo Siento Silver 38%, 700мл	https://www.perekrestok.ru/cat/13/p/napitok-spirtnoj-tequila-lo-siento-silver-38-700ml-4135054	ekb	Екатеринбург, ул. Бориса Ельцина, 3	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Tequila Lo Siento Gold 0,7	https://www.perekrestok.ru/cat/13/p/napitok-tequila-lo-siento-gold-0-7-4135057	ekb	Екатеринбург, ул. Бориса Ельцина, 3	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Бланко 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-blanko-40-750ml-3420847	ekb	Екатеринбург, ул. Бориса Ельцина, 3	3 299,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Corralejo Blanco 38%, 700мл	https://www.perekrestok.ru/cat/13/p/tekila-corralejo-blanco-38-700ml-4315041	ekb	Екатеринбург, ул. Бориса Ельцина, 3	3 199,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Репосадо 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-reposado-40-750ml-3425206	ekb	Екатеринбург, ул. Бориса Ельцина, 3	3 379,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток спиртной Tequila Lo Siento Silver 38%, 700мл	https://www.perekrestok.ru/cat/13/p/napitok-spirtnoj-tequila-lo-siento-silver-38-700ml-4135054	nn	Нижний Новгород, площадь Минина и Пожарского, 2	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Tequila Lo Siento Gold 0,7	https://www.perekrestok.ru/cat/13/p/napitok-tequila-lo-siento-gold-0-7-4135057	nn	Нижний Новгород, площадь Минина и Пожарского, 2	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Бланко 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-blanko-40-750ml-3420847	nn	Нижний Новгород, площадь Минина и Пожарского, 2	3 499,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Corralejo Blanco 38%, 700мл	https://www.perekrestok.ru/cat/13/p/tekila-corralejo-blanco-38-700ml-4315041	nn	Нижний Новгород, площадь Минина и Пожарского, 2	3 199,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Репосадо 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-reposado-40-750ml-3425206	nn	Нижний Новгород, площадь Минина и Пожарского, 2	3 379,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток спиртной Tequila Lo Siento Silver 38%, 700мл	https://www.perekrestok.ru/cat/13/p/napitok-spirtnoj-tequila-lo-siento-silver-38-700ml-4135054	pg	Пятигорск, улица Малыгина, 5	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Tequila Lo Siento Gold 0,7	https://www.perekrestok.ru/cat/13/p/napitok-tequila-lo-siento-gold-0-7-4135057	pg	Пятигорск, улица Малыгина, 5	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Бланко 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-blanko-40-750ml-3420847	pg	Пятигорск, улица Малыгина, 5	3 299,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Corralejo Blanco 38%, 700мл	https://www.perekrestok.ru/cat/13/p/tekila-corralejo-blanco-38-700ml-4315041	pg	Пятигорск, улица Малыгина, 5	3 199,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Репосадо 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-reposado-40-750ml-3425206	pg	Пятигорск, улица Малыгина, 5	3 379,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток спиртной Tequila Lo Siento Silver 38%, 700мл	https://www.perekrestok.ru/cat/13/p/napitok-spirtnoj-tequila-lo-siento-silver-38-700ml-4135054	rnd	Ростов-на-Дону, Будённовский проспект, 45	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Напиток Tequila Lo Siento Gold 0,7	https://www.perekrestok.ru/cat/13/p/napitok-tequila-lo-siento-gold-0-7-4135057	rnd	Ростов-на-Дону, Будённовский проспект, 45	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Текила Эсполон Бланко 40%, 750мл	https://www.perekrestok.ru/cat/13/p/tekila-espolon-blanko-40-750ml-3420847	rnd	Ростов-на-Дону, Будённовский проспект, 45	3 799,00 ₽/шт	Sun Jul  7 23:20:00 2024
