name	url	locale	address	price
Томатная паста 25% Пр!ст, 70г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-25-pr-st-70g-3690262	msk	Москва, Большой Патриарший переулок, 5	35,99 ₽/шт
Томатная паста Маркет Перекрёсток, 140г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-market-perekrestok-140g-3504319	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Томатная паста Маркет Перекрёсток, 70г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-market-perekrestok-70g-3504318	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт
Томатная паста Кухмастер, 270г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-kuhmaster-270g-3436165	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Томатная паста Помидорка пастеризованная, 70г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-pasterizovannaa-70g-2073203	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Томатная паста Green Ray, 205г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-green-ray-205g-3696421	msk	Москва, Большой Патриарший переулок, 5	73,99 ₽/шт
Томатная паста Помидорка, 140г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-140g-4609	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Томатная паста Помидорка, 380г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-380g-58068	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Паста томатная Кубаночка, 500 г	https://www.perekrestok.ru/cat/220/p/pasta-tomatnaa-kubanocka-500-g-3640265	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Томатная паста Помидорка с базиликом, 250г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-s-bazilikom-250g-4004674	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Томатная паста Помидорка с пряными травами и чесноком, 270г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-s-pranymi-travami-i-cesnokom-270g-4004675	msk	Москва, Большой Патриарший переулок, 5	194,99 ₽/шт
Томатная паста Маркет Перекрёсток, 140г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-market-perekrestok-140g-3504319	spb	Санкт-Петербург, Биржевая площадь, 4	109,99 ₽/шт
Томатная паста Кухмастер, 270г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-kuhmaster-270g-3436165	spb	Санкт-Петербург, Биржевая площадь, 4	119,99 ₽/шт
Томатная паста Помидорка пастеризованная, 70г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-pasterizovannaa-70g-2073203	spb	Санкт-Петербург, Биржевая площадь, 4	77,99 ₽/шт
Томатная паста Помидорка, 140г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-140g-4609	spb	Санкт-Петербург, Биржевая площадь, 4	154,99 ₽/шт
Томатная паста Маркет Перекрёсток, 70г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-market-perekrestok-70g-3504318	spb	Санкт-Петербург, Биржевая площадь, 4	74,99 ₽/шт
Томатная паста Помидорка, 380г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-pomidorka-380g-58068	spb	Санкт-Петербург, Биржевая площадь, 4	229,99 ₽/шт
Паста томатная Кубаночка, 500 г	https://www.perekrestok.ru/cat/220/p/pasta-tomatnaa-kubanocka-500-g-3640265	spb	Санкт-Петербург, Биржевая площадь, 4	249,99 ₽/шт
Томатная паста 25% Пр!ст, 70г	https://www.perekrestok.ru/cat/220/p/tomatnaa-pasta-25-pr-st-70g-3690262	ekb	Екатеринбург, ул. Бориса Ельцина, 3	33,99 ₽/шт
