name	url	locale	address	price	time
Торт Home Napoleon Медово-Сметанный с вареной сгущенкой, 400г	https://www.perekrestok.ru/cat/201/p/tort-home-napoleon-medovo-smetannyj-s-varenoj-sgusenkoj-400g-4325083	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Home Napoleon Наполеон домашний, 500г	https://www.perekrestok.ru/cat/201/p/tort-home-napoleon-napoleon-domasnij-500g-4325084	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт	Sun Jul  7 23:20:00 2024
Рулет АндерСон Шоколадный меренговый, 180г	https://www.perekrestok.ru/cat/201/p/rulet-anderson-sokoladnyj-merengovyj-180g-4348491	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Бенто Морковный Маркет, 240г	https://www.perekrestok.ru/cat/201/p/tort-bento-morkovnyj-market-240g-4346022	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Leberge Премиум Йогуртово-Черничный, 580г	https://www.perekrestok.ru/cat/201/p/tort-leberge-premium-jogurtovo-cernicnyj-580g-4320618	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт	Sun Jul  7 23:20:00 2024
Кейс-торт Манго Магия с маракуйей, 240г	https://www.perekrestok.ru/cat/201/p/kejs-tort-mango-magia-s-marakujej-240g-4344586	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Leberge Маракуйя бисквитно-маковый, 500г	https://www.perekrestok.ru/cat/201/p/tort-leberge-marakuja-biskvitno-makovyj-500g-4337769	msk	Москва, Большой Патриарший переулок, 5	699,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт-мини Yozh Морковный, 500г	https://www.perekrestok.ru/cat/201/p/tort-mini-yozh-morkovnyj-500g-4346408	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Yozh бисквитный с миндалём, 330г	https://www.perekrestok.ru/cat/201/p/tort-yozh-biskvitnyj-s-mindalem-330g-4346727	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Yozh бисквитный с арахисом, 470г	https://www.perekrestok.ru/cat/201/p/tort-yozh-biskvitnyj-s-arahisom-470g-4346733	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт бисквитный Baker House Трюфель, 350г	https://www.perekrestok.ru/cat/201/p/tort-biskvitnyj-baker-house-trufel-350g-3466436	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт бисквитный Baker House Шварцвальд, 350г	https://www.perekrestok.ru/cat/201/p/tort-biskvitnyj-baker-house-svarcvald-350g-3468876	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Черемушки Малиновое Облако, 390г	https://www.perekrestok.ru/cat/201/p/tort-ceremuski-malinovoe-oblako-390g-4331982	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт бисквитный Baker House Тирамису с кремовой начинкой, 500г	https://www.perekrestok.ru/cat/201/p/tort-biskvitnyj-baker-house-tiramisu-s-kremovoj-nacinkoj-500g-3437011	msk	Москва, Большой Патриарший переулок, 5	469,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Черёмушки Тирамису, 430г	https://www.perekrestok.ru/cat/201/p/tort-ceremuski-tiramisu-430g-3609745	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт бисквитный Baker House Виттория клубничный, 350г	https://www.perekrestok.ru/cat/201/p/tort-biskvitnyj-baker-house-vittoria-klubnicnyj-350g-3656796	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Русская Нива Мак-Лимон бисквитный, 300г	https://www.perekrestok.ru/cat/201/p/tort-russkaa-niva-mak-limon-biskvitnyj-300g-4310570	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт бисквитный Русская Нива Творожник, 300г	https://www.perekrestok.ru/cat/201/p/tort-biskvitnyj-russkaa-niva-tvoroznik-300g-4077934	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Коломенское Шоколадница с фундуком вафельный, 230г	https://www.perekrestok.ru/cat/201/p/tort-kolomenskoe-sokoladnica-s-fundukom-vafelnyj-230g-4243232	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Вафельный классический Маркет, 240г	https://www.perekrestok.ru/cat/201/p/tort-vafelnyj-klassiceskij-market-240g-4270609	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт вафельный Шоколадница с арахисом, 400г	https://www.perekrestok.ru/cat/201/p/tort-vafelnyj-sokoladnica-s-arahisom-400g-4243234	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Шоколадница с орехами и изюмом вафельный, 250г	https://www.perekrestok.ru/cat/201/p/tort-sokoladnica-s-orehami-i-izumom-vafelnyj-250g-4252087	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт вафельный Шоколадница с арахисом, 230г	https://www.perekrestok.ru/cat/201/p/tort-vafelnyj-sokoladnica-s-arahisom-230g-4252088	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт вафельный Шоколадница с миндалем, 230г	https://www.perekrestok.ru/cat/201/p/tort-vafelnyj-sokoladnica-s-mindalem-230g-4243233	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Вафельный с орехами и изюмом Маркет Collection, 270г	https://www.perekrestok.ru/cat/201/p/tort-vafelnyj-s-orehami-i-izumom-market-collection-270g-4270604	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Чудесное Далеко Классический вафельный, 240г	https://www.perekrestok.ru/cat/201/p/tort-cudesnoe-daleko-klassiceskij-vafelnyj-240g-4349914	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Сахарoff Сливочный вафельный с сахарозаменителем, 185г	https://www.perekrestok.ru/cat/201/p/tort-saharoff-slivocnyj-vafelnyj-s-saharozamenitelem-185g-4277781	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Чудесное Далёко вафельный с орехами и изюмом, 270г	https://www.perekrestok.ru/cat/201/p/tort-cudesnoe-daleko-vafelnyj-s-orehami-i-izumom-270g-4349905	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Mirel Наполеон классический, 550г	https://www.perekrestok.ru/cat/201/p/tort-mirel-napoleon-klassiceskij-550g-3695494	msk	Москва, Большой Патриарший переулок, 5	479,99 ₽/шт	Sun Jul  7 23:20:00 2024
Торт Черёмушки Наполеон слоёный, 310г	https://www.perekrestok.ru/cat/201/p/tort-ceremuski-napoleon-sloenyj-310g-4295622	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт	Sun Jul  7 23:20:00 2024
