name	url	locale	address	price
Творог 9% Молочный знак, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-9-molocnyj-znak-180g-4216658	msk	Москва, Большой Патриарший переулок, 5	84,90 ₽/шт
Творог 9% Зелёная Линия, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-9-zelenaa-linia-180g-4249286	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт
Творог мягкий 4.5% Зелёная Линия, 120г	https://www.perekrestok.ru/cat/117/p/tvorog-magkij-4-5-zelenaa-linia-120g-4069819	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Творог Мягкий с наполнителем Манго-Маракуйя 3% Зелёная Линия, 100г	https://www.perekrestok.ru/cat/117/p/tvorog-magkij-s-napolnitelem-mango-marakuja-3-zelenaa-linia-100g-4260774	msk	Москва, Большой Патриарший переулок, 5	57,99 ₽/шт
Творог 5% Зелёная Линия, 400г	https://www.perekrestok.ru/cat/117/p/tvorog-5-zelenaa-linia-400g-4128957	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Творог обезжиренный 0.5% Молочный Знак, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-obezzirennyj-0-5-molocnyj-znak-180g-4331301	msk	Москва, Большой Патриарший переулок, 5	45,06 ₽/шт
Творог Савушкин Хуторок рассыпчатый 0.5%, 350г	https://www.perekrestok.ru/cat/117/p/tvorog-savuskin-hutorok-rassypcatyj-0-5-350g-3600615	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Творог 5% Молочный знак, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-5-molocnyj-znak-180g-4216657	msk	Москва, Большой Патриарший переулок, 5	81,99 ₽/шт
Творог Простоквашино 9%, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-prostokvasino-9-180g-3487310	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Творог 5% Зелёная Линия, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-5-zelenaa-linia-180g-4249284	msk	Москва, Большой Патриарший переулок, 5	87,99 ₽/шт
Творог Искренне Ваш 5%, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-iskrenne-vas-5-180g-23862	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Творог Искренне Ваш 9%, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-iskrenne-vas-9-180g-3293011	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Творог Рузское Молоко Рузский 9%, 200г	https://www.perekrestok.ru/cat/117/p/tvorog-ruzskoe-moloko-ruzskij-9-200g-4096840	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Творог 5% Молочный Знак, 400г	https://www.perekrestok.ru/cat/117/p/tvorog-5-molocnyj-znak-400g-4299495	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Творог Вкуснотеево 9%, 750г	https://www.perekrestok.ru/cat/117/p/tvorog-vkusnoteevo-9-750g-3486018	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Творог Вкуснотеево 9%, 300г	https://www.perekrestok.ru/cat/117/p/tvorog-vkusnoteevo-9-300g-3634733	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Творог Parmalat Comfort Рассыпчатый безлактозный 9%, 260г	https://www.perekrestok.ru/cat/117/p/tvorog-parmalat-comfort-rassypcatyj-bezlaktoznyj-9-260g-4324115	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Творог Савушкин Хуторок 5%, 300г	https://www.perekrestok.ru/cat/117/p/tvorog-savuskin-hutorok-5-300g-3670593	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Творог с черничным вареньем 5% Зелёная Линия, 160г	https://www.perekrestok.ru/cat/117/p/tvorog-s-cernicnym-varenem-5-zelenaa-linia-160g-4307758	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт
Творог Искренне Ваш 9%, 500г	https://www.perekrestok.ru/cat/117/p/tvorog-iskrenne-vas-9-500g-4014123	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Творог с земляничным вареньем 5% Зелёная Линия, 160г	https://www.perekrestok.ru/cat/117/p/tvorog-s-zemlanicnym-varenem-5-zelenaa-linia-160g-4307755	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт
Творог Ростагроэкспорт 9%, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-rostagroeksport-9-180g-3490825	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Творог с брусничным вареньем 5% Зелёная Линия, 160г	https://www.perekrestok.ru/cat/117/p/tvorog-s-brusnicnym-varenem-5-zelenaa-linia-160g-4307757	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт
Творог Рузское Молоко Рузский 5%, 200г	https://www.perekrestok.ru/cat/117/p/tvorog-ruzskoe-moloko-ruzskij-5-200g-4096834	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Творог Вкуснотеево с изюмом мягкий 5%, 175г	https://www.perekrestok.ru/cat/117/p/tvorog-vkusnoteevo-s-izumom-magkij-5-175g-4050549	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт
Творог 9% Молочный Знак, 400г	https://www.perekrestok.ru/cat/117/p/tvorog-9-molocnyj-znak-400g-4299497	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Творог Эконива 9%, 180г	https://www.perekrestok.ru/cat/117/p/tvorog-ekoniva-9-180g-4254791	msk	Москва, Большой Патриарший переулок, 5	91,99 ₽/шт
Творог Из Молока Нашей Дойки из цельного молока 10-20%, 350г	https://www.perekrestok.ru/cat/117/p/tvorog-iz-moloka-nasej-dojki-iz-celnogo-moloka-10-20-350g-4068596	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Творог Мягкий абрикос-апельсин 3% Зелёная Линия, 100г	https://www.perekrestok.ru/cat/117/p/tvorog-magkij-abrikos-apelsin-3-zelenaa-linia-100g-4254424	msk	Москва, Большой Патриарший переулок, 5	57,99 ₽/шт
Масса творожная Ростагроэкспорт Особая с изюмом 23%, 180г	https://www.perekrestok.ru/cat/117/p/massa-tvoroznaa-rostagroeksport-osobaa-s-izumom-23-180g-3407477	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Масса А.Ростагрокомплекс Особая творожная с курагой 23%, 100г	https://www.perekrestok.ru/cat/117/p/massa-a-rostagrokompleks-osobaa-tvoroznaa-s-kuragoj-23-100g-4227563	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт
Масса творожная Ростагроэкспорт с курагой особая 23%, 180г	https://www.perekrestok.ru/cat/117/p/massa-tvoroznaa-rostagroeksport-s-kuragoj-osobaa-23-180g-3614551	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Масса творожная с изюмом 16.5% Зелёная Линия, 180г	https://www.perekrestok.ru/cat/117/p/massa-tvoroznaa-s-izumom-16-5-zelenaa-linia-180g-4249288	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Масса А.Ростагрокомплекс Особая творожная с изюмом 23%, 100г	https://www.perekrestok.ru/cat/117/p/massa-a-rostagrokompleks-osobaa-tvoroznaa-s-izumom-23-100g-4227562	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт
Масса творожная Ростагроэкспорт Особая с сахаром, манго и семенами чиа 23%, 180г	https://www.perekrestok.ru/cat/117/p/massa-tvoroznaa-rostagroeksport-osobaa-s-saharom-mango-i-semenami-cia-23-180g-4310376	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Масса творожная Ростагроэкспорт Особая с сахаром и черносливом 23%, 180г	https://www.perekrestok.ru/cat/117/p/massa-tvoroznaa-rostagroeksport-osobaa-s-saharom-i-cernoslivom-23-180g-4310377	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт
Масса Свитлогорье творожная с ароматом ванили 14%, 180г	https://www.perekrestok.ru/cat/117/p/massa-svitlogore-tvoroznaa-s-aromatom-vanili-14-180g-4282449	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Творог Parmalat Comfort Рассыпчатый безлактозный 5%, 260г	https://www.perekrestok.ru/cat/117/p/tvorog-parmalat-comfort-rassypcatyj-bezlaktoznyj-5-260g-4324116	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Творог Карат+ зернёный домашний 4%, 200г	https://www.perekrestok.ru/cat/117/p/tvorog-karat-zernenyj-domasnij-4-200g-3603637	msk	Москва, Большой Патриарший переулок, 5	97,99 ₽/шт
Творог Савушкин Продукт зернёный 5%, 300г	https://www.perekrestok.ru/cat/117/p/tvorog-savuskin-produkt-zernenyj-5-300g-4181035	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
