name	url	locale	address	price	time
Уксус бальзамический СП Мирный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-balzamiceskij-sp-mirnyj-6-250ml-3391814	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус СП Мирный бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-balzamiceskij-6-250ml-3907364	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Kuhne бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-balzamiceskij-6-250ml-50565	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Casa Rinaldi бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-casa-rinaldi-balzamiceskij-6-250ml-3014968	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Ortalli из белого вина бальзамический, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-ortalli-iz-belogo-vina-balzamiceskij-250ml-4158550	msk	Москва, Большой Патриарший переулок, 5	429,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Bio Casa Rinaldi бальзамический, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-bio-casa-rinaldi-balzamiceskij-250ml-4013008	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Setra бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-setra-balzamiceskij-6-250ml-3656227	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус СП Мирный яблочный фруктовый натуральный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-ablocnyj-fruktovyj-naturalnyj-6-250ml-3907371	msk	Москва, Большой Патриарший переулок, 5	77,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус яблочный СП Мирный натуральный 6%, 500мл	https://www.perekrestok.ru/cat/222/p/uksus-ablocnyj-sp-mirnyj-naturalnyj-6-500ml-3359263	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Setra яблочный натуральный органический нефильтрованный 4%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-setra-ablocnyj-naturalnyj-organiceskij-nefiltrovannyj-4-250ml-3656228	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Kuhne яблочный 5%, 750мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-ablocnyj-5-750ml-20996	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус СП Мирный винный фруктовый натуральный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-vinnyj-fruktovyj-naturalnyj-6-250ml-3907363	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Ortalli Modena Spray винный бальзамический, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-ortalli-modena-spray-vinnyj-balzamiceskij-250ml-4158553	msk	Москва, Большой Патриарший переулок, 5	499,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Ortalli Modena винный бальзамический, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-ortalli-modena-vinnyj-balzamiceskij-250ml-4158551	msk	Москва, Большой Патриарший переулок, 5	699,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус столовый 9% Пр!ст, 1л	https://www.perekrestok.ru/cat/222/p/uksus-stolovyj-9-pr-st-1l-3456286	msk	Москва, Большой Патриарший переулок, 5	71,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксусная кислота 70% Пр!ст, 168мл	https://www.perekrestok.ru/cat/222/p/uksusnaa-kislota-70-pr-st-168ml-3631309	msk	Москва, Большой Патриарший переулок, 5	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус КомисКом столовый 9%, 500мл	https://www.perekrestok.ru/cat/222/p/uksus-komiskom-stolovyj-9-500ml-3361387	msk	Москва, Большой Патриарший переулок, 5	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус пищевой синтетический столовый 9% Пр!ст, 500мл	https://www.perekrestok.ru/cat/222/p/uksus-pisevoj-sinteticeskij-stolovyj-9-pr-st-500ml-4110015	msk	Москва, Большой Патриарший переулок, 5	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Sen Soy рисовый для суши 3%, 220мл	https://www.perekrestok.ru/cat/222/p/uksus-sen-soy-risovyj-dla-susi-3-220ml-3262366	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус гранатовый Setra натуральный нефильтрованный 5%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-granatovyj-setra-naturalnyj-nefiltrovannyj-5-250ml-4035609	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Casa Rinaldi бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-casa-rinaldi-balzamiceskij-6-250ml-3014968	spb	Санкт-Петербург, Биржевая площадь, 4	409,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Kuhne бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-balzamiceskij-6-250ml-50565	spb	Санкт-Петербург, Биржевая площадь, 4	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус бальзамический СП Мирный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-balzamiceskij-sp-mirnyj-6-250ml-3391814	spb	Санкт-Петербург, Биржевая площадь, 4	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Kuhne яблочный 5%, 750мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-ablocnyj-5-750ml-20996	spb	Санкт-Петербург, Биржевая площадь, 4	469,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус СП Мирный винный фруктовый натуральный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-vinnyj-fruktovyj-naturalnyj-6-250ml-3907363	spb	Санкт-Петербург, Биржевая площадь, 4	69,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Kuhne из белого вина 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-iz-belogo-vina-6-250ml-50572	spb	Санкт-Петербург, Биржевая площадь, 4	289,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Ortalli Modena винный бальзамический, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-ortalli-modena-vinnyj-balzamiceskij-250ml-4158551	spb	Санкт-Петербург, Биржевая площадь, 4	699,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус КомисКом столовый 9%, 500мл	https://www.perekrestok.ru/cat/222/p/uksus-komiskom-stolovyj-9-500ml-3361387	spb	Санкт-Петербург, Биржевая площадь, 4	49,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус пищевой синтетический столовый 9% Пр!ст, 500мл	https://www.perekrestok.ru/cat/222/p/uksus-pisevoj-sinteticeskij-stolovyj-9-pr-st-500ml-4110015	spb	Санкт-Петербург, Биржевая площадь, 4	45,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксусная кислота 70% Пр!ст, 168мл	https://www.perekrestok.ru/cat/222/p/uksusnaa-kislota-70-pr-st-168ml-3631309	spb	Санкт-Петербург, Биржевая площадь, 4	59,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус столовый 9% Пр!ст, 1л	https://www.perekrestok.ru/cat/222/p/uksus-stolovyj-9-pr-st-1l-3456286	spb	Санкт-Петербург, Биржевая площадь, 4	35,30 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Sen Soy рисовый для суши 3%, 220мл	https://www.perekrestok.ru/cat/222/p/uksus-sen-soy-risovyj-dla-susi-3-220ml-3262366	spb	Санкт-Петербург, Биржевая площадь, 4	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус бальзамический СП Мирный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-balzamiceskij-sp-mirnyj-6-250ml-3391814	ekb	Екатеринбург, ул. Бориса Ельцина, 3	77,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус СП Мирный бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-balzamiceskij-6-250ml-3907364	ekb	Екатеринбург, ул. Бориса Ельцина, 3	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Kuhne бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-balzamiceskij-6-250ml-50565	ekb	Екатеринбург, ул. Бориса Ельцина, 3	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Casa Rinaldi бальзамический 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-casa-rinaldi-balzamiceskij-6-250ml-3014968	ekb	Екатеринбург, ул. Бориса Ельцина, 3	329,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус СП Мирный яблочный фруктовый натуральный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-ablocnyj-fruktovyj-naturalnyj-6-250ml-3907371	ekb	Екатеринбург, ул. Бориса Ельцина, 3	67,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус яблочный СП Мирный натуральный 6%, 500мл	https://www.perekrestok.ru/cat/222/p/uksus-ablocnyj-sp-mirnyj-naturalnyj-6-500ml-3359263	ekb	Екатеринбург, ул. Бориса Ельцина, 3	55,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Kuhne яблочный 5%, 750мл	https://www.perekrestok.ru/cat/222/p/uksus-kuhne-ablocnyj-5-750ml-20996	ekb	Екатеринбург, ул. Бориса Ельцина, 3	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус Кинто яблочный 5%, 500мл	https://www.perekrestok.ru/cat/222/p/uksus-kinto-ablocnyj-5-500ml-4276652	ekb	Екатеринбург, ул. Бориса Ельцина, 3	259,99 ₽/шт	Sun Jul  7 23:20:00 2024
Уксус СП Мирный винный фруктовый натуральный 6%, 250мл	https://www.perekrestok.ru/cat/222/p/uksus-sp-mirnyj-vinnyj-fruktovyj-naturalnyj-6-250ml-3907363	ekb	Екатеринбург, ул. Бориса Ельцина, 3	81,99 ₽/шт	Sun Jul  7 23:20:00 2024
