name	url	locale	address	price
Набор Рыбка Моей Мечты пивной вяленый, 200г	https://www.perekrestok.ru/cat/794/p/nabor-rybka-moej-mecty-pivnoj-valenyj-200g-4295355	msk	Москва, Большой Патриарший переулок, 5	154,99 ₽/шт
Кета Ловим&Вялим соломка вяленая, 50г	https://www.perekrestok.ru/cat/812/p/keta-lovim-valim-solomka-valenaa-50g-4241716	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Щука Вяльково вяленая соломка, 40г	https://www.perekrestok.ru/cat/812/p/suka-valkovo-valenaa-solomka-40g-3626024	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт
Форель Kala Ranta радужная соломка сушено-вяленая, 50г	https://www.perekrestok.ru/cat/812/p/forel-kala-ranta-raduznaa-solomka-suseno-valenaa-50g-4236283	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Форель Патипро Паутинка сушено-вяленая, 70г	https://www.perekrestok.ru/cat/812/p/forel-patipro-pautinka-suseno-valenaa-70g-4201539	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Сёмга Патипро Паутинка сушёно-вяленая, 70г	https://www.perekrestok.ru/cat/812/p/semga-patipro-pautinka-suseno-valenaa-70g-4201541	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Камбала-ёрш обезглавленная вяленая	https://www.perekrestok.ru/cat/812/p/kambala-ers-obezglavlennaa-valenaa-4176744	spb	Санкт-Петербург, Биржевая площадь, 4	1 299,00 ₽/кг
Плотва Балтийский Улов неразделанная вяленая	https://www.perekrestok.ru/cat/794/p/plotva-baltijskij-ulov-nerazdelannaa-valenaa-4275577	spb	Санкт-Петербург, Биржевая площадь, 4	579,99 ₽/кг
Вобла Каспийская вяленая неразделанная	https://www.perekrestok.ru/cat/812/p/vobla-kaspijskaa-valenaa-nerazdelannaa-4289028	spb	Санкт-Петербург, Биржевая площадь, 4	839,99 ₽/кг
Форель радужная паутинка	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-pautinka-4289029	spb	Санкт-Петербург, Биржевая площадь, 4	1 349,00 ₽/кг
Плотва Рыбка Моей Мечты вяленая, 150г	https://www.perekrestok.ru/cat/794/p/plotva-rybka-moej-mecty-valenaa-150g-4296366	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт
Набор Рыбка Моей Мечты пивной вяленый, 200г	https://www.perekrestok.ru/cat/794/p/nabor-rybka-moej-mecty-pivnoj-valenyj-200g-4295355	spb	Санкт-Петербург, Биржевая площадь, 4	169,99 ₽/шт
Форель Патипро Паутинка сушено-вяленая, 70г	https://www.perekrestok.ru/cat/812/p/forel-patipro-pautinka-suseno-valenaa-70g-4201539	spb	Санкт-Петербург, Биржевая площадь, 4	99,99 ₽/шт
Щука Вяльково вяленая соломка, 40г	https://www.perekrestok.ru/cat/812/p/suka-valkovo-valenaa-solomka-40g-3626024	spb	Санкт-Петербург, Биржевая площадь, 4	73,99 ₽/шт
Форель Kala Ranta радужная соломка сушено-вяленая, 50г	https://www.perekrestok.ru/cat/812/p/forel-kala-ranta-raduznaa-solomka-suseno-valenaa-50g-4236283	spb	Санкт-Петербург, Биржевая площадь, 4	179,99 ₽/шт
Кета Ловим&Вялим соломка вяленая, 50г	https://www.perekrestok.ru/cat/812/p/keta-lovim-valim-solomka-valenaa-50g-4241716	ekb	Екатеринбург, ул. Бориса Ельцина, 3	129,99 ₽/шт
Плотва Рыбка Моей Мечты вяленая, 150г	https://www.perekrestok.ru/cat/794/p/plotva-rybka-moej-mecty-valenaa-150g-4296366	ekb	Екатеринбург, ул. Бориса Ельцина, 3	99,99 ₽/шт
Щука Вяльково вяленая соломка, 40г	https://www.perekrestok.ru/cat/812/p/suka-valkovo-valenaa-solomka-40g-3626024	ekb	Екатеринбург, ул. Бориса Ельцина, 3	65,99 ₽/шт
Форель Kala Ranta радужная соломка сушено-вяленая, 50г	https://www.perekrestok.ru/cat/812/p/forel-kala-ranta-raduznaa-solomka-suseno-valenaa-50g-4236283	ekb	Екатеринбург, ул. Бориса Ельцина, 3	179,99 ₽/шт
Горбуша Тарань-ка Юкола сушеная, 80г	https://www.perekrestok.ru/cat/794/p/gorbusa-taran-ka-ukola-susenaa-80g-4296364	ekb	Екатеринбург, ул. Бориса Ельцина, 3	139,99 ₽/шт
"Вобла 	Rыба&Sоль вяленая неразделанная, 200г"	https://www.perekrestok.ru/cat/812/p/vobla-ryba-sol-valenaa-nerazdelannaa-200g-3679378	nn	Нижний Новгород, площадь Минина и Пожарского, 2	189,99 ₽/шт
Кета Ловим&Вялим соломка вяленая, 50г	https://www.perekrestok.ru/cat/812/p/keta-lovim-valim-solomka-valenaa-50g-4241716	nn	Нижний Новгород, площадь Минина и Пожарского, 2	134,99 ₽/шт
Плотва Рыбка Моей Мечты вяленая, 150г	https://www.perekrestok.ru/cat/794/p/plotva-rybka-moej-mecty-valenaa-150g-4296366	nn	Нижний Новгород, площадь Минина и Пожарского, 2	99,99 ₽/шт
Горбуша Вяльково вяленая палочки, 30г	https://www.perekrestok.ru/cat/812/p/gorbusa-valkovo-valenaa-palocki-30g-3611300	nn	Нижний Новгород, площадь Минина и Пожарского, 2	59,99 ₽/шт
Сом Вяльково вяленый соломка, 40г	https://www.perekrestok.ru/cat/812/p/som-valkovo-valenyj-solomka-40g-3626025	nn	Нижний Новгород, площадь Минина и Пожарского, 2	71,99 ₽/шт
Сёмга Патипро Паутинка сушёно-вяленая, 70г	https://www.perekrestok.ru/cat/812/p/semga-patipro-pautinka-suseno-valenaa-70g-4201541	nn	Нижний Новгород, площадь Минина и Пожарского, 2	129,99 ₽/шт
Кета Патипро соломка сушено-вяленая	https://www.perekrestok.ru/cat/812/p/keta-patipro-solomka-suseno-valenaa-4118955	nn	Нижний Новгород, площадь Минина и Пожарского, 2	1 849,00 ₽/кг
Горбуша вяленая палочки	https://www.perekrestok.ru/cat/812/p/gorbusa-valenaa-palocki-30287	nn	Нижний Новгород, площадь Минина и Пожарского, 2	1 799,00 ₽/кг
Набор Рыбка Моей Мечты пивной вяленый, 200г	https://www.perekrestok.ru/cat/794/p/nabor-rybka-moej-mecty-pivnoj-valenyj-200g-4295355	pg	Пятигорск, улица Малыгина, 5	119,99 ₽/шт
Кета Ловим&Вялим соломка вяленая, 50г	https://www.perekrestok.ru/cat/812/p/keta-lovim-valim-solomka-valenaa-50g-4241716	pg	Пятигорск, улица Малыгина, 5	129,99 ₽/шт
Щука Вяльково вяленая соломка, 40г	https://www.perekrestok.ru/cat/812/p/suka-valkovo-valenaa-solomka-40g-3626024	pg	Пятигорск, улица Малыгина, 5	65,99 ₽/шт
Корюшка Азиатская неразделанная вяленая Маркет, 200г	https://www.perekrestok.ru/cat/812/p/koruska-aziatskaa-nerazdelannaa-valenaa-market-200g-4299474	pg	Пятигорск, улица Малыгина, 5	399,99 ₽/шт
Форель Патипро Паутинка сушено-вяленая, 70г	https://www.perekrestok.ru/cat/812/p/forel-patipro-pautinka-suseno-valenaa-70g-4201539	pg	Пятигорск, улица Малыгина, 5	99,99 ₽/шт
Сёмга Патипро Паутинка сушёно-вяленая, 70г	https://www.perekrestok.ru/cat/812/p/semga-patipro-pautinka-suseno-valenaa-70g-4201541	pg	Пятигорск, улица Малыгина, 5	129,99 ₽/шт
Набор Рыбка Моей Мечты пивной вяленый, 200г	https://www.perekrestok.ru/cat/794/p/nabor-rybka-moej-mecty-pivnoj-valenyj-200g-4295355	rnd	Ростов-на-Дону, Будённовский проспект, 45	169,99 ₽/шт
Кета Ловим&Вялим соломка вяленая, 50г	https://www.perekrestok.ru/cat/812/p/keta-lovim-valim-solomka-valenaa-50g-4241716	rnd	Ростов-на-Дону, Будённовский проспект, 45	114,99 ₽/шт
Щука Вяльково вяленая соломка, 40г	https://www.perekrestok.ru/cat/812/p/suka-valkovo-valenaa-solomka-40g-3626024	rnd	Ростов-на-Дону, Будённовский проспект, 45	59,99 ₽/шт
Горбуша Вяльково вяленая палочки, 30г	https://www.perekrestok.ru/cat/812/p/gorbusa-valkovo-valenaa-palocki-30g-3611300	rnd	Ростов-на-Дону, Будённовский проспект, 45	59,99 ₽/шт
Корюшка Азиатская неразделанная вяленая Маркет, 200г	https://www.perekrestok.ru/cat/812/p/koruska-aziatskaa-nerazdelannaa-valenaa-market-200g-4299474	rnd	Ростов-на-Дону, Будённовский проспект, 45	399,99 ₽/шт
