name	url	locale	address	price	time
Вино Sottocielo Неро Д'Авола красное сухое, 750мл	https://www.perekrestok.ru/cat/2/p/vino-sottocielo-nero-davola-krasnoe-suhoe-750ml-4215286	msk	Москва, Большой Патриарший переулок, 5	799,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вино Lemi Киндзмараули красное полусладкое, 750мл	https://www.perekrestok.ru/cat/2/p/vino-lemi-kindzmarauli-krasnoe-polusladkoe-750ml-4231764	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вино Highway to Hell красное сухое 13%, 750мл	https://www.perekrestok.ru/cat/2/p/vino-highway-to-hell-krasnoe-suhoe-13-750ml-4169130	msk	Москва, Большой Патриарший переулок, 5	749,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вино Chateau l'Eclair Cabernet красное сухое 10%, 750мл	https://www.perekrestok.ru/cat/2/p/vino-chateau-leclair-cabernet-krasnoe-suhoe-10-750ml-4181689	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вино Chateau l'Eclair Merlot красное полусладкое 10%, 750мл	https://www.perekrestok.ru/cat/2/p/vino-chateau-leclair-merlot-krasnoe-polusladkoe-10-750ml-4181690	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт	Sun Jul  7 23:20:00 2024
Плодовый алкогольный напиток Pom-X гранатовый полусладкий 12%, 750мл	https://www.perekrestok.ru/cat/2/p/plodovyj-alkogolnyj-napitok-pom-x-granatovyj-polusladkij-12-750ml-4275179	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вино Castillo Santa Barbara Вьехо красное сухое, 187мл	https://www.perekrestok.ru/cat/2/p/vino-castillo-santa-barbara-veho-krasnoe-suhoe-187ml-4258812	msk	Москва, Большой Патриарший переулок, 5	429,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вино Mayrik красное сухое 13%, 750мл	https://www.perekrestok.ru/cat/2/p/vino-mayrik-krasnoe-suhoe-13-750ml-4195678	msk	Москва, Большой Патриарший переулок, 5	469,99 ₽/шт	Sun Jul  7 23:20:00 2024
Портвейн Manuel D. Pocas Junior Руби красный марочный 16%, 750мл	https://www.perekrestok.ru/cat/2/p/portvejn-manuel-d-pocas-junior-rubi-krasnyj-marocnyj-16-750ml-4215390	msk	Москва, Большой Патриарший переулок, 5	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Вино красное сухое 21 Wine Street Pinot Noir, 750мл	https://www.perekrestok.ru/cat/2/p/vino-krasnoe-suhoe-21-wine-street-pinot-noir-750ml-4270441	msk	Москва, Большой Патриарший переулок, 5	899,99 ₽/шт	Sun Jul  7 23:20:00 2024
