name	url	locale	address	price	time
Вода Evian минеральная столовая негазированная, 1.5л	https://www.perekrestok.ru/cat/208/p/voda-evian-mineralnaa-stolovaa-negazirovannaa-1-5l-3020	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Псыж минеральная питьевая лечебно-столовая газированная, 1л	https://www.perekrestok.ru/cat/208/p/voda-psyz-mineralnaa-pitevaa-lecebno-stolovaa-gazirovannaa-1l-3629622	msk	Москва, Большой Патриарший переулок, 5	44,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Святой источник природная питьевая газированная, 1.5л	https://www.perekrestok.ru/cat/208/p/voda-svatoj-istocnik-prirodnaa-pitevaa-gazirovannaa-1-5l-20388	msk	Москва, Большой Патриарший переулок, 5	55,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Рычал су минеральная лечебно-столовая газированная, 1л	https://www.perekrestok.ru/cat/208/p/voda-rycal-su-mineralnaa-lecebno-stolovaa-gazirovannaa-1l-81003	msk	Москва, Большой Патриарший переулок, 5	93,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Малаховская питьевая 1 категории газированная Пр!ст, 2л	https://www.perekrestok.ru/cat/208/p/voda-malahovskaa-pitevaa-1-kategorii-gazirovannaa-pr-st-2l-3625734	msk	Москва, Большой Патриарший переулок, 5	31,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Архыз Легенда Гор минеральная газированная, 1.5л	https://www.perekrestok.ru/cat/208/p/voda-arhyz-legenda-gor-mineralnaa-gazirovannaa-1-5l-3630603	msk	Москва, Большой Патриарший переулок, 5	44,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Боржоми минеральная лечебно-столовая газированная, 500мл	https://www.perekrestok.ru/cat/208/p/voda-borzomi-mineralnaa-lecebno-stolovaa-gazirovannaa-500ml-81514	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Архыз Вита минеральная газированная, 1.5л	https://www.perekrestok.ru/cat/208/p/voda-arhyz-vita-mineralnaa-gazirovannaa-1-5l-74767	msk	Москва, Большой Патриарший переулок, 5	44,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Ессентуки №4 минеральная природная питьевая лечебно-столовая газированная, 450мл	https://www.perekrestok.ru/cat/208/p/voda-essentuki-no4-mineralnaa-prirodnaa-pitevaa-lecebno-stolovaa-gazirovannaa-450ml-3977405	msk	Москва, Большой Патриарший переулок, 5	79,99 ₽/шт	Sun Jul  7 23:20:00 2024
Вода Нарзан минеральная природная лечебно-столовая газированная, 1л	https://www.perekrestok.ru/cat/208/p/voda-narzan-mineralnaa-prirodnaa-lecebno-stolovaa-gazirovannaa-1l-20676	msk	Москва, Большой Патриарший переулок, 5	83,99 ₽/шт	Sun Jul  7 23:20:00 2024
