name	url	locale	address	price	time
Водка Absolut 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-absolut-40-500ml-1373	msk	Москва, Большой Патриарший переулок, 5	1 099,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Obeliu Крафтед 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-obeliu-krafted-40-700ml-4170479	msk	Москва, Большой Патриарший переулок, 5	1 099,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Jinro Соджу джинро со вкусом и ароматом сливы 13%, 360мл	https://www.perekrestok.ru/cat/6/p/vodka-jinro-sodzu-dzinro-so-vkusom-i-aromatom-slivy-13-360ml-4063714	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Finsky Ice 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-finsky-ice-40-500ml-3408128	msk	Москва, Большой Патриарший переулок, 5	299,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Коноплянка Родниковая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-konoplanka-rodnikovaa-40-500ml-4104513	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Beluga Нобл 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-beluga-nobl-40-500ml-2047168	msk	Москва, Большой Патриарший переулок, 5	919,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Архангельская Северная выдержка 40%, 100мл	https://www.perekrestok.ru/cat/6/p/vodka-arhangelskaa-severnaa-vyderzka-40-100ml-4302853	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Хаски 40%, 250мл	https://www.perekrestok.ru/cat/6/p/vodka-haski-40-250ml-4207137	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Архангельская Северная выдержка 40%, 1л	https://www.perekrestok.ru/cat/6/p/vodka-arhangelskaa-severnaa-vyderzka-40-1l-4150395	msk	Москва, Большой Патриарший переулок, 5	739,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Jinro Соджу джинро со вкусом и ароматом зеленого винограда 13%, 360мл	https://www.perekrestok.ru/cat/6/p/vodka-jinro-sodzu-dzinro-so-vkusom-i-aromatom-zelenogo-vinograda-13-360ml-4063711	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Baikal Nerpa Органик 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-baikal-nerpa-organik-40-700ml-4098423	msk	Москва, Большой Патриарший переулок, 5	729,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Чистые Росы 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-cistye-rosy-40-500ml-3608306	msk	Москва, Большой Патриарший переулок, 5	1 099,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Царская 40%, 1л	https://www.perekrestok.ru/cat/6/p/vodka-carskaa-40-1l-14969	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Spelta 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-spelta-40-500ml-4284241	msk	Москва, Большой Патриарший переулок, 5	1 999,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Jinro Соджу со вкусом и ароматом персика 13%, 360мл	https://www.perekrestok.ru/cat/6/p/vodka-jinro-sodzu-so-vkusom-i-aromatom-persika-13-360ml-4246249	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Архангельская Северные травы особая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-arhangelskaa-severnye-travy-osobaa-40-500ml-4066597	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Tundra Аутентик Водка Крайнего Севера 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-tundra-autentik-vodka-krajnego-severa-40-500ml-3602520	msk	Москва, Большой Патриарший переулок, 5	389,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Remeslo Ремесло Фермера Выдержанная 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-remeslo-remeslo-fermera-vyderzannaa-40-500ml-4208759	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Беленькая Ржаной солод особая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-belenkaa-rzanoj-solod-osobaa-40-500ml-4038631	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Mamont Rye особая 40% 500мл	https://www.perekrestok.ru/cat/6/p/vodka-mamont-rye-osobaa-40-500ml-4321112	msk	Москва, Большой Патриарший переулок, 5	949,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Зимняя деревенька на солодовом спирте Альфа 40%, 1л	https://www.perekrestok.ru/cat/6/p/vodka-zimnaa-derevenka-na-solodovom-spirte-alfa-40-1l-4245455	msk	Москва, Большой Патриарший переулок, 5	739,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Талка Ледяника особая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-talka-ledanika-osobaa-40-500ml-3983141	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Коктебель Граппа Резерв виноградная 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-koktebel-grappa-rezerv-vinogradnaa-40-500ml-4214086	msk	Москва, Большой Патриарший переулок, 5	759,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Зёрна Севера 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-zerna-severa-40-500ml-4128904	msk	Москва, Большой Патриарший переулок, 5	539,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Чистые Росы 40%, 0.05л	https://www.perekrestok.ru/cat/6/p/vodka-cistye-rosy-40-0-05l-3681833	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Grappa dei Colli виноградная 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-grappa-dei-colli-vinogradnaa-40-700ml-4200902	msk	Москва, Большой Патриарший переулок, 5	1 399,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Bionica Груша особая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-bionica-grusa-osobaa-40-500ml-4243203	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Дворцовая коллекция 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-dvorcovaa-kollekcia-40-500ml-3927647	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Русский Стандарт 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-russkij-standart-40-700ml-3421054	msk	Москва, Большой Патриарший переулок, 5	719,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Мягков Серебряная 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-magkov-serebranaa-40-500ml-56573	msk	Москва, Большой Патриарший переулок, 5	399,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Онегин 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-onegin-40-700ml-3986331	msk	Москва, Большой Патриарший переулок, 5	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Gallant 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-gallant-40-500ml-4304897	msk	Москва, Большой Патриарший переулок, 5	739,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Чистые Росы 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-cistye-rosy-40-700ml-3666570	msk	Москва, Большой Патриарший переулок, 5	1 849,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Tundra Древесные ноты крайнего севера особая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-tundra-drevesnye-noty-krajnego-severa-osobaa-40-500ml-4263597	msk	Москва, Большой Патриарший переулок, 5	599,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Методъ Г.Б.К.П. 1868 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-metod-g-b-k-p-1868-40-500ml-4206859	msk	Москва, Большой Патриарший переулок, 5	419,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Зёрна Севера 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-zerna-severa-40-700ml-4128908	msk	Москва, Большой Патриарший переулок, 5	899,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Кизлярка Кизиловая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-kizlarka-kizilovaa-40-500ml-3911187	msk	Москва, Большой Патриарший переулок, 5	629,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Архангельская Северная выдержка 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-arhangelskaa-severnaa-vyderzka-40-700ml-3684687	msk	Москва, Большой Патриарший переулок, 5	519,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Tundra Северная морошка 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-tundra-severnaa-moroska-40-500ml-3606932	msk	Москва, Большой Патриарший переулок, 5	329,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Талка Сибирский кедр особая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-talka-sibirskij-kedr-osobaa-40-500ml-3470475	msk	Москва, Большой Патриарший переулок, 5	349,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Хаски 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-haski-40-700ml-3415672	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Царская Оригинальная 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-carskaa-originalnaa-40-700ml-2162387	msk	Москва, Большой Патриарший переулок, 5	679,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Царская Оригинальная 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-carskaa-originalnaa-40-500ml-2053835	msk	Москва, Большой Патриарший переулок, 5	419,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Белая березка 40%, 1л	https://www.perekrestok.ru/cat/6/p/vodka-belaa-berezka-40-1l-2029865	msk	Москва, Большой Патриарший переулок, 5	859,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Mamont 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-mamont-40-700ml-3480788	msk	Москва, Большой Патриарший переулок, 5	1 169,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Хаски Nordic Currant Северная смородина 38%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-haski-nordic-currant-severnaa-smorodina-38-500ml-4288127	msk	Москва, Большой Патриарший переулок, 5	409,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка особая Данска Цитрус 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-osobaa-danska-citrus-40-700ml-4284100	msk	Москва, Большой Патриарший переулок, 5	1 649,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Старая Москва Классическая 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-staraa-moskva-klassiceskaa-40-500ml-4245148	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Gastronom Особая Купаж №4 к рыбным блюдам 37.5%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-gastronom-osobaa-kupaz-no4-k-rybnym-bludam-37-5-500ml-4215671	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Gastronom Особая Купаж №7 к мясным блюдам 37.5%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-gastronom-osobaa-kupaz-no7-k-masnym-bludam-37-5-500ml-4215669	msk	Москва, Большой Патриарший переулок, 5	569,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Stolichnaya 40%, 250мл	https://www.perekrestok.ru/cat/6/p/vodka-stolichnaya-40-250ml-4034867	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Baikal Nerpa Органик 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-baikal-nerpa-organik-40-500ml-4098424	msk	Москва, Большой Патриарший переулок, 5	589,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Легенда Кремля 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-legenda-kremla-40-500ml-4006169	msk	Москва, Большой Патриарший переулок, 5	819,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Beluga Transatlantic Racing Navy Blue 40%, 700мл	https://www.perekrestok.ru/cat/6/p/vodka-beluga-transatlantic-racing-navy-blue-40-700ml-4000138	msk	Москва, Большой Патриарший переулок, 5	1 899,00 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Архангельская Северная Выдержка 40%, 250мл	https://www.perekrestok.ru/cat/6/p/vodka-arhangelskaa-severnaa-vyderzka-40-250ml-3690250	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Архангельская Северная Выдержка 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-arhangelskaa-severnaa-vyderzka-40-500ml-3451685	msk	Москва, Большой Патриарший переулок, 5	369,99 ₽/шт	Sun Jul  7 23:20:00 2024
Водка Зимняя деревенька Солодовая на спирте Альфа 40%, 500мл	https://www.perekrestok.ru/cat/6/p/vodka-zimnaa-derevenka-solodovaa-na-spirte-alfa-40-500ml-3443259	msk	Москва, Большой Патриарший переулок, 5	379,99 ₽/шт	Sun Jul  7 23:20:00 2024
