name	url	locale	address	price
Халва подсолнечная Маркет, 250г	https://www.perekrestok.ru/cat/188/p/halva-podsolnecnaa-market-250g-4274803	msk	Москва, Большой Патриарший переулок, 5	61,99 ₽/шт
Халва Азовская КФ подсолнечная, 350г	https://www.perekrestok.ru/cat/188/p/halva-azovskaa-kf-podsolnecnaa-350g-3198828	msk	Москва, Большой Патриарший переулок, 5	85,99 ₽/шт
Халва Рот Фронт Дружба с арахисом, 220г	https://www.perekrestok.ru/cat/188/p/halva-rot-front-druzba-s-arahisom-220g-4278265	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Халва подсолнечная с ядром подсолнечника Маркет Collection, 350г	https://www.perekrestok.ru/cat/188/p/halva-podsolnecnaa-s-adrom-podsolnecnika-market-collection-350g-4309177	msk	Москва, Большой Патриарший переулок, 5	83,99 ₽/шт
Халва льняная с семенами льна на фруктозе Зелёная Линия, 250г	https://www.perekrestok.ru/cat/255/p/halva-lnanaa-s-semenami-lna-na-fruktoze-zelenaa-linia-250g-4243093	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Халва Рот Фронт глазированная шоколадной глазурью, 370г	https://www.perekrestok.ru/cat/188/p/halva-rot-front-glazirovannaa-sokoladnoj-glazuru-370g-4278736	msk	Москва, Большой Патриарший переулок, 5	419,99 ₽/шт
Халва Тимоша подсолнечная воздушная, 200г	https://www.perekrestok.ru/cat/188/p/halva-timosa-podsolnecnaa-vozdusnaa-200g-3937598	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Халва Богучарская подсолнечная мраморная неглазированная, 450г	https://www.perekrestok.ru/cat/188/p/halva-bogucarskaa-podsolnecnaa-mramornaa-neglazirovannaa-450g-3996139	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Халва Рот Фронт глазированная в шоколадной глазури	https://www.perekrestok.ru/cat/188/p/halva-rot-front-glazirovannaa-v-sokoladnoj-glazuri-141	msk	Москва, Большой Патриарший переулок, 5	729,90 ₽/кг
Халва Азовская КФ подсолнечная с арахисом, 350г	https://www.perekrestok.ru/cat/188/p/halva-azovskaa-kf-podsolnecnaa-s-arahisom-350g-3198829	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
