name	url	locale	address	price
Форель Перекресток 1.5-2 кг потрошеная Карелия	https://www.perekrestok.ru/cat/812/p/forel-perekrestok-1-5-2-kg-potrosenaa-karelia-3996116	msk	Москва, Большой Патриарший переулок, 5	999,00 ₽/кг
Форель стейк	https://www.perekrestok.ru/cat/812/p/forel-stejk-3394126	msk	Москва, Большой Патриарший переулок, 5	1 349,00 ₽/кг
Дорадо Турция	https://www.perekrestok.ru/cat/812/p/dorado-turcia-81555	msk	Москва, Большой Патриарший переулок, 5	819,99 ₽/кг
Сибас Турция	https://www.perekrestok.ru/cat/812/p/sibas-turcia-81554	msk	Москва, Большой Патриарший переулок, 5	819,99 ₽/кг
Камбала потрошеная без головы Мурманск	https://www.perekrestok.ru/cat/812/p/kambala-potrosenaa-bez-golovy-murmansk-2083076	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/кг
Сельдь Матиас деликатесное оригинальное филе, 400г	https://www.perekrestok.ru/cat/812/p/seld-matias-delikatesnoe-originalnoe-file-400g-3637884	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Форель радужная Extra Fish филе-кусок с кожей слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-extra-fish-file-kusok-s-kozej-slabosolenaa-200g-3460853	msk	Москва, Большой Патриарший переулок, 5	299,99 ₽/шт
Тунец Fortuna кусочки натуральные, 185г	https://www.perekrestok.ru/cat/812/p/tunec-fortuna-kusocki-naturalnye-185g-72320	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Тунец скипджек филе-кусок Новый Океан, 185г	https://www.perekrestok.ru/cat/812/p/tunec-skipdzek-file-kusok-novyj-okean-185g-4003715	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Сельдь Санта Бремор Матиас XXL отборная филе-кусочки в масле слабосолёная, 260г	https://www.perekrestok.ru/cat/812/p/seld-santa-bremor-matias-xxl-otbornaa-file-kusocki-v-masle-slabosolenaa-260g-4034451	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Форель Русское Море филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-russkoe-more-file-kusok-slabosolenaa-200g-3387455	msk	Москва, Большой Патриарший переулок, 5	519,99 ₽/шт
Скумбрия	https://www.perekrestok.ru/cat/812/p/skumbria-2124163	msk	Москва, Большой Патриарший переулок, 5	419,99 ₽/кг
Тунец скипджек рубленый Новый Океан, 185г	https://www.perekrestok.ru/cat/812/p/tunec-skipdzek-rublenyj-novyj-okean-185g-4003717	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Форель радужная филе-кусок слабосолёная Пр!ст, 130г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-file-kusok-slabosolenaa-pr-st-130g-4066444	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Форель Рыба-Рыба радужная слабосолёная филе-ломтики, 100г	https://www.perekrestok.ru/cat/812/p/forel-ryba-ryba-raduznaa-slabosolenaa-file-lomtiki-100g-4349602	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Форель Меридиан радужная филе-кусок с кожей слабосоленая охлажденная, 200г	https://www.perekrestok.ru/cat/812/p/forel-meridian-raduznaa-file-kusok-s-kozej-slabosolenaa-ohlazdennaa-200g-4285178	msk	Москва, Большой Патриарший переулок, 5	466,99 ₽/шт
Форель Балтийский Берег филе-кусок слабосолёная, 200г	https://www.perekrestok.ru/cat/812/p/forel-baltijskij-bereg-file-kusok-slabosolenaa-200g-3923407	msk	Москва, Большой Патриарший переулок, 5	449,99 ₽/шт
Шпроты Вкусные Консервы крупные в масле, 240г	https://www.perekrestok.ru/cat/812/p/sproty-vkusnye-konservy-krupnye-v-masle-240g-3468684	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Паста Санта Бремор Антарктик криль классический из морепродуктов, 150г	https://www.perekrestok.ru/cat/812/p/pasta-santa-bremor-antarktik-kril-klassiceskij-iz-moreproduktov-150g-3463947	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Форель филе	https://www.perekrestok.ru/cat/812/p/forel-file-2000923	msk	Москва, Большой Патриарший переулок, 5	1 699,00 ₽/кг
Шпроты За Родину тушки из балтийской кильки в масле, 270г	https://www.perekrestok.ru/cat/812/p/sproty-za-rodinu-tuski-iz-baltijskoj-kilki-v-masle-270g-3962298	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Горбуша 3 Fish слабосолёная кусочки для бутербродов, 80г	https://www.perekrestok.ru/cat/812/p/gorbusa-3-fish-slabosolenaa-kusocki-dla-buterbrodov-80g-3671589	msk	Москва, Большой Патриарший переулок, 5	114,99 ₽/шт
Горбуша натуральная, 245г	https://www.perekrestok.ru/cat/812/p/gorbusa-naturalnaa-245g-46230	msk	Москва, Большой Патриарший переулок, 5	159,99 ₽/шт
Икра Санта Бремор с копчёным лососем, 270г	https://www.perekrestok.ru/cat/812/p/ikra-santa-bremor-s-kopcenym-lososem-270g-3983178	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт
Сельдь Русское Море Исландка филе-кусочки в красном вине, 115г	https://www.perekrestok.ru/cat/812/p/seld-russkoe-more-islandka-file-kusocki-v-krasnom-vine-115g-3463468	msk	Москва, Большой Патриарший переулок, 5	124,99 ₽/шт
Икра Санта Бремор с креветкой, 180г	https://www.perekrestok.ru/cat/812/p/ikra-santa-bremor-s-krevetkoj-180g-3983177	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Форель Русское Море филе-ломтики слабосолёная, 120г	https://www.perekrestok.ru/cat/812/p/forel-russkoe-more-file-lomtiki-slabosolenaa-120g-3387456	msk	Москва, Большой Патриарший переулок, 5	389,99 ₽/шт
Кижуч Чили стейк	https://www.perekrestok.ru/cat/812/p/kizuc-cili-stejk-4215359	msk	Москва, Большой Патриарший переулок, 5	1 749,00 ₽/кг
Тунец Fortuna полосатый рубленый, 185г	https://www.perekrestok.ru/cat/812/p/tunec-fortuna-polosatyj-rublenyj-185g-72318	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
Скумбрия Gustafsen холодного копчения кусочки, 280г	https://www.perekrestok.ru/cat/812/p/skumbria-gustafsen-holodnogo-kopcenia-kusocki-280g-4183756	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Нерка Люди Любят стейк мороженый, 500г	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт
Килька Вкусные Консервы неразделанная обжаренная в томатном соусе, 240г	https://www.perekrestok.ru/cat/812/p/kilka-vkusnye-konservy-nerazdelannaa-obzarennaa-v-tomatnom-souse-240g-3468685	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт
Горбуша 5 Морей натуральная, 250г	https://www.perekrestok.ru/cat/812/p/gorbusa-5-morej-naturalnaa-250g-87726	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Горбуша Курильский Берег натуральная, 250г	https://www.perekrestok.ru/cat/812/p/gorbusa-kurilskij-bereg-naturalnaa-250g-3900135	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Скумбрия Меридиан отварная в желе, 200г	https://www.perekrestok.ru/cat/812/p/skumbria-meridian-otvarnaa-v-zele-200g-74103	msk	Москва, Большой Патриарший переулок, 5	179,99 ₽/шт
Горбуша натуральная Пр!ст, 250г	https://www.perekrestok.ru/cat/812/p/gorbusa-naturalnaa-pr-st-250g-3653861	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Треска филе Мурманск	https://www.perekrestok.ru/cat/812/p/treska-file-murmansk-3197733	msk	Москва, Большой Патриарший переулок, 5	749,00 ₽/кг
Сайра Доброфлот натуральная, 245г	https://www.perekrestok.ru/cat/812/p/sajra-dobroflot-naturalnaa-245g-3451430	msk	Москва, Большой Патриарший переулок, 5	289,99 ₽/шт
Форель радужная слабосоленая филе-кусок с кожей Маркет, 150г	https://www.perekrestok.ru/cat/812/p/forel-raduznaa-slabosolenaa-file-kusok-s-kozej-market-150g-4263077	msk	Москва, Большой Патриарший переулок, 5	319,99 ₽/шт
Горбуша + скумбрия Европром рубленая, 180г	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-180g-3940705	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Мойва ЭкстраФиш с головой холодного копчения, 200г	https://www.perekrestok.ru/cat/812/p/mojva-ekstrafis-s-golovoj-holodnogo-kopcenia-200g-4227589	msk	Москва, Большой Патриарший переулок, 5	169,99 ₽/шт
Филе сельди атлантической слабосоленое в масле Маркет, 250г	https://www.perekrestok.ru/cat/812/p/file-seldi-atlanticeskoj-slabosolenoe-v-masle-market-250g-4275608	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
Кальмар Сухогруз сушёно-вяленый полоски, 70г	https://www.perekrestok.ru/cat/812/p/kalmar-suhogruz-suseno-valenyj-poloski-70g-3692498	msk	Москва, Большой Патриарший переулок, 5	144,99 ₽/шт
Горбуша + скумбрия Европром рубленая с ароматом копчения, 180г	https://www.perekrestok.ru/cat/812/p/gorbusa-skumbria-evroprom-rublenaa-s-aromatom-kopcenia-180g-3940708	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт
Треска Меридиан отварная в желе, 200г	https://www.perekrestok.ru/cat/812/p/treska-meridian-otvarnaa-v-zele-200g-99330	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Коктейль из морепродуктов Балтийский Берег оливковый маре варёный в масле, 380г	https://www.perekrestok.ru/cat/812/p/koktejl-iz-moreproduktov-baltijskij-bereg-olivkovyj-mare-varenyj-v-masle-380g-4045867	msk	Москва, Большой Патриарший переулок, 5	269,99 ₽/шт
