name	url	locale	address	price	time
Нерка Люди Любят стейк мороженый, 500г	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	msk	Москва, Большой Патриарший переулок, 5	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лосось Люди любят атлантический сёмга стейк с кожей мороженый, 500г	https://www.perekrestok.ru/cat/273/p/losos-ludi-lubat-atlanticeskij-semga-stejk-s-kozej-morozenyj-500g-4336040	msk	Москва, Большой Патриарший переулок, 5	1 249,00 ₽/шт	Sun Jul  7 23:20:00 2024
Треска Borealis Атлантическая филе блочное без кожи без костей замороженное, 750г	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-blocnoe-bez-kozi-bez-kostej-zamorozennoe-750g-3646643	msk	Москва, Большой Патриарший переулок, 5	898,99 ₽/шт	Sun Jul  7 23:20:00 2024
Форель Вкус Арт стейк замороженный, 500г	https://www.perekrestok.ru/cat/812/p/forel-vkus-art-stejk-zamorozennyj-500g-3689013	spb	Санкт-Петербург, Биржевая площадь, 4	629,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лосось Люди любят атлантический сёмга стейк с кожей мороженый, 500г	https://www.perekrestok.ru/cat/273/p/losos-ludi-lubat-atlanticeskij-semga-stejk-s-kozej-morozenyj-500g-4336040	spb	Санкт-Петербург, Биржевая площадь, 4	1 499,00 ₽/шт	Sun Jul  7 23:20:00 2024
Горбуша дальневосточная филе порционное Маркет, 400г	https://www.perekrestok.ru/cat/812/p/gorbusa-dalnevostocnaa-file-porcionnoe-market-400g-4261365	spb	Санкт-Петербург, Биржевая площадь, 4	449,99 ₽/шт	Sun Jul  7 23:20:00 2024
Нерка Люди Любят стейк мороженый, 500г	https://www.perekrestok.ru/cat/812/p/nerka-ludi-lubat-stejk-morozenyj-500g-4339797	spb	Санкт-Петербург, Биржевая площадь, 4	549,99 ₽/шт	Sun Jul  7 23:20:00 2024
Лосось Вкус Арт стейк на коже замороженный, 500г	https://www.perekrestok.ru/cat/812/p/losos-vkus-art-stejk-na-koze-zamorozennyj-500g-3689012	spb	Санкт-Петербург, Биржевая площадь, 4	799,99 ₽/шт	Sun Jul  7 23:20:00 2024
Треска Borealis Атлантическая филе без кожи замороженное, 400г	https://www.perekrestok.ru/cat/812/p/treska-borealis-atlanticeskaa-file-bez-kozi-zamorozennoe-400g-4119553	spb	Санкт-Петербург, Биржевая площадь, 4	879,99 ₽/шт	Sun Jul  7 23:20:00 2024
Треска атлантическая Гостово филе без кожи замороженная, 500г	https://www.perekrestok.ru/cat/812/p/treska-atlanticeskaa-gostovo-file-bez-kozi-zamorozennaa-500g-4121949	spb	Санкт-Петербург, Биржевая площадь, 4	469,99 ₽/шт	Sun Jul  7 23:20:00 2024
