name	url	locale	address	price
Зефир Шармэль Классический в шоколаде, 250г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-klassiceskij-v-sokolade-250g-10795	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Зефир Белёвская пастильная мануфактура Антоновка, 250г	https://www.perekrestok.ru/cat/705/p/zefir-belevskaa-pastilnaa-manufaktura-antonovka-250g-3489477	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Зефир Шармэль Классический в шоколаде, 75г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-klassiceskij-v-sokolade-75g-3410294	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт
Зефир Шармэль Классический в шоколаде, 120г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-klassiceskij-v-sokolade-120g-72651	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Зефир Белёвская пастильная мануфактура Зефирное детство, 250г	https://www.perekrestok.ru/cat/705/p/zefir-belevskaa-pastilnaa-manufaktura-zefirnoe-detstvo-250g-3981251	msk	Москва, Большой Патриарший переулок, 5	239,99 ₽/шт
Зефир Шармэль ваниль, 255г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-vanil-255g-9919	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Зефир с ароматом ванили Пр!ст, 155г	https://www.perekrestok.ru/cat/705/p/zefir-s-aromatom-vanili-pr-st-155g-4256830	msk	Москва, Большой Патриарший переулок, 5	65,99 ₽/шт
Продукт молочный Зефир с ванилью в молочном бельгийском шоколаде 9.5%, 60г	https://www.perekrestok.ru/cat/705/p/produkt-molocnyj-zefir-s-vanilu-v-molocnom-belgijskom-sokolade-9-5-60g-4068053	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Зефир Сладкие истории неглазированный ваниль, 250г	https://www.perekrestok.ru/cat/705/p/zefir-sladkie-istorii-neglazirovannyj-vanil-250g-3423599	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт
Зефир Шармэль ваниль, 85г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-vanil-85g-3410385	msk	Москва, Большой Патриарший переулок, 5	73,99 ₽/шт
Зефир Шармэль Ванильно-клюквенный, 255г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-vanilno-klukvennyj-255g-3691473	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Зефир Ударница Новый ваниль, 160г	https://www.perekrestok.ru/cat/705/p/zefir-udarnica-novyj-vanil-160g-3305082	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт
Зефир Eco botanica с витаминами ваниль, 250г	https://www.perekrestok.ru/cat/705/p/zefir-eco-botanica-s-vitaminami-vanil-250g-3681281	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Зефир Белёвский яблоко Зелёная Линия, 250г	https://www.perekrestok.ru/cat/705/p/zefir-belevskij-abloko-zelenaa-linia-250g-4107860	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Зефир Шармэль яблоко, 255г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-abloko-255g-2170768	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Зефир Вдохновение Грушевый десерт в тёмном шоколаде, 245г	https://www.perekrestok.ru/cat/705/p/zefir-vdohnovenie-grusevyj-desert-v-temnom-sokolade-245g-3681282	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Зефир Doni Zefironi ароматизированный, 210г	https://www.perekrestok.ru/cat/705/p/zefir-doni-zefironi-aromatizirovannyj-210g-3680402	msk	Москва, Большой Патриарший переулок, 5	164,99 ₽/шт
Зефир Белёвский чёрная смородина Зелёная Линия, 250г	https://www.perekrestok.ru/cat/705/p/zefir-belevskij-cernaa-smorodina-zelenaa-linia-250g-4107861	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Зефир Сладкие истории неглазированный клюква, 250г	https://www.perekrestok.ru/cat/705/p/zefir-sladkie-istorii-neglazirovannyj-klukva-250g-3423621	msk	Москва, Большой Патриарший переулок, 5	184,99 ₽/шт
Зефир Вдохновение Ягодное парфе в тёмном шоколаде, 245г	https://www.perekrestok.ru/cat/705/p/zefir-vdohnovenie-agodnoe-parfe-v-temnom-sokolade-245g-3681284	msk	Москва, Большой Патриарший переулок, 5	249,99 ₽/шт
Зефир Petit Appetit с черной смородиной свеклой и яблочной клетчаткой, 74г	https://www.perekrestok.ru/cat/705/p/zefir-petit-appetit-s-cernoj-smorodinoj-svekloj-i-ablocnoj-kletcatkoj-74g-4252136	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Зефир Белёвская пастильная мануфактура Черносмородиновый, 250г	https://www.perekrestok.ru/cat/705/p/zefir-belevskaa-pastilnaa-manufaktura-cernosmorodinovyj-250g-3907943	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Зефир Eco botanica с кусочками брусники и витаминами, 250г	https://www.perekrestok.ru/cat/705/p/zefir-eco-botanica-s-kusockami-brusniki-i-vitaminami-250g-3681423	msk	Москва, Большой Патриарший переулок, 5	209,99 ₽/шт
Зефир Petit Appetit с облепихой шиповником и клетчаткой семян чиа, 74г	https://www.perekrestok.ru/cat/705/p/zefir-petit-appetit-s-oblepihoj-sipovnikom-i-kletcatkoj-seman-cia-74g-4252133	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Зефир Galagancha с таёжными ягодами, 140г	https://www.perekrestok.ru/cat/705/p/zefir-galagancha-s-taeznymi-agodami-140g-4106743	msk	Москва, Большой Патриарший переулок, 5	189,99 ₽/шт
Зефир с ароматом ванили глазированный Маркет, 240г	https://www.perekrestok.ru/cat/705/p/zefir-s-aromatom-vanili-glazirovannyj-market-240g-4268242	msk	Москва, Большой Патриарший переулок, 5	104,99 ₽/шт
Зефир Шармэль пломбир в шоколаде, 250г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-plombir-v-sokolade-250g-94858	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Зефир Шармэль Кофейный в шоколаде, 250г	https://www.perekrestok.ru/cat/705/p/zefir-sarmel-kofejnyj-v-sokolade-250g-51401	msk	Москва, Большой Патриарший переулок, 5	339,99 ₽/шт
Зефир Мармеладная Сказка Ассорти, 220г	https://www.perekrestok.ru/cat/255/p/zefir-marmeladnaa-skazka-assorti-220g-4059155	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Маршмеллоу Confectum Barbecue с ароматом ванили, 200г	https://www.perekrestok.ru/cat/705/p/marsmellou-confectum-barbecue-s-aromatom-vanili-200g-4345346	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт
Маршмеллоу Бон Пари Кислые в Кубе со вкусом фруктов, 65г	https://www.perekrestok.ru/cat/705/p/marsmellou-bon-pari-kislye-v-kube-so-vkusom-fruktov-65g-4225839	msk	Москва, Большой Патриарший переулок, 5	69,99 ₽/шт
Зефир Confectum Rainbow жевательный с ароматом тутти фрутти, 90г	https://www.perekrestok.ru/cat/705/p/zefir-confectum-rainbow-zevatelnyj-s-aromatom-tutti-frutti-90g-4287265	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Маршмеллоу Confectum Fun, 90г	https://www.perekrestok.ru/cat/705/p/marsmellou-confectum-fun-90g-4287262	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт
Маршмеллоу Guandy классик белый ванильный, 200г	https://www.perekrestok.ru/cat/705/p/marsmellou-guandy-klassik-belyj-vanilnyj-200g-3454214	msk	Москва, Большой Патриарший переулок, 5	199,99 ₽/шт
Набор для пикника Confectum Picnic Box маршмеллоу и крекер, 240г	https://www.perekrestok.ru/cat/705/p/nabor-dla-piknika-confectum-picnic-box-marsmellou-i-kreker-240g-4345843	msk	Москва, Большой Патриарший переулок, 5	219,99 ₽/шт
Набор для пикника Confectum Fondue Box маршмеллоу и шоколад, 200г	https://www.perekrestok.ru/cat/705/p/nabor-dla-piknika-confectum-fondue-box-marsmellou-i-sokolad-200g-4345842	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Маршмеллоу Guandy мини белый ванильный, 200г	https://www.perekrestok.ru/cat/705/p/marsmellou-guandy-mini-belyj-vanilnyj-200g-3454215	msk	Москва, Большой Патриарший переулок, 5	229,99 ₽/шт
Конфеты Live Sweets Маршмеллоу в шоколаде со вкусом ванильный пломбир глазированные, 100г	https://www.perekrestok.ru/cat/705/p/konfety-live-sweets-marsmellou-v-sokolade-so-vkusom-vanilnyj-plombir-glazirovannye-100g-4274411	msk	Москва, Большой Патриарший переулок, 5	259,99 ₽/шт
Маршмеллоу Mallow Joy с ароматом клубники, 100г	https://www.perekrestok.ru/cat/705/p/marsmellou-mallow-joy-s-aromatom-klubniki-100g-4327897	msk	Москва, Большой Патриарший переулок, 5	149,99 ₽/шт
