name	url	locale	address	price	time
Лук зеленый Маркет Fresh, 100г	https://www.perekrestok.ru/cat/148/p/luk-zelenyj-market-fresh-100g-4295465	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Петрушка зеленая Маркет Fresh, 100г	https://www.perekrestok.ru/cat/148/p/petruska-zelenaa-market-fresh-100g-4295464	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Укроп зеленый Маркет Fresh, 100г	https://www.perekrestok.ru/cat/148/p/ukrop-zelenyj-market-fresh-100g-4295468	msk	Москва, Большой Патриарший переулок, 5	84,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Руккола Маркет Fresh, 65г	https://www.perekrestok.ru/cat/151/p/salat-rukkola-market-fresh-65g-4295430	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Мини Шпинат Маркет Fresh, 65г	https://www.perekrestok.ru/cat/151/p/salat-mini-spinat-market-fresh-65g-4295871	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Романо Литтл Джем, 1шт	https://www.perekrestok.ru/cat/151/p/salat-romano-littl-dzem-1st-4344567	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Айсберг Маркет Fresh, 1шт	https://www.perekrestok.ru/cat/151/p/salat-ajsberg-market-fresh-1st-77107	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат листовой в горшке, 1шт	https://www.perekrestok.ru/cat/151/p/salat-listovoj-v-gorske-1st-31895	msk	Москва, Большой Патриарший переулок, 5	74,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Романо, 1шт	https://www.perekrestok.ru/cat/151/p/salat-romano-1st-67334	msk	Москва, Большой Патриарший переулок, 5	139,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Рукола Маркет Fresh, 125г	https://www.perekrestok.ru/cat/151/p/salat-rukola-market-fresh-125g-3283556	msk	Москва, Большой Патриарший переулок, 5	129,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Фриллис листовой хрустящий, 100г	https://www.perekrestok.ru/cat/151/p/salat-frillis-listovoj-hrustasij-100g-3395353	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Фриллис, 1шт	https://www.perekrestok.ru/cat/151/p/salat-frillis-1st-4339287	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Кудрявый в горшке, 1шт	https://www.perekrestok.ru/cat/151/p/salat-kudravyj-v-gorske-1st-3369399	msk	Москва, Большой Патриарший переулок, 5	89,99 ₽/шт	Sun Jul  7 23:20:00 2024
Руккола мытая Маркет Fresh, 50г	https://www.perekrestok.ru/cat/151/p/rukkola-mytaa-market-fresh-50g-3358128	msk	Москва, Большой Патриарший переулок, 5	119,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Ромэн Эксклюзив в горшке, 1шт	https://www.perekrestok.ru/cat/151/p/salat-romen-ekskluziv-v-gorske-1st-3173530	msk	Москва, Большой Патриарший переулок, 5	99,99 ₽/шт	Sun Jul  7 23:20:00 2024
Салат Дуболистный зеленый в горшке, 1шт	https://www.perekrestok.ru/cat/151/p/salat-dubolistnyj-zelenyj-v-gorske-1st-2173934	msk	Москва, Большой Патриарший переулок, 5	109,99 ₽/шт	Sun Jul  7 23:20:00 2024
