name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сироп кленовый Зелёная Линия, 200мл	469,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/252/p/sirop-klenovyj-zelenaa-linia-200ml-4155971	Wed Jul  3 15:05:17 2024	Сироп кленовый Зелёная Линия, 200мл	Цена569,99 ₽	Зелёная Линия	260.0	0.1 г	0.1 г	64.5 г	100% кленовый сироп. 	True	True	Fri Jul  5 23:46:44 2024
Сироп Клубничный Маркет, 250мл	129,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-klubnicnyj-market-250ml-4277904	Wed Jul  3 15:05:17 2024	Сироп Клубничный Маркет, 250мл	Цена129,99 ₽	Маркет	220.0	0.0 г	0.0 г	55.0 г	Сахар белый, вода питьевая очищенная, глюкозно-фруктозный сироп, концентрированный сок клубники, регулятор кислотности-лимонная кислота, ароматизатор, концентрированный сок аронии, краситель сахарный колер IV, краситель красный очаровательный. Содержит краситель, который может оказывать отрицательное внимание на активность и внимание детей. Содержит сок, возможен осадок. Добавлять в десерты и напитки по вкусу. 	True	True	Fri Jul  5 23:46:45 2024
Сироп со вкусом малины Маркет, 250мл	129,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-so-vkusom-maliny-market-250ml-4277905	Wed Jul  3 15:05:17 2024	Сироп со вкусом малины Маркет, 250мл	Цена129,99 ₽	Маркет	220.0	0.0 г	0.0 г	55.0 г	"Сахар белый, вода питьевая очищенная, глюкозно-фруктозный сироп, концентрированный сок яблока, регулятор кислотности-лимонная кислота, экстракт растительный ""Фруттокол розовый"", ароматизатор, краситель антоцианы. Содержит сок, возможен осадок. Добавлять в десерты и напитки по вкусу. "	True	True	Fri Jul  5 23:46:46 2024
Сироп голубой агавы светлый Зелёная Линия, 240мл	269,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/252/p/sirop-goluboj-agavy-svetlyj-zelenaa-linia-240ml-4038274	Wed Jul  3 15:05:17 2024	Сироп голубой агавы светлый Зелёная Линия, 240мл	Цена359,99 ₽	Зелёная Линия	296.0	0.0 г	0.0 г	74.0 г	100% голубая агава. 	True	True	Fri Jul  5 23:46:47 2024
Сироп Мохито со вкусом лимона и мяты Маркет, 250мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-mohito-so-vkusom-limona-i-maty-market-250ml-4277909	Wed Jul  3 15:05:17 2024	Сироп Мохито со вкусом лимона и мяты Маркет, 250мл	Цена139,99 ₽	Маркет	280.0	0.0 г	0.0 г	70.0 г	Сахар белый, вода питьевая очищенная, глюкозно-фруктозный сироп, регулятор кислотности-лимонная кислота, ароматизаторы. 	True	True	Fri Jul  5 23:46:48 2024
Сироп Маракуйя Маркет, 250мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-marakuja-market-250ml-4277906	Wed Jul  3 15:05:17 2024	Сироп Маракуйя Маркет, 250мл	Цена139,99 ₽	Маркет	240.0	0.0 г	0.0 г	60.0 г	"Сахар белый, вода питьевая очищенная, глюкозно-фруктозный сироп, регулятор кислотности-лимонная кислота, концентрированный сок маракуйи, ароматизаторы, загуститель гуммиарабик, краситель тартразин, краситель желтый ""солнечный закат"". Содержит красители, которые могут оказывать отрицательное внимание на активность и внимание детей. Содержит сок, возможен осадок. Добавлять в десерты и напитки по вкусу. "	True	True	Fri Jul  5 23:46:48 2024
Сироп голубой агавы тёмный Зелёная Линия, 240мл	269,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/252/p/sirop-goluboj-agavy-temnyj-zelenaa-linia-240ml-4038275	Wed Jul  3 15:05:17 2024	Сироп голубой агавы тёмный Зелёная Линия, 240мл	Цена359,99 ₽	Зелёная Линия	296.0	0.0 г	0.0 г	74.0 г	100% голубая агава. 	True	True	Fri Jul  5 23:46:49 2024
Сироп Соленая Карамель Маркет, 250 мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-solenaa-karamel-market-250-ml-4277908	Wed Jul  3 15:05:17 2024	Сироп Соленая Карамель Маркет, 250 мл	Цена139,99 ₽	Маркет	260.0	0.0 г	0.0 г	65.0 г	Сахар белый, вода питьевая очищенная, глюкозно-фруктозный сироп, соль пищевая, ароматизатор, краситель сахарный колер IV, антиокислитель-аскорбиновая кислота. Добавлять в десерты и напитки по вкусу. 	True	True	Fri Jul  5 23:46:50 2024
Топпинг Махеевъ мягкая карамель, 300мл	99,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/110/p/topping-maheev-magkaa-karamel-300ml-4038129	Wed Jul  3 15:05:17 2024	Топпинг Махеевъ мягкая карамель, 300мл	Цена134,99 ₽	Махеевъ	293.0	1.4 г	1.7 г	68.0 г	Глюкозный сироп, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахар (сахароза), сахар молочный (лактоза)), сахар, вода питьевая, загуститель пектины, краситель сахарный колер I, ароматизаторы (содержат продукты переработки молока), соль пищевая, консервант сорбат калия. 	True	True	Fri Jul  5 23:46:51 2024
Сироп Мадагаскарская ваниль Маркет, 250мл	139,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/110/p/sirop-madagaskarskaa-vanil-market-250ml-4277907	Wed Jul  3 15:05:17 2024	Сироп Мадагаскарская ваниль Маркет, 250мл	Цена139,99 ₽	Маркет	240.0	0.0 г	0.0 г	60.0 г	Сахар белый, вода питьевая очищенная, глюкозно-фруктозный сироп, ароматизатор, регулятор кислотности-лимонная кислота, антиокислитель-аскорбиновая кислота, краситель сахарный колер IV. Добавлять в десерты и напитки по вкусу. 	True	True	Fri Jul  5 23:46:51 2024
