name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Коктейль J7 яблоко-персик-манго с овсяными хлопьями, 300мл	104,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-abloko-persik-mango-s-ovsanymi-hlopami-300ml-4227656	Wed Jul  3 15:03:45 2024	Коктейль J7 яблоко-персик-манго с овсяными хлопьями, 300мл	Цена89,99 ₽	J7	60.0	0.0 г	0.0 г	15.0 г	Яблочный сок, фруктовые пюре (яблочное, персиковое, пюре манго), хлопья овсяные, регулятор кислотности – лимонная кислота. 	True	True	Fri Jul  5 22:47:49 2024
Коктейль J7 яблоко-персик-манго с овсяными хлопьями, 300мл	104,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-abloko-persik-mango-s-ovsanymi-hlopami-300ml-4227656	Wed Jul  3 15:03:45 2024	Коктейль J7 яблоко-персик-манго с овсяными хлопьями, 300мл	Цена89,99 ₽	J7	60.0	0.0 г	0.0 г	15.0 г	Яблочный сок, фруктовые пюре (яблочное, персиковое, пюре манго), хлопья овсяные, регулятор кислотности – лимонная кислота. 	True	True	Fri Jul  5 22:47:50 2024
Напиток сокосодержащий Добрый Ягодный микс обогащённый витаминами для детей, 950мл	99,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/213/p/napitok-sokosoderzasij-dobryj-agodnyj-miks-obogasennyj-vitaminami-dla-detej-950ml-4192482	Wed Jul  3 15:03:45 2024	Напиток сокосодержащий Добрый Ягодный микс обогащённый витаминами для детей, 950мл	Цена119,99 ₽	Добрый	40.0	0.0 г	0.0 г	10.0 г	Яблочное пюре, сок из черноплодной рябины, сок из клубники, сок из вишни, сок из красной смородины, сок из черной смородины, сахар, регулятор кислотности-лимонная кислота, натуральный ароматизатор, экстракт черной моркови, витамин с, витаминный комплекс (в2, в3, в5, в12), вода. 	True	True	Fri Jul  5 22:47:51 2024
Напиток сокосодержащий Добрый Тропический микс обогащённый витаминами для детей, 950мл	99,99 ₽/шт	950 мл	https://www.perekrestok.ru/cat/213/p/napitok-sokosoderzasij-dobryj-tropiceskij-miks-obogasennyj-vitaminami-dla-detej-950ml-4192483	Wed Jul  3 15:03:45 2024	Напиток сокосодержащий Добрый Тропический микс обогащённый витаминами для детей, 950мл	Цена119,99 ₽	Добрый	44.0	0.0 г	0.0 г	11.0 г	Апельсиновый сок, мандариновый сок, пюре из манго, ананасовый сок, сахар, регулятор кислотности-лимонная кислота, стабилизатор-камедь целлюлозы, витамин с, натуральный ароматизатор, витаминный комплекс (в2, в3, в5, в12), краситель-каротины, вода. 	True	True	Fri Jul  5 22:47:52 2024
Смузи Be Up ягодно-фруктовый банан клубника, 300мл	109,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/smuzi-be-up-agodno-fruktovyj-banan-klubnika-300ml-4239132	Wed Jul  3 15:03:45 2024	Смузи Be Up ягодно-фруктовый банан клубника, 300мл	Цена129,99 ₽	Be Up	44.0	0.0 г	0.0 г	11.0 г	Банановое пюре, клубничное пюре, клубничный сок. 	True	True	Fri Jul  5 22:47:53 2024
Смузи Be Up фруктовый банан маракуйя, 300мл	109,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/smuzi-be-up-fruktovyj-banan-marakuja-300ml-4239124	Wed Jul  3 15:03:45 2024	Смузи Be Up фруктовый банан маракуйя, 300мл	Цена129,99 ₽	none	44.0	0.0 г	0.0 г	11.0 г	Пюре банана, пюре маракуйи, сок маракуйи. 	True	True	Fri Jul  5 22:47:53 2024
Напиток безалкогольный Slim Dream Смузи Банан-клубника-базилик негазированный, 300мл	129,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/napitok-bezalkogolnyj-slim-dream-smuzi-banan-klubnika-bazilik-negazirovannyj-300ml-4141061	Wed Jul  3 15:03:45 2024	Напиток безалкогольный Slim Dream Смузи Банан-клубника-базилик негазированный, 300мл	Цена129,99 ₽	Slim Dream	40.0	0.0 г	0.0 г	10.0 г	Вода, пюре клубники, пюре яблока, пюре банана, пюре малины, сок концентрированный яблочный, базилик, консервант сорбат калия. 	True	True	Fri Jul  5 22:47:54 2024
Продукт питьевой J7 Полезный завтрак Яблоко-Ананас-Банан-Киви-Манго, 300мл	99,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/produkt-pitevoj-j7-poleznyj-zavtrak-abloko-ananas-banan-kivi-mango-300ml-4123388	Thu Jul  4 09:45:48 2024	Продукт питьевой J7 Полезный завтрак Яблоко-Ананас-Банан-Киви-Манго, 300мл	Цена89,99 ₽	J7	60.0	0.0 г	0.0 г	15.0 г	Яблочное пюре, яблочный сок, банановое пюре, ананасовый сок, пюре манго, ржаные хлопья, сок киви, краситель — медные комплексы хлорофиллинов (получен из растений овсяницы и люцерны), натуральный ароматизатор киви, регулятор кислоты (лимонная кислота). 	True	True	Fri Jul  5 22:47:54 2024
Коктейль J7 из вишни, бананов и яблок с овсяными хлопьями, 300мл	85,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-iz-visni-bananov-i-ablok-s-ovsanymi-hlopami-300ml-4227655	Thu Jul  4 09:45:48 2024	Коктейль J7 из вишни, бананов и яблок с овсяными хлопьями, 300мл	Цена89,99 ₽	J7	65.0	0.0 г	0.0 г	16.0 г	Яблочное пюре, яблочный сок, пюре банана, вишневый сок, сок черной моркови, хлопья овсяные, регулятор кислотности – лимонная кислота. 	True	True	Fri Jul  5 22:47:55 2024
Коктейль J7 из вишни, бананов и яблок с овсяными хлопьями, 300мл	85,99 ₽/шт	300 мл	https://www.perekrestok.ru/cat/213/p/koktejl-j7-iz-visni-bananov-i-ablok-s-ovsanymi-hlopami-300ml-4227655	Thu Jul  4 09:45:48 2024	Коктейль J7 из вишни, бананов и яблок с овсяными хлопьями, 300мл	Цена89,99 ₽	J7	65.0	0.0 г	0.0 г	16.0 г	Яблочное пюре, яблочный сок, пюре банана, вишневый сок, сок черной моркови, хлопья овсяные, регулятор кислотности – лимонная кислота. 	True	True	Fri Jul  5 22:47:56 2024
