name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Лук зеленый Маркет Fresh, 100г	79,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/148/p/luk-zelenyj-market-fresh-100g-4295465	Wed Jul  3 15:02:52 2024	Лук зеленый Маркет Fresh, 100г	Цена84,99 ₽	Маркет	19.0	1.3 г	0.1 г	3.2 г	Лук. 	True	True	Fri Jul  5 21:44:07 2024
Петрушка зеленая Маркет Fresh, 100г	79,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/148/p/petruska-zelenaa-market-fresh-100g-4295464	Wed Jul  3 15:02:52 2024	Петрушка зеленая Маркет Fresh, 100г	Цена84,99 ₽	Маркет	45.0	3.7 г	0.0 г	9.1 г	Петрушка. 	True	True	Fri Jul  5 21:44:08 2024
Укроп зеленый Маркет Fresh, 100г	79,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/148/p/ukrop-zelenyj-market-fresh-100g-4295468	Wed Jul  3 15:02:52 2024	Укроп зеленый Маркет Fresh, 100г	Цена84,99 ₽	Маркет	32.0	2.0 г	0.5 г	4.5 г	Укроп. 	True	True	Fri Jul  5 21:44:09 2024
Зелень Кинзы Маркет Fresh, 30г	49,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/148/p/zelen-kinzy-market-fresh-30g-4294979	Wed Jul  3 15:02:52 2024	Зелень Кинзы Маркет Fresh, 30г	Цена69,99 ₽	Маркет	46.0	2.0 г	0.5 г	4.0 г	Кинза. 	True	True	Fri Jul  5 21:44:10 2024
Салат Руккола Маркет Fresh, 65г	89,99 ₽/шт	65 гр	https://www.perekrestok.ru/cat/151/p/salat-rukkola-market-fresh-65g-4295430	Wed Jul  3 15:02:52 2024	Салат Руккола Маркет Fresh, 65г	Цена89,99 ₽	Маркет	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Fri Jul  5 21:44:11 2024
Салат Мини Шпинат Маркет Fresh, 65г	89,99 ₽/шт	65 гр	https://www.perekrestok.ru/cat/151/p/salat-mini-spinat-market-fresh-65g-4295871	Wed Jul  3 15:02:52 2024	Салат Мини Шпинат Маркет Fresh, 65г	Цена89,99 ₽	Маркет	0.0	0.0 г	0.0 г	0.0 г	none	True	True	Fri Jul  5 21:44:12 2024
Базилик фиолетовый в горшочке	89,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/151/p/bazilik-fioletovyj-v-gorsocke-4348808	Wed Jul  3 15:02:52 2024	Базилик фиолетовый в горшочке	Цена99,99 ₽	none	0.0	0.0 г	0.0 г	0.0 г	Базилик. 	True	True	Fri Jul  5 21:44:13 2024
Салат Айсберг Маркет Fresh, 1шт	149,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/151/p/salat-ajsberg-market-fresh-1st-77107	Wed Jul  3 15:02:52 2024	Салат Айсберг Маркет Fresh, 1шт	Цена99,99 ₽	Маркет	14.0	0.9 г	0.1 г	3.0 г	Салат айсберг. 	True	True	Fri Jul  5 21:44:14 2024
Салат листовой в горшке, 1шт	67,99 ₽/шт	170 гр	https://www.perekrestok.ru/cat/151/p/salat-listovoj-v-gorske-1st-31895	Wed Jul  3 15:02:52 2024	Салат листовой в горшке, 1шт	Цена74,99 ₽	Знай Наших	15.0	1.4 г	0.2 г	2.9 г	Салат. 	True	True	Fri Jul  5 21:44:15 2024
Салат Романо, 1шт	199,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/151/p/salat-romano-1st-67334	Wed Jul  3 15:02:52 2024	Салат Романо, 1шт	Цена139,99 ₽	Маркет	17.0	1.2 г	0.3 г	3.3 г	Салат романо. 	True	True	Fri Jul  5 21:44:16 2024
