name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Жевательная резинка Five Electro Свежая мята, 31.2г	69,99 ₽/шт	31 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-five-electro-svezaa-mata-31-2g-3256527	Wed Jul  3 15:03:31 2024	Жевательная резинка Five Electro Свежая мята, 31.2г	Цена89,99 ₽	Five	150.0	0.0 г	0.0 г	63.0 г	Подсластитель сорбит Е420, резиновая основа, влагоудерживающий агент Е422, подсластитель маннит Е421, натуральные, идентичные натуральным и искусственные ароматизаторы, подсластители: аспартам Е951, ацесульфам К Е950; эмульгатор соевый лецитин, подсластитель сукралоза Е955, красители: Е172, Е133; антиокислитель Е320. Содержит источник фенилаланина. 	True	True	Fri Jul  5 22:28:35 2024
Жевательная резинка Ментос Пьюр Фреш мята, 23.3г	49,99 ₽/шт	23 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-mentos-pur-fres-mata-23-3g-4249884	Wed Jul  3 15:03:31 2024	Жевательная резинка Ментос Пьюр Фреш мята, 23.3г	Цена77,99 ₽	Mentos	0.0	0.4 г	0.2 г	74.0 г	Подсластители (E967, E420, E421, E965, E951, E950, Е955), основа резиновая, агент влагоудерживающий (Е422), ароматизаторы, крахмал (рисовый, кукурузный), мальтодекстрин, эмульгаторы (Е473, Е322 (из сои)), загустители (Е466, Е415), экстракт зеленого чая (0,1%), растительное масло, глазирователь (Е903), антиокислитель (E321), краситель (Е133). СОДЕРЖИТ ИСТОЧНИК ФЕНИЛАЛАНИНА. СОДЕРЖИТ ПОДСЛАСТИТЕЛИ. ПРИ ЧРЕЗМЕРНОМ УПОТРЕБЛЕНИИ МОГУТ ОКАЗЫВАТЬ СЛАБИТЕЛЬНОЕ ДЕЙСТВИЕ. 	True	True	Fri Jul  5 22:28:36 2024
Жевательная резинка Orbit Белоснежный Нежная мята, 13.6г	45,99 ₽/шт	14 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-orbit-belosneznyj-neznaa-mata-13-6g-3439786	Wed Jul  3 15:03:31 2024	Жевательная резинка Orbit Белоснежный Нежная мята, 13.6г	Цена59,99 ₽	Orbit	140.0	0.0 г	0.0 г	58.0 г	Резиновая основа, подсластители: мальтит е965, сорбитовый сироп е420ii,сорбит е420i; загуститель е414, ароматизаторы, регулятор кислотности е431, эмульгатор соевый лецитин, подсластители: маннит е421, аспартам е951, ацесульфам е950; глазирователь е903, красители: е171,е133; антиокислитель е320. 	True	True	Fri Jul  5 22:28:37 2024
Жевательная резинка Wrigley's Spearmint пластинки, 13г	33,99 ₽/шт	13 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-wrigleys-spearmint-plastinki-13g-15205	Wed Jul  3 15:03:31 2024	Жевательная резинка Wrigley's Spearmint пластинки, 13г	Цена37,99 ₽	Wrigley	140.0	0.0 г	0.0 г	60.0 г	Подсластитель сорбит Е420, резиновая основа, подсластитель маннит Е421, влагоудерживающий агент Е422, подсластитель мальтитный сироп Е965, ароматизаторы, эмульгатор соевый лецитин, подсластитель аспартам Е951, антиокислитель Е320. 	True	True	Fri Jul  5 22:28:38 2024
Жевательная резинка Dirol White Мята, 13.6г	29,99 ₽/шт	14 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-dirol-white-mata-13-6g-3641933	Wed Jul  3 15:03:31 2024	Жевательная резинка Dirol White Мята, 13.6г	Цена29,99 ₽	Dirol	167.0	0.4 г	0.9 г	63.0 г	Подсластители (изомальт, сорбит, ксилит, мальтит, мальтитный сироп, аспартам, ацесульфам калия, сукралоза), резиновая основа, носитель (карбонат кальция), ароматизаторы, эмульгаторы (Е 470а, лецитин, Е 472а), агент влагоудерживающий (Е 422), загуститель (Е 414), краситель (Е 171), глазирователь (Е 903), антиокислитель (Е 321). 	True	True	Fri Jul  5 22:28:39 2024
Жевательная резинка Orbit XXL White Bubblemint без сахара драже, 20.4г	63,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-orbit-xxl-white-bubblemint-bez-sahara-draze-20-4g-3499538	Wed Jul  3 15:03:31 2024	Жевательная резинка Orbit XXL White Bubblemint без сахара драже, 20.4г	Цена67,99 ₽	Orbit	150.0	0.0 г	0.0 г	61.0 г	Подсластитель е967, резиновая основа, подсластители: е420ii, е420i; загуститель е414, ароматизаторы, регулятор кислотности е341, эмульгатор соевый лецитин, подсластители: е421, е951; влагоудерживающий агент е422, красители: е171, е133; подсластители: е950, е955; глазирователь е903, антиокислитель е320. 	True	True	Fri Jul  5 22:28:40 2024
Жевательная резинка Orbit XXL Сладкая мята, 20.4г	63,99 ₽/шт	20 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-orbit-xxl-sladkaa-mata-20-4g-3439249	Wed Jul  3 15:03:31 2024	Жевательная резинка Orbit XXL Сладкая мята, 20.4г	Цена67,99 ₽	Orbit	150.0	0.0 г	0.0 г	62.6 г	Подсластители: сорбит е420, мальтит е965, резиновая основа, краситель е170, загуститель е414, ароматизаторы, подсластители: маннит е421, аспартам е951, ацесуфам калия е950, эмульгатор соевый лецитин, краситель е171, глазирователь е903, антиокислитель е320. 	True	True	Fri Jul  5 22:28:41 2024
Жевательная резинка Orbit Refreshers мята без сахара, 16г	49,99 ₽/шт	16 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-orbit-refreshers-mata-bez-sahara-16g-4111963	Wed Jul  3 15:03:31 2024	Жевательная резинка Orbit Refreshers мята без сахара, 16г	Цена69,99 ₽	Orbit	40.6	0.0 г	0.0 г	69.0 г	Подсластитель Е967, подсластитель Е420, резиновая основа, антислеживающий агент Е553, подсластитель Е421, ароматизаторы, влагоудерживающий агент Е422, загуститель Е414, эмульгатор соевый лецитин, подсластители: аспартам Е951, Е955, Е950; глазирователь Е903, антиокислитель Е320, краситель Е133. 	True	True	Fri Jul  5 22:28:42 2024
Жевательная резинка Orbit White Bubblemint, 13.6г	45,99 ₽/шт	14 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-orbit-white-bubblemint-13-6g-3426700	Wed Jul  3 15:03:31 2024	Жевательная резинка Orbit White Bubblemint, 13.6г	Цена59,99 ₽	Orbit	150.0	0.0 г	0.0 г	62.0 г	Подсластитель е967, резиновая основа, подсластители: е420ii, е420i; загуститель е414, ароматизаторы, регулятор кислотности е341, эмульгатор соевый лецитин, подсластители: е421, е951; влагоудерживающий агент е422, красители: е171, е133; подсластители: е950, е955; глазирователь е903, антиокислитель е320. 	True	True	Fri Jul  5 22:28:43 2024
Жевательная резинка Mentos Pure White Нежная мята, 15.5г	37,99 ₽/шт	16 гр	https://www.perekrestok.ru/cat/190/p/zevatelnaa-rezinka-mentos-pure-white-neznaa-mata-15-5g-3936418	Wed Jul  3 15:03:31 2024	Жевательная резинка Mentos Pure White Нежная мята, 15.5г	Цена49,99 ₽	Mentos	170.0	0.5 г	0.2 г	67.0 г	Подсластилели (E967, E420, E421, E965, E951, E950, E955), основа резиновая, агент влагоудерживающий (E422), ароматизаторы, мальтодекстрин, пищевая добавка (E451i), крахмал (рисовый, кукурузный), экстракт белого чая, эмульгаторы (E473, E322), загустители (E466, E415), растительное масло, глазирователь (E903), красители (E133, E100), антиокислитель (E321). Содержит соевый лецитин. Содержит источник фенилаланина. Содержит подсластители. 	True	True	Fri Jul  5 22:28:44 2024
