name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Смородина черная быстрозамороженная Маркет, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/smorodina-cernaa-bystrozamorozennaa-market-300g-4272209	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Вишня без косточки быстрозамороженная Маркет Перекрёсток, 400г	114,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-bystrozamorozennaa-market-perekrestok-400g-3489154	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Клубника быстрозамороженная Маркет Перекрёсток, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/klubnika-bystrozamorozennaa-market-perekrestok-400g-3489160	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Вишня без косточки замороженная Маркет, 300г	134,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-zamorozennaa-market-300g-4342877	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Вишня без косточки быстрозамороженная Маркет Перекрёсток, 400г	114,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-bystrozamorozennaa-market-perekrestok-400g-3489154	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Вишня Морозко Green без косточки замороженная, 300г	279,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/visna-morozko-green-bez-kostocki-zamorozennaa-300g-3423460	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Малина быстрозамороженная Маркет, 300г	239,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/malina-bystrozamorozennaa-market-300g-4315997	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Клюква садовая быстрозамороженная Пр!ст, 700г	549,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/61/p/klukva-sadovaa-bystrozamorozennaa-pr-st-700g-4289122	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Черника быстрозамороженная Маркет Перекрёсток, 300г	134,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/cernika-bystrozamorozennaa-market-perekrestok-300g-4135309	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Смородина черная быстрозамороженная Маркет, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/smorodina-cernaa-bystrozamorozennaa-market-300g-4272209	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Облепиха быстрозамороженная Маркет Перекрёсток, 300г	209,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/oblepiha-bystrozamorozennaa-market-perekrestok-300g-4135307	Wed Jul  3 15:04:28 2024	none	none	none	none	none	none	none	none	none	none	none
Брусника быстрозамороженная Маркет Перекрёсток, 400г	369,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/brusnika-bystrozamorozennaa-market-perekrestok-400g-3489158	Thu Jul  4 09:46:30 2024	none	none	none	none	none	none	none	none	none	none	none
Клюква дикорастущая быстрозамороженная Маркет, 300г	369,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/klukva-dikorastusaa-bystrozamorozennaa-market-300g-4275459	Thu Jul  4 09:46:30 2024	none	none	none	none	none	none	none	none	none	none	none
Клубника быстрозамороженная Пр!ст, 700г	279,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/61/p/klubnika-bystrozamorozennaa-pr-st-700g-4289123	Thu Jul  4 09:46:30 2024	none	none	none	none	none	none	none	none	none	none	none
Вишня без косточки быстрозамороженная Пр!ст, 700г	191,99 ₽/шт	700 гр	https://www.perekrestok.ru/cat/61/p/visna-bez-kostocki-bystrozamorozennaa-pr-st-700g-4315828	Thu Jul  4 09:46:30 2024	none	none	none	none	none	none	none	none	none	none	none
Клюква дикорастущая быстрозамороженная Маркет, 300г	369,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/klukva-dikorastusaa-bystrozamorozennaa-market-300g-4275459	Thu Jul  4 09:46:30 2024	none	none	none	none	none	none	none	none	none	none	none
Брусника быстрозамороженная Маркет Перекрёсток, 400г	369,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/61/p/brusnika-bystrozamorozennaa-market-perekrestok-400g-3489158	Thu Jul  4 09:46:30 2024	none	none	none	none	none	none	none	none	none	none	none
Смесь Планета Витаминов Тропикана из фруктов быстрозамороженная, 300г	137,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/61/p/smes-planeta-vitaminov-tropikana-iz-fruktov-bystrozamorozennaa-300g-4307676	Thu Jul  4 09:46:30 2024	none	none	none	none	none	none	none	none	none	none	none
