name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Малина Маркет Fresh, 125г	319,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/154/p/malina-market-fresh-125g-21151?video=true	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Малина, 250г	629,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/malina-250g-3641616	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Арбуз	29,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-77410	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Голубика Маркет Fresh, 500г	579,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-500g-3641622	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Черешня отборная, 500г	399,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/ceresna-otbornaa-500g-4300902	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Клубника Маркет Fresh, 250г	279,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/klubnika-market-fresh-250g-11034?video=true	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Малина Маркет Fresh, 125г	319,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/154/p/malina-market-fresh-125g-21151?video=true	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Малина, 250г	629,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/malina-250g-3641616	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Вишня	379,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/visna-71844	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Голубика Маркет Fresh, 125г	179,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-125g-48663	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Голубика Маркет Fresh, 500г	579,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-500g-3641622	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Смородина красная, 250г	249,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/smorodina-krasnaa-250g-3641619	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Смородина черная, 250г	399,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/smorodina-cernaa-250g-4167708	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Арбуз	29,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-77410	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Черешня розовая	549,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/ceresna-rozovaa-3254387	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Физалис, 100г	199,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/154/p/fizalis-100g-48628	Wed Jul  3 15:02:51 2024	none	none	none	none	none	none	none	none	none	none	none
Ежевика садовая, 250г	229,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/ezevika-sadovaa-250g-4167507	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Голубика Маркет Fresh, 250г	329,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-250g-4052118	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Клубника	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/klubnika-5582	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Голубика Маркет Fresh, 250г	329,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/golubika-market-fresh-250g-4052118	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Клюква дикорастущая Зелёная Линия, 250г	329,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/klukva-dikorastusaa-zelenaa-linia-250g-4250849	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Арбуз импортный без косточек 	169,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-importnyj-bez-kostocek-3694537	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Арбуз Яйцо Дракона жёлтый	99,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-ajco-drakona-zeltyj-4210849	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Арбуз Бейби без косточек	129,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/arbuz-bejbi-bez-kostocek-4072214	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Крыжовник Съешь меня, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/154/p/kryzovnik-ses-mena-250g-3641621	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Ежевика Market Collection, 125г	449,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/154/p/ezevika-market-collection-125g-4098521	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Крыжовник	599,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/kryzovnik-41881	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Ежевика	899,99 ₽/кг	none	https://www.perekrestok.ru/cat/154/p/ezevika-3680524	Thu Jul  4 09:44:48 2024	none	none	none	none	none	none	none	none	none	none	none
Малина Маркет Fresh, 125г	319,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/1245/p/malina-market-fresh-125g-21151?video=true	Thu Jul  4 10:19:56 2024	none	none	none	none	none	none	none	none	none	none	none
Малина Маркет Fresh, 125г	319,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/1245/p/malina-market-fresh-125g-21151?video=true	Thu Jul  4 10:19:56 2024	none	none	none	none	none	none	none	none	none	none	none
