name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Батончик шоколадный Twix Экстра с печеньем, 82г	85,99 ₽/шт	82 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-twix-ekstra-s-pecenem-82g-2138420	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Snickers Супер из нуги карамели и арахиса, 80г	77,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-super-iz-nugi-karameli-i-arahisa-80g-4133363	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Picnic Big, 76г	83,99 ₽/шт	76 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-picnic-big-76g-3442578	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Picnic грецкий орех, 52г	54,99 ₽/шт	52 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-picnic-greckij-oreh-52g-3419777	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Milky Way, 26г	24,99 ₽/шт	26 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-milky-way-26g-5164	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Snickers лесной орех, 81г	91,99 ₽/шт	81 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-lesnoj-oreh-81g-3297592	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Конфета Nuts Мегабайт цельный фундук, 66г	59,99 ₽/шт	66 гр	https://www.perekrestok.ru/cat/203/p/konfeta-nuts-megabajt-celnyj-funduk-66g-90937	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Bounty Трио, 82.5г	77,99 ₽/шт	83 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-bounty-trio-82-5g-2100611	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Snickers, 50.5г	55,99 ₽/шт	51 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-50-5g-3398823	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Mars Max с нугой и карамелью в молочном шоколаде, 81г	85,99 ₽/шт	81 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-mars-max-s-nugoj-i-karamelu-v-molocnom-sokolade-81g-3389812	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Twix с печеньем, 55г	55,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-twix-s-pecenem-55g-7650	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Обыкновенное чудо классическое вафельные неглазированные, 40г	33,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/203/p/konfety-obyknovennoe-cudo-klassiceskoe-vafelnye-neglazirovannye-40g-3695230	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Milky Way, 2х26г	60,99 ₽/шт	52 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-milky-way-2h26g-3160131	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный MilkyWay с суфле, 104г	104,99 ₽/шт	104 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-milkyway-s-sufle-104g-4110619	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Bounty с мякотью кокоса в молочном шоколаде, 55г	55,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/203/p/batoncik-bounty-s-makotu-kokosa-v-molocnom-sokolade-55g-3663	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Snickers Криспер, 60г	63,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-krisper-60g-3929656	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Bounty шоколадный с нежной мякотью кокоса, 6х27,5г	174,99 ₽/шт	165 гр	https://www.perekrestok.ru/cat/203/p/batoncik-bounty-sokoladnyj-s-neznoj-makotu-kokosa-6h27-5g-4110616	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Snickers жареный арахис-карамель-нуга, 4х40г	164,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-zarenyj-arahis-karamel-nuga-4h40g-4110633	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Twix с карамелью, 3х55г	184,99 ₽/шт	165 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-twix-s-karamelu-3h55g-4110622	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Boombastic в молочном шоколаде кокос-карамель-хрустящий рис, 35г	40,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/203/p/batoncik-boombastic-v-molocnom-sokolade-kokos-karamel-hrustasij-ris-35g-4171564	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Snickers жареный арахис-карамель-нуга в молочном шоколаде, 32г	33,99 ₽/шт	32 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-snickers-zarenyj-arahis-karamel-nuga-v-molocnom-sokolade-32g-4239892	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик шоколадный Mars, 50г	55,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/203/p/batoncik-sokoladnyj-mars-50g-3658	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Mars шоколадный с карамелью и нугой, 4х40,5г	164,99 ₽/шт	162 гр	https://www.perekrestok.ru/cat/203/p/batoncik-mars-sokoladnyj-s-karamelu-i-nugoj-4h40-5g-4110620	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Конфета Super Step нуга арахис карамель глазированная, 65г	45,99 ₽/шт	65 гр	https://www.perekrestok.ru/cat/203/p/konfeta-super-step-nuga-arahis-karamel-glazirovannaa-65g-3907761	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Конфета Nuts цельный фундук, 50г	60,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/203/p/konfeta-nuts-celnyj-funduk-50g-19578	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Zentis Марципановая буханка в шоколаде, 100г	189,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/203/p/batoncik-zentis-marcipanovaa-buhanka-v-sokolade-100g-3365773	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Nattys&Go! Salty Caramel шоколадный с арахисовой пастой и карамелью, 45г	99,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/203/p/batoncik-nattys-go-salty-caramel-sokoladnyj-s-arahisovoj-pastoj-i-karamelu-45g-4350047	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Racionika Diet кокос, 60г	109,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/203/p/batoncik-racionika-diet-kokos-60g-3481054	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Nattys&Go! Crispy шоколадный с арахисом карамелью и изюмом, 45г	99,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/203/p/batoncik-nattys-go-crispy-sokoladnyj-s-arahisom-karamelu-i-izumom-45g-4350052	Wed Jul  3 15:03:18 2024	none	none	none	none	none	none	none	none	none	none	none
