name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пиво безалкогольное Clausthaler Оригинал светлое 0.5%, 500мл	154,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-clausthaler-original-svetloe-0-5-500ml-3441345	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво безалкогольное Stella Artois светлое, 450мл	91,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-stella-artois-svetloe-450ml-3983198	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво безалкогольное Балтика №0 светлое 0.5%, 450мл	65,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-baltika-no0-svetloe-0-5-450ml-3502293	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток пивной безалкогольный Балтика №0 Пшеничный нефильтрованный, 450мл	65,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/napitok-pivnoj-bezalkogolnyj-baltika-no0-psenicnyj-nefiltrovannyj-450ml-3636389	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво безалкогольное Жигули Барное светлое 0.5%, 450мл	57,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-ziguli-barnoe-svetloe-0-5-450ml-3661462	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток пивной безалкогольный Балтика №0 Грейпфрут нефильтрованный, 330мл	59,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/207/p/napitok-pivnoj-bezalkogolnyj-baltika-no0-grejpfrut-nefiltrovannyj-330ml-3909463	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво безалкогольное Wolpertinger Alcoholfrei светлое фильтрованное, 500мл	109,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-wolpertinger-alcoholfrei-svetloe-filtrovannoe-500ml-4236626	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво Жигули Барное светлое безалкогольное 0%, 450мл	69,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-ziguli-barnoe-svetloe-bezalkogolnoe-0-450ml-4017525	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток пивной Krone Blanche Biere Alcohol Free пастеризованный безалкогольный, 450мл	54,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/napitok-pivnoj-krone-blanche-biere-alcohol-free-pasterizovannyj-bezalkogolnyj-450ml-4346918	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво безалкогольное Невское светлое, 450мл	34,99 ₽/шт	450 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-nevskoe-svetloe-450ml-4289449	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток пивной Бакунин неосветлённый нефильтрованный 0%, 500мл	169,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/207/p/napitok-pivnoj-bakunin-neosvetlennyj-nefiltrovannyj-0-500ml-4236302	Wed Jul  3 15:03:42 2024	none	none	none	none	none	none	none	none	none	none	none
Пиво безалкогольное Clausthaler Классик светлое 0.45%, 330мл	139,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/207/p/pivo-bezalkogolnoe-clausthaler-klassik-svetloe-0-45-330ml-8375	Thu Jul  4 09:45:46 2024	none	none	none	none	none	none	none	none	none	none	none
