name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Нут Зелёная Линия, 350г	144,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/252/p/nut-zelenaa-linia-350g-4151858	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Горох шлифованный колотый Маркет, 800г	49,99 ₽/шт	800 гр	https://www.perekrestok.ru/cat/745/p/goroh-slifovannyj-kolotyj-market-800g-4306938	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Горох Мистраль Айдахо жёлтый колотый шлифованный, 500г	95,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/745/p/goroh-mistral-ajdaho-zeltyj-kolotyj-slifovannyj-500g-3422626	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Горох Скайфуд колотый шлифованный, 900г	36,40 ₽/шт	900 гр	https://www.perekrestok.ru/cat/745/p/goroh-skajfud-kolotyj-slifovannyj-900g-3232765	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Горох Мистраль жёлтый колотый шлифованный, 900г	114,99 ₽/шт	900 гр	https://www.perekrestok.ru/cat/745/p/goroh-mistral-zeltyj-kolotyj-slifovannyj-900g-3469543	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Суп-пюре Yelli из гороха с карри, 250г	129,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/745/p/sup-pure-yelli-iz-goroha-s-karri-250g-3447289	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Фасоль красная Пр!ст, 800г	170,90 ₽/шт	800 гр	https://www.perekrestok.ru/cat/745/p/fasol-krasnaa-pr-st-800g-4090104	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Фасоль Legurme красная отварная, 400г	129,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/745/p/fasol-legurme-krasnaa-otvarnaa-400g-4267998	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Фасоль Мистраль Кидни тёмно-красная, 450г	269,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/745/p/fasol-mistral-kidni-temno-krasnaa-450g-66066	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
Фасоль белая Пр!ст, 800г	249,99 ₽/шт	800 гр	https://www.perekrestok.ru/cat/745/p/fasol-belaa-pr-st-800g-4090103	Wed Jul  3 15:02:57 2024	none	none	none	none	none	none	none	none	none	none	none
