name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Грудинка копчёно-варёная Классическая из свинины категория В Маркет, 300г	329,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/136/p/grudinka-kopceno-varenaa-klassiceskaa-iz-svininy-kategoria-v-market-300g-78030214	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Грудка индейки сыровяленая Экстра Зелёная Линия, 100г	329,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/136/p/grudka-indejki-syrovalenaa-ekstra-zelenaa-linia-100g-4056917	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Грудинка из свинины Ремит Домашняя копчёно-варёная категория В	1 664,00 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/grudinka-iz-svininy-remit-domasnaa-kopceno-varenaa-kategoria-v-78006633	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Грудинка Великолукский МК Охотничья варёно-копчёная, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/136/p/grudinka-velikolukskij-mk-ohotnica-vareno-kopcenaa-300g-3474296	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Грудинка варёно-копчёная Окраина Деревенская из свинины категория Б	1 399,00 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/grudinka-vareno-kopcenaa-okraina-derevenskaa-iz-svininy-kategoria-b-4091288	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Бекон Велком сырокопчёный, 200г	159,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-velkom-syrokopcenyj-200g-3443644	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Бекон Дымов Венгерский сырокопчёный нарезка, 200г	289,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-dymov-vengerskij-syrokopcenyj-narezka-200g-3445554	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Бекон Велком Двойное копчение сырокопчёный нарезка, 200г	159,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-velkom-dvojnoe-kopcenie-syrokopcenyj-narezka-200g-3655098	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Бекон Чёрный кабан сырокопченый категории Б, 200г	134,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/136/p/bekon-cernyj-kaban-syrokopcenyj-kategorii-b-200g-4310572	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Бекон из свинины копчено-запеченный категории Б Зелёная Линия, 150г	249,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/136/p/bekon-iz-svininy-kopceno-zapecennyj-kategorii-b-zelenaa-linia-150g-4191111	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Бекон сырокопчёный Cortador из свинины, 180г	269,99 ₽/шт	180 гр	https://www.perekrestok.ru/cat/136/p/bekon-syrokopcenyj-cortador-iz-svininy-180g-4225967	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Карбонад из свинины копчено-вареный Маркет, 100г	119,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/136/p/karbonad-iz-svininy-kopceno-varenyj-market-100g-4284223	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Карбонад Великолукский МК Славянский копчёно-варёный, 300г	289,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/136/p/karbonad-velikolukskij-mk-slavanskij-kopceno-varenyj-300g-3474298	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Карбонад Клинский Чёрный кабан	1 099,90 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/karbonad-klinskij-cernyj-kaban-3353687	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Карбонад Окраина Юбилейный копчёно-варёный	1 199,90 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/karbonad-okraina-ubilejnyj-kopceno-varenyj-3658450	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Карбонад свиной Мит Стар Классический копчёно-варёный категории Б	1 484,00 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/karbonad-svinoj-mit-star-klassiceskij-kopceno-varenyj-kategorii-b-4215320	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
Карбонад Сербская Зимница Кубанский из свинины категории А	1 169,00 ₽/кг	none	https://www.perekrestok.ru/cat/136/p/karbonad-serbskaa-zimnica-kubanskij-iz-svininy-kategorii-a-4252129	Wed Jul  3 15:04:04 2024	none	none	none	none	none	none	none	none	none	none	none
