name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Пудинг молочный Ehrmann High Protein шоколад ультрапастеризованный 1.5%, 200г	129,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-ehrmann-high-protein-sokolad-ultrapasterizovannyj-1-5-200g-4101183	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пудинг молочный Ehrmann High Protein со вкусом ванили ультрапастеризованный 1.5%, 200г	129,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-ehrmann-high-protein-so-vkusom-vanili-ultrapasterizovannyj-1-5-200g-4101182	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пудинг Эрмигурт шоколад 3.2%, 100г	33,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/658/p/puding-ermigurt-sokolad-3-2-100g-3341393	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пудинг молочный Grand Dessert шоколад 5.2%, 200г	97,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-sokolad-5-2-200g-3483437	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пудинг молочный Grand Dessert ваниль 4.7%, 200г	97,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-vanil-4-7-200g-3483427	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пудинг молочный Grand Dessert солёная карамель 4.7%, 200г	97,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-solenaa-karamel-4-7-200g-3921666	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пудинг молочный Grand Dessert Белый шоколад с клубничным муссом 6%, 200г	97,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-belyj-sokolad-s-klubnicnym-mussom-6-200g-3666413	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пудинг молочный Grand Dessert Двойной орех со сливочным муссом 4.9%, 200г	93,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/puding-molocnyj-grand-dessert-dvojnoj-oreh-so-slivocnym-mussom-4-9-200g-3483430	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Желе со вкусом вишни пастеризованное Пр!ст, 150г	26,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/658/p/zele-so-vkusom-visni-pasterizovannoe-pr-st-150g-4270407	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Желе со вкусом яблока пастеризованное Пр!ст, 150г	26,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/658/p/zele-so-vkusom-abloka-pasterizovannoe-pr-st-150g-4270408	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Желе РАЭ фруктовое с вишней, 150г	67,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/658/p/zele-rae-fruktovoe-s-visnej-150g-3625278	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт Манго Зелёная Линия, 200г	139,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/desert-mango-zelenaa-linia-200g-4341051	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт Манго-клубника Зелёная Линия, 200г	139,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/desert-mango-klubnika-zelenaa-linia-200g-4341050	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Желе New Choice Тропик ассорти, 300г	179,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/658/p/zele-new-choice-tropik-assorti-300g-4305148	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт Ягодный микс Зелёная Линия, 200г	139,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/desert-agodnyj-miks-zelenaa-linia-200g-4341048	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Желе Ле-Ле малина, 125г	23,99 ₽/шт	125 гр	https://www.perekrestok.ru/cat/658/p/zele-le-le-malina-125g-3656398	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт Персик Зелёная Линия, 200г	139,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/658/p/desert-persik-zelenaa-linia-200g-4341049	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Кисель Аппетиссимо малина, 500мл	73,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/658/p/kisel-appetissimo-malina-500ml-3062813	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Кисель Аппетиссимо чёрная смородина плодово-ягодный, 500мл	75,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/658/p/kisel-appetissimo-cernaa-smorodina-plodovo-agodnyj-500ml-3003181	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Кисель плодово-ягодный Аппетиссимо, 500мл	69,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/658/p/kisel-plodovo-agodnyj-appetissimo-500ml-4334578	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Natura Selection Latte Банан-Карамель молочный кофейный 2.4%, 220мл	149,99 ₽/шт	220 мл	https://www.perekrestok.ru/cat/658/p/napitok-natura-selection-latte-banan-karamel-molocnyj-kofejnyj-2-4-220ml-4282033	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Natura Selection Cappuccino Карамель молочный кофейный 2.4%, 220мл	149,99 ₽/шт	220 мл	https://www.perekrestok.ru/cat/658/p/napitok-natura-selection-cappuccino-karamel-molocnyj-kofejnyj-2-4-220ml-4282025	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт овсяный Nemoloko Со злаковыми шариками в шоколаде обогащённый для детского питания, 130г	52,99 ₽/шт	120 мл	https://www.perekrestok.ru/cat/658/p/desert-ovsanyj-nemoloko-so-zlakovymi-sarikami-v-sokolade-obogasennyj-dla-detskogo-pitania-130g-4155886	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт овсяный Nemoloko С вишней и кусочками шоколада обогащённый для детского питания, 130г	52,99 ₽/шт	120 мл	https://www.perekrestok.ru/cat/658/p/desert-ovsanyj-nemoloko-s-visnej-i-kusockami-sokolada-obogasennyj-dla-detskogo-pitania-130g-4155885	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт овсяный Nemoloko С грецким орехом и кленовым сиропом обогащённый для детского питания, 130г	52,99 ₽/шт	120 мл	https://www.perekrestok.ru/cat/658/p/desert-ovsanyj-nemoloko-s-greckim-orehom-i-klenovym-siropom-obogasennyj-dla-detskogo-pitania-130g-4155887	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пюре Nutrino Lab фруктовое яблоко персик клубника малина, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/253/p/pure-nutrino-lab-fruktovoe-abloko-persik-klubnika-malina-200g-4301926	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пюре Nutrino Lab фруктовое яблоко манго папайя банан, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/253/p/pure-nutrino-lab-fruktovoe-abloko-mango-papaja-banan-200g-4301924	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пюре Nutrino Lab фруктовое яблоко черника вишня, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/253/p/pure-nutrino-lab-fruktovoe-abloko-cernika-visna-200g-4301925	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пюре Nutrino Lab Fitness mix фруктовое яблоко киви шпинат и банан, 200г	169,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/253/p/pure-nutrino-lab-fitness-mix-fruktovoe-abloko-kivi-spinat-i-banan-200g-4301927	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Йогурт Чудо шоколад-печенье вязкий живой 3%, 105г	62,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/658/p/jogurt-cudo-sokolad-pecene-vazkij-zivoj-3-105g-4102122	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Йогурт Чудо шоколадные вафли-печенье вязкий живой 3%, 105г	62,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/658/p/jogurt-cudo-sokoladnye-vafli-pecene-vazkij-zivoj-3-105g-4102117	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Йогурт Чудо кокос-печенье вязкий живой 3%, 105г	62,99 ₽/шт	105 гр	https://www.perekrestok.ru/cat/658/p/jogurt-cudo-kokos-pecene-vazkij-zivoj-3-105g-4102123	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пирожное Kinder Pingui шоколад, 30г	69,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/658/p/piroznoe-kinder-pingui-sokolad-30g-53713	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пирожное Kinder Maxi King орехи-карамель, 35г	97,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/658/p/piroznoe-kinder-maxi-king-orehi-karamel-35g-53715	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Молоко сгущённое с сахаром варёное в вафельной трубочке 8.5% Зелёная Линия, 35г	37,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/658/p/moloko-sgusennoe-s-saharom-varenoe-v-vafelnoj-trubocke-8-5-zelenaa-linia-35g-4310828	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Молочный крем в вафельной трубочке 11.7% Зелёная Линия, 35г	37,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/658/p/molocnyj-krem-v-vafelnoj-trubocke-11-7-zelenaa-linia-35g-4310829	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Зефир ЗГДДОП молочный с кофе в молочном бельгийском шоколаде 16%, 60г	114,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/658/p/zefir-zgddop-molocnyj-s-kofe-v-molocnom-belgijskom-sokolade-16-60g-4074289	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Трубочка для молока Proпитание клубника, 30г	44,99 ₽/шт	30 мл	https://www.perekrestok.ru/cat/658/p/trubocka-dla-moloka-propitanie-klubnika-30g-3432237	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Трубочка для молока Proпитание Баббл гам карамельное драже, 30г	44,99 ₽/шт	30 мл	https://www.perekrestok.ru/cat/658/p/trubocka-dla-moloka-propitanie-babbl-gam-karamelnoe-draze-30g-3979457	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Трубочка для молока Proпитание шоколад, 30г	44,99 ₽/шт	30 мл	https://www.perekrestok.ru/cat/658/p/trubocka-dla-moloka-propitanie-sokolad-30g-3432239	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Пирожное Milino бисквитное с молочно-медовым кремом, 28г	43,99 ₽/шт	28 гр	https://www.perekrestok.ru/cat/658/p/piroznoe-milino-biskvitnoe-s-molocno-medovym-kremom-28g-4288499	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Трубочка для молока Proпитание шоколад-банан, 30г	44,99 ₽/шт	30 мл	https://www.perekrestok.ru/cat/658/p/trubocka-dla-moloka-propitanie-sokolad-banan-30g-3432241	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт В.П.Пастухова со сгущенным молоком с сахаром в вафельной трубочке 33.4%, 30г	73,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/658/p/desert-v-p-pastuhova-so-sgusennym-molokom-s-saharom-v-vafelnoj-trubocke-33-4-30g-4310632	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт В.П.Пастухова со сгущенным молоком с сахаром вареным в вафельной трубочке 33.2%, 30г	73,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/658/p/desert-v-p-pastuhova-so-sgusennym-molokom-s-saharom-varenym-v-vafelnoj-trubocke-33-2-30g-4310633	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Крем Пискаревский сливочный с ванилином 15%, 250г	75,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/658/p/krem-piskarevskij-slivocnyj-s-vanilinom-15-250g-29942	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Крем Княжеский Любимчик Мирата молочный лёгкий 4.5%, 150г	51,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/658/p/krem-knazeskij-lubimcik-mirata-molocnyj-legkij-4-5-150g-51825	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт Дмитровский Молочный Завод ваниль 23%, 100г	63,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/658/p/desert-dmitrovskij-molocnyj-zavod-vanil-23-100g-3927999	Wed Jul  3 15:02:39 2024	none	none	none	none	none	none	none	none	none	none	none
