name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Батончик-мюсли ДиYes клюква-малина в йогурте, 25г	19,99 ₽/шт	25 гр	https://www.perekrestok.ru/cat/203/p/batoncik-musli-diyes-klukva-malina-v-jogurte-25g-3455919	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик-мюсли ДиYes черника без сахара, 25г	19,99 ₽/шт	25 гр	https://www.perekrestok.ru/cat/203/p/batoncik-musli-diyes-cernika-bez-sahara-25g-3455922	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Pikki миндаль-шоколад-апельсин, 35г	49,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/203/p/batoncik-pikki-mindal-sokolad-apelsin-35g-3503816	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик-мюсли Здоровый Перекус клюква, 55г	39,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/189/p/batoncik-musli-zdorovyj-perekus-klukva-55g-3600318	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик-мюсли Здоровый Перекус черника, 55г	39,99 ₽/шт	55 гр	https://www.perekrestok.ru/cat/189/p/batoncik-musli-zdorovyj-perekus-cernika-55g-3600319	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Smartbar Protein, 40г	67,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/189/p/batoncik-smartbar-protein-40g-3609088	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Гематоген Фарм-Тигода Классический, 40г	14,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/297/p/gematogen-farm-tigoda-klassiceskij-40g-3604067	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Батончик Racionika Diet кокос, 60г	109,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/203/p/batoncik-racionika-diet-kokos-60g-3481054	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Конфета кокос протеиновая Зелёная Линия, 30г	81,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/65/p/konfeta-kokos-proteinovaa-zelenaa-linia-30g-4109733	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Конфета кешью протеиновая Зелёная Линия, 30г	81,99 ₽/шт	30 гр	https://www.perekrestok.ru/cat/65/p/konfeta-kesu-proteinovaa-zelenaa-linia-30g-4109732	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Карамель Sula мультивитамин без сахара, 60г	159,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/189/p/karamel-sula-multivitamin-bez-sahara-60g-47451	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Печенье Mini Calorie Мария затяжное на стевии, 250г	93,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/189/p/pecene-mini-calorie-maria-zataznoe-na-stevii-250g-3664137	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Печенье ProteinRex Флэпджек протеиновое шоколадное овсяное, 60г	111,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/189/p/pecene-proteinrex-flepdzek-proteinovoe-sokoladnoe-ovsanoe-60g-4047852	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
Печенье Protein Rex Cookie шоколад-вишня протеиновое, 50г	97,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/189/p/pecene-protein-rex-cookie-sokolad-visna-proteinovoe-50g-3680453	Wed Jul  3 15:03:27 2024	none	none	none	none	none	none	none	none	none	none	none
