name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Джем Махеевъ клубничный, 300г	154,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-klubnicnyj-300g-3369992	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем клубничный Пр!ст, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-klubnicnyj-pr-st-300g-3903160	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Повидло клубничное Пр!ст, 500г	114,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/109/p/povidlo-klubnicnoe-pr-st-500g-3503167	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем Махеевъ малиновый, 300г	164,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-malinovyj-300g-3340191	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем малиновый Пр!ст, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-malinovyj-pr-st-300g-3903158	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем Ратибор малиновый, 360г	189,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/109/p/dzem-ratibor-malinovyj-360g-86314	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем Махеевъ сливовый нестерилизованный, 300г	89,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-slivovyj-nesterilizovannyj-300g-4132417	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем Махеевъ из персика и манго, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-iz-persika-i-mango-400g-3910897	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем Махеевъ Черничный, 300г	154,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-cernicnyj-300g-3336645	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Черника протёртая с сахаром Пр!ст, 350г	99,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/109/p/cernika-protertaa-s-saharom-pr-st-350g-4252385	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
Джем Махеевъ апельсиновый, 400г	179,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/109/p/dzem-maheev-apelsinovyj-400g-3658465	Wed Jul  3 15:05:15 2024	none	none	none	none	none	none	none	none	none	none	none
