name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Фарш Мираторг говяжий категории Б охлажденный, 400г	299,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-miratorg-govazij-kategorii-b-ohlazdennyj-400g-4288090	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Говяжий мясной рубленый категории А охлаждённый	659,99 ₽/кг	none	https://www.perekrestok.ru/cat/145/p/fars-govazij-masnoj-rublenyj-kategorii-a-ohlazdennyj-4323844	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш говяжий Самсон охлаждённый, 400г	379,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-govazij-samson-ohlazdennyj-400g-3205753	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш говяжий Самсон охлаждённый, 750г	679,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/145/p/fars-govazij-samson-ohlazdennyj-750g-3380541	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш говяжий Великолукский Мясокомбинат охлаждённый категория А, 400г	249,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-govazij-velikolukskij-masokombinat-ohlazdennyj-kategoria-a-400g-3659524	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш свиной Черкизово Крестьянский охлаждённый, 400г	149,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-svinoj-cerkizovo-krestanskij-ohlazdennyj-400g-4245450	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Ближние Горки деревенский охлаждённый категория В, 400г	169,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-bliznie-gorki-derevenskij-ohlazdennyj-kategoria-v-400g-3681614	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш свино-говяжий Мираторг домашний, 400г	229,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-svino-govazij-miratorg-domasnij-400g-3673806	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Перекрёсток домашний	499,99 ₽/кг	none	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-domasnij-7335	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Домашний из свинины и говядины категории Б охлажденный Маркет, 400г	199,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-domasnij-iz-svininy-i-govadiny-kategorii-b-ohlazdennyj-market-400g-4299556	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Самсон домашний охлаждённый, 400г	259,00 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-samson-domasnij-ohlazdennyj-400g-3205754	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Черкизово домашний полуфабрикат охлаждённый, 400г	159,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-cerkizovo-domasnij-polufabrikat-ohlazdennyj-400g-3430735	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Мираторг любительский охлаждённый, 400г	239,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-miratorg-lubitelskij-ohlazdennyj-400g-3646881	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Ближние Горки деревенский охлаждённый категория В, 400г	169,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-bliznie-gorki-derevenskij-ohlazdennyj-kategoria-v-400g-3681614	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш куриный Петелинка Премиум из филе грудки, 450г	149,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/145/p/fars-kurinyj-petelinka-premium-iz-file-grudki-450g-4243884	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш куриный Перекрёсток из филе грудки	459,99 ₽/кг	none	https://www.perekrestok.ru/cat/145/p/fars-kurinyj-perekrestok-iz-file-grudki-24408	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Пава-Пава Нежный из мяса индейки охлажденный, 450г	219,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/145/p/fars-pava-pava-neznyj-iz-masa-indejki-ohlazdennyj-450g-4267624	Wed Jul  3 15:04:05 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Taurus из мраморной говядины категория А, 400г	319,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-taurus-iz-mramornoj-govadiny-kategoria-a-400g-4259225	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Хороший Кусок из говядины охлаждённый, 400г	259,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-horosij-kusok-iz-govadiny-ohlazdennyj-400g-4357432	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Перекрёсток свиной	359,99 ₽/кг	none	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-svinoj-7354	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Самсон Домашний, 750г	479,99 ₽/шт	750 гр	https://www.perekrestok.ru/cat/145/p/fars-samson-domasnij-750g-3380542	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Перекрёсток куриный	399,99 ₽/кг	none	https://www.perekrestok.ru/cat/145/p/fars-perekrestok-kurinyj-57585	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш Индилайт из филе грудки индейки охлаждённый, 450г	209,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/145/p/fars-indilajt-iz-file-grudki-indejki-ohlazdennyj-450g-4342592	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш из мяса индейки Зелёная Линия, 500г	319,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/145/p/fars-iz-masa-indejki-zelenaa-linia-500g-4255343	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш из телятины Мясо Есть! охлаждённый, 400г	209,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-iz-telatiny-maso-est-ohlazdennyj-400g-4073125	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш из розовой телятины Мираторг полуфабрикат охлаждённый, 400г	399,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/145/p/fars-iz-rozovoj-telatiny-miratorg-polufabrikat-ohlazdennyj-400g-3647693	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
Фарш из мяса кролика категории Б охлажденный, 400г	379,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/143/p/fars-iz-masa-krolika-kategorii-b-ohlazdennyj-400g-4336985	Thu Jul  4 10:31:46 2024	none	none	none	none	none	none	none	none	none	none	none
