name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Ананасы кусочки в лёгком сиропе Пр!ст, 565г	98,60 ₽/шт	580 мл	https://www.perekrestok.ru/cat/77/p/ananasy-kusocki-v-legkom-sirope-pr-st-565g-4089137	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Королевские кольца в сиропе Маркет Перекрёсток, 565г	179,99 ₽/шт	565 гр	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kolca-v-sirope-market-perekrestok-565g-3642259	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Королевские кусочки в сиропе Маркет Перекрёсток, 565г	179,99 ₽/шт	565 гр	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kusocki-v-sirope-market-perekrestok-565g-3642356	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Del Monte кусочки в соке, 230г	139,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-kusocki-v-soke-230g-17285	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы кольца в лёгком сиропе Пр!ст, 565г	169,99 ₽/шт	580 мл	https://www.perekrestok.ru/cat/77/p/ananasy-kolca-v-legkom-sirope-pr-st-565g-4089136	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Королевские кольца консервированные в сиропе Маркет Перекрёсток, 825г	299,99 ₽/шт	825 гр	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kolca-konservirovannye-v-sirope-market-perekrestok-825g-3904924	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Del Monte кольца в соке, 220г	139,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-kolca-v-soke-220g-3412364	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Королевские кусочки консервированные в сиропе Маркет Перекрёсток, 825г	299,99 ₽/шт	825 гр	https://www.perekrestok.ru/cat/77/p/ananasy-korolevskie-kusocki-konservirovannye-v-sirope-market-perekrestok-825g-3904923	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Del Monte Gold кольца в соке, 435г	319,99 ₽/шт	435 гр	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-gold-kolca-v-soke-435g-4006526	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Del Monte Gold кусочки в соке, 435г	319,99 ₽/шт	435 гр	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-gold-kusocki-v-soke-435g-4006525	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Ананасы Del Monte кусочки консервированные в соке, 435г	279,99 ₽/шт	435 гр	https://www.perekrestok.ru/cat/77/p/ananasy-del-monte-kusocki-konservirovannye-v-soke-435g-3409533	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Персики половинки консервированные в сиропе Маркет Перекрёсток, 820г	289,99 ₽/шт	850 мл	https://www.perekrestok.ru/cat/77/p/persiki-polovinki-konservirovannye-v-sirope-market-perekrestok-820g-4098457	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Персики Countree половинки в сиропе, 470г	199,99 ₽/шт	470 гр	https://www.perekrestok.ru/cat/77/p/persiki-countree-polovinki-v-sirope-470g-4314938	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Персики дольки в сиропе Пр!ст, 425г	139,99 ₽/шт	425 гр	https://www.perekrestok.ru/cat/77/p/persiki-dolki-v-sirope-pr-st-425g-4322438	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Персики Vegda Product в лёгком сиропе, 880г	329,99 ₽/шт	880 мл	https://www.perekrestok.ru/cat/77/p/persiki-vegda-product-v-legkom-sirope-880g-3392575	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт Экопродукт Премиум персик, 330г	194,99 ₽/шт	330 гр	https://www.perekrestok.ru/cat/77/p/desert-ekoprodukt-premium-persik-330g-3449825	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Персики Дольче Лав половинки консервированные в сиропе, 820г	279,99 ₽/шт	850 мл	https://www.perekrestok.ru/cat/77/p/persiki-dolce-lav-polovinki-konservirovannye-v-sirope-820g-3689644	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Персики Del Monte половинки в сиропе, 420г	259,99 ₽/шт	420 гр	https://www.perekrestok.ru/cat/77/p/persiki-del-monte-polovinki-v-sirope-420g-17279	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Коктейль тропический в сиропе Маркет Перекрёсток, 567г	154,99 ₽/шт	580 мл	https://www.perekrestok.ru/cat/77/p/koktejl-tropiceskij-v-sirope-market-perekrestok-567g-4086847	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мусс Лукашинские десерты Нежный яблочно-банановый, 370г	164,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/77/p/muss-lukasinskie-deserty-neznyj-ablocno-bananovyj-370g-3648268	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мусс Лукашинские десерты Фитнес яблочно-морковный, 370г	164,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/77/p/muss-lukasinskie-deserty-fitnes-ablocno-morkovnyj-370g-3648267	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
Мусс Лукашинские десерты Экзотик яблочно-манговый, 370г	184,99 ₽/шт	370 гр	https://www.perekrestok.ru/cat/77/p/muss-lukasinskie-deserty-ekzotik-ablocno-mangovyj-370g-3648266	Wed Jul  3 15:05:08 2024	none	none	none	none	none	none	none	none	none	none	none
