name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток газированный Evervess Кола, 1.5л	114,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-evervess-kola-1-5l-4279787	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток безалкогольный Добрый Кола без сахара сильногазированный, 1.5л	139,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-bezalkogolnyj-dobryj-kola-bez-sahara-silnogazirovannyj-1-5l-4274867	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сильногазированный Добрый Cola, 1.5л	164,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-silnogazirovannyj-dobryj-cola-1-5l-4255938	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток газированный Добрый Кола безалкогольный ароматизированный, 250мл	54,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-dobryj-kola-bezalkogolnyj-aromatizirovannyj-250ml-4311536	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток газированный Добрый Кола без сахара безалкогольный ароматизированный, 250мл	54,99 ₽/шт	250 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-dobryj-kola-bez-sahara-bezalkogolnyj-aromatizirovannyj-250ml-4311540	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток газированный Pepsi, 1.5л	189,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-pepsi-1-5l-3684633	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток газированный Pepsi, 1л	151,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-pepsi-1l-3684639	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сильногазированный Cool Cola Zero, 1.5л	129,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-silnogazirovannyj-cool-cola-zero-1-5l-4255568	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток Rich Cola, 330мл	74,99 ₽/шт	330 мл	https://www.perekrestok.ru/cat/209/p/napitok-rich-cola-330ml-4283430	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток газированный Любимая Кола, 1.5л	109,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/209/p/napitok-gazirovannyj-lubimaa-kola-1-5l-4279795	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток безалкогольный  Добрый Кола без сахара сильногазированный, 500мл	97,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/209/p/napitok-bezalkogolnyj-dobryj-kola-bez-sahara-silnogazirovannyj-500ml-4266830	Wed Jul  3 15:03:36 2024	none	none	none	none	none	none	none	none	none	none	none
