name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Гранола Настин Сластин Фитнес полезная, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/252/p/granola-nastin-slastin-fitnes-poleznaa-250g-4274668	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Настин Сластин Кедровые орешки и клюква, 250г	369,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/252/p/granola-nastin-slastin-kedrovye-oreski-i-klukva-250g-4274667	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Мюсли Bionova ягодные запечённые хрустящие, 400г	499,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/24/p/granola-musli-bionova-agodnye-zapecennye-hrustasie-400g-3457479	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Granolife клубника-малина, 400г	219,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/252/p/granola-granolife-klubnika-malina-400g-4019918	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Мюсли Bionova ореховые запечённые хрустящие, 400г	489,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/24/p/granola-musli-bionova-orehovye-zapecennye-hrustasie-400g-3457480	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Ол Лайт медовые шоколадные с орехами хрустящие, 280г	219,99 ₽/шт	280 гр	https://www.perekrestok.ru/cat/252/p/granola-ol-lajt-medovye-sokoladnye-s-orehami-hrustasie-280g-3457476	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Ореховая Зелёная Линия, 300г	249,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-orehovaa-zelenaa-linia-300g-4123609	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Древо Жизни с какао и бананом, 250г	329,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/65/p/granola-drevo-zizni-s-kakao-i-bananom-250g-4265472	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Mokki Мaltaat&Ruis Солод-Рожь без добавления сахара, 300г	299,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-mokki-maltaat-ruis-solod-roz-bez-dobavlenia-sahara-300g-4270912	Wed Jul  3 15:04:57 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола-мюсли Extra хрустящая с молочным шоколадом, 300г	409,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-musli-extra-hrustasaa-s-molocnym-sokoladom-300g-4290669	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Granolife клубника-малина, 50г	61,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/752/p/granola-granolife-klubnika-malina-50g-4169256	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола-мюсли Extra хрустящая с темным шоколадом и фундуком, 300г	399,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-musli-extra-hrustasaa-s-temnym-sokoladom-i-fundukom-300g-4290670	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Ягодная Зелёная Линия, 300г	269,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-agodnaa-zelenaa-linia-300g-4123610	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Granolife кокос-семена чиа, 50г	61,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/752/p/granola-granolife-kokos-semena-cia-50g-4169257	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола-мюсли Extra хрустящая с фруктами ягодами и орехами, 300г	409,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-musli-extra-hrustasaa-s-fruktami-agodami-i-orehami-300g-4290668	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Granolife кокос-семена чиа, 400г	389,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/752/p/granola-granolife-kokos-semena-cia-400g-4019921	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Granolife Кокос шоколадная, 400г	329,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/752/p/granola-granolife-kokos-sokoladnaa-400g-4331798	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
Гранола Granolife Luxe Абрикос-Груша-Облепиха-Орехи-Семена Льна, 300г	349,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/752/p/granola-granolife-luxe-abrikos-grusa-oblepiha-orehi-semena-lna-300g-4276925	Wed Jul  3 15:19:39 2024	none	none	none	none	none	none	none	none	none	none	none
