name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Гренки Фишка Чесночные, 120г	49,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/712/p/grenki-fiska-cesnocnye-120g-3687988	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Волнистые со вкусом чеснока, 75г	104,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/712/p/grenki-volnistye-so-vkusom-cesnoka-75g-3689060	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Black Бери! ржано-пшеничные со вкусом чеснока, 100г	75,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/712/p/grenki-black-beri-rzano-psenicnye-so-vkusom-cesnoka-100g-3916637	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки пшенично-ржаные с чесноком, 90г	43,99 ₽/шт	90 гр	https://www.perekrestok.ru/cat/196/p/grenki-psenicno-rzanye-s-cesnokom-90g-78030701	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки пшеничные с чесноком и прованскими травами, 85г	41,99 ₽/шт	85 гр	https://www.perekrestok.ru/cat/196/p/grenki-psenicnye-s-cesnokom-i-provanskimi-travami-85g-78030699	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Богатырские традиции Чеснок, 80г	119,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/711/p/grenki-bogatyrskie-tradicii-cesnok-80g-4349521	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Рижский Хлеб Рижские со вкусом чеснока, 170г	139,99 ₽/шт	170 гр	https://www.perekrestok.ru/cat/712/p/grenki-rizskij-hleb-rizskie-so-vkusom-cesnoka-170g-3387861	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки 5D Томат с чесноком, 45г	34,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/711/p/grenki-5d-tomat-s-cesnokom-45g-4350321	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Фишка со вкусом говядины по-японски, 120г	49,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/712/p/grenki-fiska-so-vkusom-govadiny-po-aponski-120g-3688002	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Гренцы ржано-пшеничные со вкусом крылышек барбекю, 100г	81,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/712/p/grenki-grency-rzano-psenicnye-so-vkusom-krylysek-barbeku-100g-4192519	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Крутец пшеничные с шашлыком-ржаные с томат, 100г	69,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/712/p/grenki-krutec-psenicnye-s-saslykom-rzanye-s-tomat-100g-4221847	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Фишка со вкусом альпийской сметаны с луком, 120г	49,99 ₽/шт	120 гр	https://www.perekrestok.ru/cat/712/p/grenki-fiska-so-vkusom-alpijskoj-smetany-s-lukom-120g-3687989	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Богатырские традиции Рак с укропом, 80г	119,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/711/p/grenki-bogatyrskie-tradicii-rak-s-ukropom-80g-4349524	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Палочки хлебные Деревенские гренки с аджикой, 100г	84,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/712/p/palocki-hlebnye-derevenskie-grenki-s-adzikoj-100g-3651151	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Хруст со вкусом кимчи рамен, 75г	45,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/712/p/grenki-hrust-so-vkusom-kimci-ramen-75g-4243985	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки Богатырские традиции Холодец с хреном, 80г	129,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/711/p/grenki-bogatyrskie-tradicii-holodec-s-hrenom-80g-4349522	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки 5D Малосольные огурчики, 45г	34,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/711/p/grenki-5d-malosolnye-ogurciki-45g-4350322	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
Гренки 5D Холодец с хреном, 45г	34,99 ₽/шт	45 гр	https://www.perekrestok.ru/cat/711/p/grenki-5d-holodec-s-hrenom-45g-4350320	Wed Jul  3 15:03:06 2024	none	none	none	none	none	none	none	none	none	none	none
