name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Хлеб Harry's American Sandwich сандвичный пшеничный, 470г	119,99 ₽/шт	470 гр	https://www.perekrestok.ru/cat/243/p/hleb-harrys-american-sandwich-sandvicnyj-psenicnyj-470g-2061861	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Хлеб Хлебный Дом тостовый пшеничный, 350г	75,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-tostovyj-psenicnyj-350g-4050647	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Хлеб Хлебный Дом тостовый нарезка, 500г	124,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-tostovyj-narezka-500g-36573	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Булочка для гамбургера с кунжутом 3шт Маркет, 165г	57,99 ₽/шт	165 гр	https://www.perekrestok.ru/cat/243/p/bulocka-dla-gamburgera-s-kunzutom-3st-market-165g-4317052	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Хлеб Хлебный Дом Геркулес с кукурузой нарезка, 255г	71,99 ₽/шт	255 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-gerkules-s-kukuruzoj-narezka-255g-3961492	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Булочка Бриошь 3шт Маркет, 267г	81,99 ₽/шт	267 гр	https://www.perekrestok.ru/cat/243/p/bulocka-brios-3st-market-267g-4317056	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Хлеб Хлебный Дом Геркулес с отрубями половинка нарезка, 250г	77,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/243/p/hleb-hlebnyj-dom-gerkules-s-otrubami-polovinka-narezka-250g-3266204	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Булочки BIMBO из пшеничной муки с кунжутом, 240г	114,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/243/p/bulocki-bimbo-iz-psenicnoj-muki-s-kunzutom-240g-4137972	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Хлеб Каравай Английский диетический нарезка, 200г	54,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/243/p/hleb-karavaj-anglijskij-dieticeskij-narezka-200g-3299249	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Булочки Ремесленный Хлеб Оригинальные пшеничные с кунжутом, 140г	41,99 ₽/шт	140 гр	https://www.perekrestok.ru/cat/243/p/bulocki-remeslennyj-hleb-originalnye-psenicnye-s-kunzutom-140g-4089926	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Хлеб Арнаут Воскресенский нарезка, 300г	59,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/243/p/hleb-arnaut-voskresenskij-narezka-300g-3364495	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Хлеб Каравай тостовый нарезанный, 500г	79,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/243/p/hleb-karavaj-tostovyj-narezannyj-500g-4276027	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Батон Коломенское с отрубями, 300г	54,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/243/p/baton-kolomenskoe-s-otrubami-300g-2065127	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
Батон Хлебный Дом Московский нарезка 1 сорт, 350г	41,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/243/p/baton-hlebnyj-dom-moskovskij-narezka-1-sort-350g-3177647	Wed Jul  3 15:03:54 2024	none	none	none	none	none	none	none	none	none	none	none
