name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Галеты для вина томат и петрушка Маркет Collection, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/253/p/galety-dla-vina-tomat-i-petruska-market-collection-100g-4306205	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Baker House Итальянские с семенами подсолнечника, 250г	109,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-baker-house-italanskie-s-semenami-podsolnecnika-250g-3476098	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Вкусная Фантазия Виктория пшеничные вафельные, 60г	29,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-vkusnaa-fantazia-viktoria-psenicnye-vafelnye-60g-3412317	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Вкусная Фантазия Виктория овсяные вафельные, 60г	31,99 ₽/шт	60 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-vkusnaa-fantazia-viktoria-ovsanye-vafelnye-60g-3412323	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Wasa Sesame пшеничные с посыпкой из жареного кунжута, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-wasa-sesame-psenicnye-s-posypkoj-iz-zarenogo-kunzuta-200g-4066933	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Каравай Финские ржано-пшеничные, 240г	59,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-karavaj-finskie-rzano-psenicnye-240g-3687773	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Галеты для вина с ароматными травами Маркет Collection, 100г	149,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/253/p/galety-dla-vina-s-aromatnymi-travami-market-collection-100g-4306206	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Wasa Delicate Crisp Rosemary & Sea salt тонкие пшеничные с розмарином и морской солью, 190г	239,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-wasa-delicate-crisp-rosemary-sea-salt-tonkie-psenicnye-s-rozmarinom-i-morskoj-solu-190g-4066929	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Wasa Delicate Crisp Sesame & Sea salt тонкие пшеничные с кунжутом и морской солью, 190г	239,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-wasa-delicate-crisp-sesame-sea-salt-tonkie-psenicnye-s-kunzutom-i-morskoj-solu-190g-4066928	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Cornation зерновые овсяные, 100г	89,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/251/p/hlebcy-cornation-zernovye-ovsanye-100g-4315346	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт КП Полёт слоеный со злаками, 200г	95,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/245/p/desert-kp-polet-sloenyj-so-zlakami-200g-4290112	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Десерт КП Полёт слоеный с морковью, 200г	114,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/245/p/desert-kp-polet-sloenyj-s-morkovu-200g-4290111	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Хлебцы Молодцы Лайт ржаные вафельные без дрожжей хрустящие, 70г	49,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/245/p/hlebcy-hlebcy-molodcy-lajt-rzanye-vafelnye-bez-drozzej-hrustasie-70g-3154405	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
Хлебцы Столовые хрустящие Пр!ст, 110г	22,99 ₽/шт	110 гр	https://www.perekrestok.ru/cat/253/p/hlebcy-stolovye-hrustasie-pr-st-110g-3688701	Wed Jul  3 15:03:12 2024	none	none	none	none	none	none	none	none	none	none	none
