name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Булочка Ремесленный Хлеб с абрикосовой начинкой, 75г	19,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/246/p/bulocka-remeslennyj-hleb-s-abrikosovoj-nacinkoj-75g-4095507	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Булочка Ремесленный Хлеб с лимонной начинкой, 75г	21,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/246/p/bulocka-remeslennyj-hleb-s-limonnoj-nacinkoj-75g-4095506	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Булочка Каравай Ассоль, 2х50г	39,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/246/p/bulocka-karavaj-assol-2h50g-4118655	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Бублики Каравай Украинские, 2х100г	53,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/246/p/bubliki-karavaj-ukrainskie-2h100g-2004208	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Корж Аладушкин молочный, 75г	26,99 ₽/шт	75 гр	https://www.perekrestok.ru/cat/246/p/korz-aladuskin-molocnyj-75g-3604687	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Булочка Арнаут Босоногое детство, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/246/p/bulocka-arnaut-bosonogoe-detstvo-200g-3638217	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Кольцо Аладушкин песочное, 80г	49,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/246/p/kolco-aladuskin-pesocnoe-80g-3482783	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Полоска Каравай песочная со сгущёнкой, 70г	57,99 ₽/шт	70 гр	https://www.perekrestok.ru/cat/246/p/poloska-karavaj-pesocnaa-so-sgusenkoj-70g-3257518	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Рожки Арнаут сдобные обсыпные, 200г	43,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/246/p/rozki-arnaut-sdobnye-obsypnye-200g-3416970	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Ромовая баба Аладушкин, 160г	99,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/246/p/romovaa-baba-aladuskin-160g-71813	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Слойка Хлебный Дом Франтик с яблочной начинкой, 150г	63,99 ₽/шт	150 гр	https://www.perekrestok.ru/cat/246/p/slojka-hlebnyj-dom-frantik-s-ablocnoj-nacinkoj-150g-4072688	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Слойка Аладушкин Свердловская, 100г	31,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/246/p/slojka-aladuskin-sverdlovskaa-100g-3136921	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
Штрудель Аладушкин с начинкой Абрикос-Персик, 100г	57,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/246/p/strudel-aladuskin-s-nacinkoj-abrikos-persik-100g-4254435	Wed Jul  3 15:03:58 2024	none	none	none	none	none	none	none	none	none	none	none
