name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Напиток на чайном грибе Kombucha immuno+ имбирь-мёд-лимон Зелёная Линия, 555мл	139,99 ₽/шт	555 мл	https://www.perekrestok.ru/cat/210/p/napitok-na-cajnom-gribe-kombucha-immuno-imbir-med-limon-zelenaa-linia-555ml-4124908	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Персик, 1.5л	194,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-persik-1-5l-3487484	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Лимон, 1.5л	194,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-limon-1-5l-3487487	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сокосодержащий Фрутмотив Чёрный чай лесные ягоды негазированный, 1.5л	124,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/napitok-sokosoderzasij-frutmotiv-cernyj-caj-lesnye-agody-negazirovannyj-1-5l-4312349	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Лимон, 500мл	95,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-limon-500ml-3491143	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Чай холодный чёрный с ароматом лимона и мяты безалкогольный негазированный Маркет, 1л	114,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/caj-holodnyj-cernyj-s-aromatom-limona-i-maty-bezalkogolnyj-negazirovannyj-market-1l-4322446	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сокосодержащий Фрутмотив Чёрный чай манго и ананас , 1.5л	124,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/napitok-sokosoderzasij-frutmotiv-cernyj-caj-mango-i-ananas-1-5l-4312365	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Святой Источник Черный Смородина безалкогольный негазированный, 500мл	69,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-svatoj-istocnik-cernyj-smorodina-bezalkogolnyj-negazirovannyj-500ml-4343518	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Чёрный чай Riсh tea со вкусом лимона, 1л	119,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/cernyj-caj-rish-tea-so-vkusom-limona-1l-4255800	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Лимон, 1л	149,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-limon-1l-3487476	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Персик, 1л	144,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-persik-1l-3487474	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сокосодержащий Фрутмотив Чёрный чай персик негазированный, 500мл	104,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/napitok-sokosoderzasij-frutmotiv-cernyj-caj-persik-negazirovannyj-500ml-4312356	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Чай холодный чёрный с ароматом лимона и мяты безалкогольный негазированный Маркет, 500мл	85,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/caj-holodnyj-cernyj-s-aromatom-limona-i-maty-bezalkogolnyj-negazirovannyj-market-500ml-4322450	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сокосодержащий Фрутмотив Чёрный чай лесные ягоды негазированный, 500мл	89,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/napitok-sokosoderzasij-frutmotiv-cernyj-caj-lesnye-agody-negazirovannyj-500ml-4312363	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Черноголовка Чёрный лимон-лайм, 500мл	84,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-cernogolovka-cernyj-limon-lajm-500ml-4332181	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Напиток сокосодержащий Фрутмотив Чёрный чай манго и ананас негазированный, 500мл	87,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/napitok-sokosoderzasij-frutmotiv-cernyj-caj-mango-i-ananas-negazirovannyj-500ml-4312364	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Арбуз-Мята, 500мл	77,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-arbuz-mata-500ml-4120261	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Арбуз-Мята, 1.5л	189,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-arbuz-mata-1-5l-4120260	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Зеленый, 1.5л	199,99 ₽/шт	1500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-zelenyj-1-5l-3487489	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Святой Источник Зеленый Лимон безалкогольный негазированный, 1л	134,99 ₽/шт	1000 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-svatoj-istocnik-zelenyj-limon-bezalkogolnyj-negazirovannyj-1l-4343522	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
Холодный чай Lipton Зеленый, 500мл	95,99 ₽/шт	500 мл	https://www.perekrestok.ru/cat/210/p/holodnyj-caj-lipton-zelenyj-500ml-3491144	Wed Jul  3 15:03:39 2024	none	none	none	none	none	none	none	none	none	none	none
