name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Икра Красное Золото лососевая тихоокеанская горбуша зернистая соленая, 250г	999,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/180/p/ikra-krasnoe-zoloto-lososevaa-tihookeanskaa-gorbusa-zernistaa-solenaa-250g-4320305	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра лососёвая Тунгутун, 95г	419,99 ₽/шт	95 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-tungutun-95g-3274709	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра лососёвая горбуши, 95г	259,99 ₽/шт	95 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-gorbusi-95g-3465904	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра лососёвая Красное золото, 100г	499,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-krasnoe-zoloto-100g-2046674	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра лососёвая Красное золото, 500г	2 699,00 ₽/шт	500 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-krasnoe-zoloto-500g-2046679	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра горбуши Камчатское море зернистая солёная, 200г	1 199,00 ₽/шт	200 гр	https://www.perekrestok.ru/cat/180/p/ikra-gorbusi-kamcatskoe-more-zernistaa-solenaa-200g-4180322	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра Камчатское Море лососевая зернистая соленая, 100г	679,99 ₽/шт	100 мл	https://www.perekrestok.ru/cat/180/p/ikra-kamcatskoe-more-lososevaa-zernistaa-solenaa-100g-4316773	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра форели зернистая солёная, 180г	1 249,00 ₽/шт	180 гр	https://www.perekrestok.ru/cat/180/p/ikra-foreli-zernistaa-solenaa-180g-4244343	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра лососёвая Красное Золото, 320г	2 199,00 ₽/шт	320 гр	https://www.perekrestok.ru/cat/180/p/ikra-lososevaa-krasnoe-zoloto-320g-2046677	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра горбуши Путина зернистая лососёвая 1 сорт, 440г	2 699,00 ₽/шт	440 гр	https://www.perekrestok.ru/cat/180/p/ikra-gorbusi-putina-zernistaa-lososevaa-1-sort-440g-2053738	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра Мормер кижуча зернистая, 200г	1 799,00 ₽/шт	200 гр	https://www.perekrestok.ru/cat/180/p/ikra-mormer-kizuca-zernistaa-200g-4320227	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра кеты Путина зернистая лососёвая солёная, 120г	899,99 ₽/шт	120 мл	https://www.perekrestok.ru/cat/180/p/ikra-kety-putina-zernistaa-lososevaa-solenaa-120g-3689550	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Икра горбуши зернистая солёная Маркет Collection, 160г	999,99 ₽/шт	160 гр	https://www.perekrestok.ru/cat/180/p/ikra-gorbusi-zernistaa-solenaa-market-collection-160g-4326862	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
