name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Каша овсяная с малиной моментальная Маркет, 35г	12,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-s-malinoj-momentalnaa-market-35g-4312718	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Традиционная быстрого приготовления со сливками Пр!ст, 35г	9,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-tradicionnaa-bystrogo-prigotovlenia-so-slivkami-pr-st-35g-3480286	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная с вишней моментальная Маркет, 35г	12,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-s-visnej-momentalnaa-market-35g-4312717	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная быстрого приготовления с яблоком Пр!ст, 35г	9,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-bystrogo-prigotovlenia-s-ablokom-pr-st-35g-3480288	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Увелка Ассорти быстрого приготовления, 5х40г	99,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-uvelka-assorti-bystrogo-prigotovlenia-5h40g-3424764	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Быстров Пребио Без варки с малиной и молоком, 240г	249,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/755/p/kasa-ovsanaa-bystrov-prebio-bez-varki-s-malinoj-i-molokom-240g-3220883	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья Быстров овсяные не требующие варки с клубникой и молоком, 40г	33,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/755/p/hlopa-bystrov-ovsanye-ne-trebuusie-varki-s-klubnikoj-i-molokom-40g-4349401	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные быстрого приготовления Пр!ст, 400г	49,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/755/p/hlopa-ovsanye-bystrogo-prigotovlenia-pr-st-400g-3503161	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья Быстров Ассорти овсяные не требующие варки с молоком, 240г	169,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/755/p/hlopa-bystrov-assorti-ovsanye-ne-trebuusie-varki-s-molokom-240g-4349403	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья Быстров овсяные без варки ассорти с клубникой-персиком-черникой, 240г	169,99 ₽/шт	240 гр	https://www.perekrestok.ru/cat/755/p/hlopa-bystrov-ovsanye-bez-varki-assorti-s-klubnikoj-persikom-cernikoj-240g-4349398	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
Крупа кукурузная Увелка в пакетиках, 5х80г	79,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/755/p/krupa-kukuruznaa-uvelka-v-paketikah-5h80g-2070142	Wed Jul  3 15:04:59 2024	none	none	none	none	none	none	none	none	none	none	none
