name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Хлопья овсяные Ясно Солнышко №2, 500г	69,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-asno-solnysko-no2-500g-2122915	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные Русский Продукт Геркулес Монастырский, 500г	81,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-russkij-produkt-gerkules-monastyrskij-500g-3421663	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Русский Продукт Геркулес с малиной и молоком, 35г	26,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-russkij-produkt-gerkules-s-malinoj-i-molokom-35g-3453946	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные геркулес Маркет Перекрёсток, 500г	79,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-gerkules-market-perekrestok-500g-3469028	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Русский Продукт Геркулес с вишней, 35г	21,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-russkij-produkt-gerkules-s-visnej-35g-3453942	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Русский Продукт Геркулес с клубникой, 35г	21,99 ₽/шт	35 гр	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-russkij-produkt-gerkules-s-klubnikoj-35g-3453945	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные Ясно Солнышко №3, 350г	97,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-asno-solnysko-no3-350g-2122919	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные Nordic, 500г	269,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-nordic-500g-9056	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные из голозёрного овса Зелёная Линия, 375г	179,99 ₽/шт	375 гр	https://www.perekrestok.ru/cat/251/p/hlopa-ovsanye-iz-golozernogo-ovsa-zelenaa-linia-375g-4078263	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Myllyn Paras, 500г	129,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-myllyn-paras-500g-10234	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные Клинские Экстра, 400г	69,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-klinskie-ekstra-400g-3506761	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Ясно Солнышко классическая с молоком, 6х45г	89,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-asno-solnysko-klassiceskaa-s-molokom-6h45g-3404963	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные Ясно Солнышко клюква-яблоко, 300г	134,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-asno-solnysko-klukva-abloko-300g-3451689	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Ясно Солнышко Ассорти абрикос-яблоко-изюм, 6х45г	169,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-asno-solnysko-assorti-abrikos-abloko-izum-6h45g-3232199	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья овсяные Ясно Солнышко с курагой, 300г	114,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/756/p/hlopa-ovsanye-asno-solnysko-s-kuragoj-300g-2017671	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша овсяная Ясно Солнышко Ассорти клубника-малина-изюм, 6х45г	189,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/756/p/kasa-ovsanaa-asno-solnysko-assorti-klubnika-malina-izum-6h45g-3232214	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья 4 злака Маркет Перекрёсток, 400г	65,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/756/p/hlopa-4-zlaka-market-perekrestok-400g-3621572	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья Мистраль 5 злаков, 400г	93,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/756/p/hlopa-mistral-5-zlakov-400g-3635643	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья Увелка тонкие 5 злаков, 350г	74,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/756/p/hlopa-uvelka-tonkie-5-zlakov-350g-3477325	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша льняная Champ Клубничная с коэнзимом Q10 чёрная смородина-вишня-яблоко, 40г	63,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/65/p/kasa-lnanaa-champ-klubnicnaa-s-koenzimom-q10-cernaa-smorodina-visna-abloko-40g-4000298	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья Ясно Солнышко 7 злаков, 400г	104,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/756/p/hlopa-asno-solnysko-7-zlakov-400g-3378880	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья рисовые Увелка, 400г	149,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/756/p/hlopa-risovye-uvelka-400g-3613391	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья гречневые Ясно Солнышко, 375г	99,99 ₽/шт	375 гр	https://www.perekrestok.ru/cat/756/p/hlopa-grecnevye-asno-solnysko-375g-2167769	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша гречневая Ясно Солнышко ассорти, 6х45г	209,99 ₽/шт	270 гр	https://www.perekrestok.ru/cat/756/p/kasa-grecnevaa-asno-solnysko-assorti-6h45g-4082349	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья пшенные Nordic, 500г	169,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/756/p/hlopa-psennye-nordic-500g-3019670	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Хлопья кукурузные Мистраль Фермерские цельнозерновые, 400г	109,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/756/p/hlopa-kukuruznye-mistral-fermerskie-celnozernovye-400g-3953298	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Полента кукурузная Bravolli, 300г	109,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/107/p/polenta-kukuruznaa-bravolli-300g-3694899	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
Каша Мистраль Земляника-Голубика овсяная быстрого приготовление, 40г	35,99 ₽/шт	40 гр	https://www.perekrestok.ru/cat/756/p/kasa-mistral-zemlanika-golubika-ovsanaa-bystrogo-prigotovlenie-40g-4130514	Wed Jul  3 15:04:58 2024	none	none	none	none	none	none	none	none	none	none	none
