name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Колбаса сырокопчёная Сальчичон полусухая Маркет, 100г	119,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-syrokopcenaa-salcicon-polusuhaa-market-100g-4141051	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса варёная Клинский Докторская категория А	899,99 ₽/кг	none	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-klinskij-doktorskaa-kategoria-a-2170372	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса Докторская варёная категории А в натуральной оболочке синюге Маркет Collection	859,99 ₽/кг	none	https://www.perekrestok.ru/cat/133/p/kolbasa-doktorskaa-varenaa-kategorii-a-v-naturalnoj-obolocke-sinuge-market-collection-4296145	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса варёная Папа Может Мясная, 500г	269,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-papa-mozet-masnaa-500g-3484605	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса Вязанка Молокуша вареная, 450г	169,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-vazanka-molokusa-varenaa-450g-4277253	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса варёная МД Бородина Докторская высший сорт, 500г	184,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-md-borodina-doktorskaa-vyssij-sort-500g-3347584	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса варёная Клинский Докторская, 190г	164,99 ₽/шт	190 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-klinskij-doktorskaa-190g-3639615	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса Вязанка Филейская Классическая вареная, 450г	319,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-vazanka-filejskaa-klassiceskaa-varenaa-450g-4277251	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса варёная Клинский Докторская категория А, 400г	359,99 ₽/шт	400 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-klinskij-doktorskaa-kategoria-a-400g-4221913	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса Вязанка Сливушка вареная, 375г	259,99 ₽/шт	375 гр	https://www.perekrestok.ru/cat/133/p/kolbasa-vazanka-slivuska-varenaa-375g-4258884	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
Колбаса варёная Ближние Горки Докторская категория А	549,90 ₽/кг	none	https://www.perekrestok.ru/cat/133/p/kolbasa-varenaa-bliznie-gorki-doktorskaa-kategoria-a-3035251	Wed Jul  3 15:04:10 2024	none	none	none	none	none	none	none	none	none	none	none
