name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Сода Башкирская СК пищевая 2 сорт, 450г	95,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/102/p/soda-baskirskaa-sk-pisevaa-2-sort-450g-3488341	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Разрыхлитель для теста Пр!ст, 10г	8,99 ₽/шт	10 гр	https://www.perekrestok.ru/cat/102/p/razryhlitel-dla-testa-pr-st-10g-4236368	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Разрыхлитель теста Dr.Bakers, 10г	11,99 ₽/шт	10 гр	https://www.perekrestok.ru/cat/102/p/razryhlitel-testa-dr-bakers-10g-4272749	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Сода пищевая, 500г	53,99 ₽/шт	500 гр	https://www.perekrestok.ru/cat/102/p/soda-pisevaa-500g-16038	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Разрыхлитель теста Dr. Bakers с ароматом ванили, 16г	43,99 ₽/шт	16 гр	https://www.perekrestok.ru/cat/102/p/razryhlitel-testa-dr-bakers-s-aromatom-vanili-16g-4275413	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Разрыхлитель теста Dr.Bakers для бисквита, 25г	57,99 ₽/шт	25 гр	https://www.perekrestok.ru/cat/102/p/razryhlitel-testa-dr-bakers-dla-biskvita-25g-4275396	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Разрыхлитель Dr.Bakers теста с шафраном, 12г	45,99 ₽/шт	12 гр	https://www.perekrestok.ru/cat/102/p/razryhlitel-dr-bakers-testa-s-safranom-12g-4275055	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Дрожжи сухие Саф-Момент быстродействующие хлебопекарные, 11г	29,99 ₽/шт	11 гр	https://www.perekrestok.ru/cat/102/p/drozzi-suhie-saf-moment-bystrodejstvuusie-hlebopekarnye-11g-17366	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Дрожжи Dr. Bakers быстродействующие, 7г	24,99 ₽/шт	7 гр	https://www.perekrestok.ru/cat/102/p/drozzi-dr-bakers-bystrodejstvuusie-7g-4270550	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Дрожжи ПМК хлебопекарные, 50г	6,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/102/p/drozzi-pmk-hlebopekarnye-50g-3004413	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Ванилин Haas пищевой, 1.5г	6,99 ₽/шт	1 гр	https://www.perekrestok.ru/cat/102/p/vanilin-haas-pisevoj-1-5g-3463717	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Кислота лимонная Haas, 10г	23,99 ₽/шт	10 гр	https://www.perekrestok.ru/cat/102/p/kislota-limonnaa-haas-10g-3395099	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Корица Dr. Bakers молотая, 8г	39,99 ₽/шт	8 гр	https://www.perekrestok.ru/cat/102/p/korica-dr-bakers-molotaa-8g-4272727	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Kotanyi с корицей, 50г	73,99 ₽/шт	50 гр	https://www.perekrestok.ru/cat/102/p/sahar-kotanyi-s-koricej-50g-3503457	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Пудра сахарная Пр!ст, 230г	59,99 ₽/шт	230 гр	https://www.perekrestok.ru/cat/102/p/pudra-saharnaa-pr-st-230g-4255400	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Крахмал кукурузный Пр!ст, 200г	49,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/102/p/krahmal-kukuruznyj-pr-st-200g-4268659	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Ванилин Dr.Bakers интенсив пищевой, 2г	14,99 ₽/шт	2 гр	https://www.perekrestok.ru/cat/102/p/vanilin-dr-bakers-intensiv-pisevoj-2g-4270547	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Крахмал картофельный Пр!ст, 200г	69,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/102/p/krahmal-kartofelnyj-pr-st-200g-4268660	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Стружка кокосовая высушенная Пр!ст, 80г	85,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/102/p/struzka-kokosovaa-vysusennaa-pr-st-80g-4236369	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Пудра сахарная Haas нетающая, 80г	59,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/102/p/pudra-saharnaa-haas-netausaa-80g-3613213	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Пудра сахарная Dr.Bakers со вкусом ванили, 80г	65,99 ₽/шт	80 гр	https://www.perekrestok.ru/cat/102/p/pudra-saharnaa-dr-bakers-so-vkusom-vanili-80g-4275408	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Ванилин Dr.Bakers Кокосовый пищевой, 2г	16,99 ₽/шт	2 гр	https://www.perekrestok.ru/cat/102/p/vanilin-dr-bakers-kokosovyj-pisevoj-2g-4321950	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Ванилин Dr.Bakers Мятный пищевой, 2г	17,99 ₽/шт	2 гр	https://www.perekrestok.ru/cat/102/p/vanilin-dr-bakers-matnyj-pisevoj-2g-4321953	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Корица Dr. Bakers молотая, 8г	39,99 ₽/шт	8 гр	https://www.perekrestok.ru/cat/102/p/korica-dr-bakers-molotaa-8g-4272727	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Мак кондитерский, 100г	134,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/102/p/mak-konditerskij-100g-3393241	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Какао-порошок Dr. Bakers алкализованный, 25г	93,99 ₽/шт	25 гр	https://www.perekrestok.ru/cat/102/p/kakao-porosok-dr-bakers-alkalizovannyj-25g-4275416	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Пудра сахарная Haas, 250г	71,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/102/p/pudra-saharnaa-haas-250g-67395	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Dr.Bakers Ванильный с красителями зеленый, 8г	43,99 ₽/шт	8 гр	https://www.perekrestok.ru/cat/102/p/sahar-dr-bakers-vanilnyj-s-krasitelami-zelenyj-8g-4321948	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Dr.Bakers Ванильный с красителями желтый, 8г	35,99 ₽/шт	8 гр	https://www.perekrestok.ru/cat/102/p/sahar-dr-bakers-vanilnyj-s-krasitelami-zeltyj-8g-4321949	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
Сахар Dr.Bakers Ванильный с красителями розовый, 8г	35,99 ₽/шт	8 гр	https://www.perekrestok.ru/cat/102/p/sahar-dr-bakers-vanilnyj-s-krasitelami-rozovyj-8g-4321951	Wed Jul  3 15:03:00 2024	none	none	none	none	none	none	none	none	none	none	none
