name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Конфеты Золотой Степ Славянка, 192г	139,99 ₽/шт	192 гр	https://www.perekrestok.ru/cat/193/p/konfety-zolotoj-step-slavanka-192g-3639554	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Кара-Кум, 250г	359,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-kara-kum-250g-2062117	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Ласточка, 250г	194,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-lastocka-250g-2057829	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Цитрон, 250г	119,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-citron-250g-2057831	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Маска, 250г	189,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-maska-250g-2057832	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Красная шапочка, 250г	379,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-krasnaa-sapocka-250g-2057828	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Акконд Птица дивная, 300г	249,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/193/p/konfety-akkond-ptica-divnaa-300g-3281142	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Мишка косолапый, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-miska-kosolapyj-200g-3611870	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Рот Фронт Птичье молоко настоящее, 225г	239,99 ₽/шт	225 гр	https://www.perekrestok.ru/cat/193/p/konfety-rot-front-ptice-moloko-nastoasee-225g-3291332	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты ассорти Зелёная Линия, 200г	219,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-assorti-zelenaa-linia-200g-4091384	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Буревестник, 250г	209,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-burevestnik-250g-2057826	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Желейные барбарисовый вкус, 250г	164,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-zelejnye-barbarisovyj-vkus-250g-2147861	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Коровка вафельные шоколадные, 250г	194,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-korovka-vafelnye-sokoladnye-250g-3199438	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты КФ Крупской Особый шоколад тёмный, 200г	269,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-kf-krupskoj-osobyj-sokolad-temnyj-200g-3336355	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Ferrero Rocher молочный шоколад и лесной орех, 37.5г	124,99 ₽/шт	38 гр	https://www.perekrestok.ru/cat/193/p/konfety-ferrero-rocher-molocnyj-sokolad-i-lesnoj-oreh-37-5g-67069	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты КФ Крупской Мишка на севере, 200г	259,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-kf-krupskoj-miska-na-severe-200g-97175	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Красный Октябрь Петушок-золотой гребешок, 250г	149,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-krasnyj-oktabr-petusok-zolotoj-grebesok-250g-2158966	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Победа Мишки в лесу с шоколадно-вафельной начинкой, 200г	199,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-pobeda-miski-v-lesu-s-sokoladno-vafelnoj-nacinkoj-200g-3453000	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Vandenbulcke Dark Chocolate seashells шоколадные с начинкой, 250г	399,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-vandenbulcke-dark-chocolate-seashells-sokoladnye-s-nacinkoj-250g-3638274	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Рот Фронт Грильяж в шоколаде, 200г	339,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/193/p/konfety-rot-front-grilaz-v-sokolade-200g-3611869	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
Конфеты Алёнка Крем-брюле купол, 250г	229,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/193/p/konfety-alenka-krem-brule-kupol-250g-2063089	Wed Jul  3 15:03:20 2024	none	none	none	none	none	none	none	none	none	none	none
