name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Котлеты Мираторг По-Киевски запеченные замороженные, 360г	319,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-po-kievski-zapecennye-zamorozennye-360g-4268998	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Котлеты Мираторг  Бургер Классический замороженные, 360г	289,99 ₽/шт	360 гр	https://www.perekrestok.ru/cat/60/p/kotlety-miratorg-burger-klassiceskij-zamorozennye-360g-4141124	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Котлета Ес Агро Чикенбургер для бургера, 300г	169,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/kotleta-es-agro-cikenburger-dla-burgera-300g-4333123	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Фрикадельки Веско из говядины и курицы категории Б замороженные, 450г	299,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/60/p/frikadelki-vesko-iz-govadiny-i-kuricy-kategorii-b-zamorozennye-450g-4336016	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Котлеты Морозко из мяса молодых бычков, 450г	199,99 ₽/шт	450 гр	https://www.perekrestok.ru/cat/60/p/kotlety-morozko-iz-masa-molodyh-byckov-450g-43686	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Мираторг Классические куриные, 300г	199,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-klassiceskie-kurinye-300g-3271973	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Мираторг куриные, 250г	159,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-kurinye-250g-4279631	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Палочки рыбные из филе минтая в панировке мороженые Маркет, 250г	169,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/60/p/palocki-rybnye-iz-file-mintaa-v-panirovke-morozenye-market-250g-4287737	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Вязанка Сливушки с филе индейки, 250г	129,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-vazanka-slivuski-s-file-indejki-250g-4057693	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Мираторг Хрустящие куриные, 300г	209,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-hrustasie-kurinye-300g-3271985	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Филе минтая в кляре мороженое Маркет, 300г	169,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/file-mintaa-v-klare-morozenoe-market-300g-4287735	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Мираторг куриные с ветчиной, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-kurinye-s-vetcinoj-300g-3274412	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Мираторг куриные с сыром, 300г	199,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-miratorg-kurinye-s-syrom-300g-3274411	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Вязанка Сливушки с куриным филе, 250г	129,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-vazanka-slivuski-s-kurinym-file-250g-4057687	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Филе минтая в панировке мороженое Маркет, 228г	179,99 ₽/шт	228 гр	https://www.perekrestok.ru/cat/60/p/file-mintaa-v-panirovke-morozenoe-market-228g-4287736	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Золотой петушок Хрустящие из мяса цыплёнка, 300г	219,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-zolotoj-petusok-hrustasie-iz-masa-cyplenka-300g-3477363	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
Наггетсы Золотой петушок Традиционные из мяса цыплёнка, 300г	119,99 ₽/шт	300 гр	https://www.perekrestok.ru/cat/60/p/naggetsy-zolotoj-petusok-tradicionnye-iz-masa-cyplenka-300g-3219069	Wed Jul  3 15:04:27 2024	none	none	none	none	none	none	none	none	none	none	none
