name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Палочки крабовые Vici Снежный краб, 250г	259,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/182/p/palocki-krabovye-vici-sneznyj-krab-250g-4166323	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки Vici имитация охлаждённые, 220г	89,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/182/p/krabovye-palocki-vici-imitacia-ohlazdennye-220g-3447879	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки Русское море охлаждённые, 200г	124,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/182/p/krabovye-palocki-russkoe-more-ohlazdennye-200g-3337825	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки имитация охлаждённые Пр!ст, 200г	53,90 ₽/шт	200 мл	https://www.perekrestok.ru/cat/182/p/krabovye-palocki-imitacia-ohlazdennye-pr-st-200g-3659730	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки Снежный краб имитация Новый Океан, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/182/p/krabovye-palocki-sneznyj-krab-imitacia-novyj-okean-200g-3500653	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки Русское море Королевский краб имитация охлаждённые, 250г	223,99 ₽/шт	250 гр	https://www.perekrestok.ru/cat/182/p/krabovye-palocki-russkoe-more-korolevskij-krab-imitacia-ohlazdennye-250g-3993014	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки Vici замороженные, 220г	169,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/55/p/krabovye-palocki-vici-zamorozennye-220g-3406474	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки Vici Снежный Краб с мясом натурального краба пастеризованные, 170г	205,99 ₽/шт	170 гр	https://www.perekrestok.ru/cat/182/p/krabovye-palocki-vici-sneznyj-krab-s-masom-naturalnogo-kraba-pasterizovannye-170g-4112613	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовые палочки Меридиан Фудзи краб, 200г	249,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/182/p/krabovye-palocki-meridian-fudzi-krab-200g-4074412	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Палочки Путина крабовые охлажденные пастеризованные, 100г	73,99 ₽/шт	100 гр	https://www.perekrestok.ru/cat/182/p/palocki-putina-krabovye-ohlazdennye-pasterizovannye-100g-4291954	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Палочки Путина крабовые охлажденные пастеризованные, 200г	139,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/182/p/palocki-putina-krabovye-ohlazdennye-pasterizovannye-200g-4291955	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовое мясо Русское море имитация охлаждённое, 200г	119,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/182/p/krabovoe-maso-russkoe-more-imitacia-ohlazdennoe-200g-3445265	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовое мясо Vici имитация охлаждённое, 220г	89,99 ₽/шт	220 гр	https://www.perekrestok.ru/cat/182/p/krabovoe-maso-vici-imitacia-ohlazdennoe-220g-3447878	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Рулет Европром Снежный Краб пастеризованный из фарша рыбного сурими, 350г	149,99 ₽/шт	350 гр	https://www.perekrestok.ru/cat/182/p/rulet-evroprom-sneznyj-krab-pasterizovannyj-iz-farsa-rybnogo-surimi-350g-4287387	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Крабовое мясо Снежный краб имитация Новый Океан, 200г	149,99 ₽/шт	200 гр	https://www.perekrestok.ru/cat/182/p/krabovoe-maso-sneznyj-krab-imitacia-novyj-okean-200g-3500654	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
Краб Новая Аляска камчатский в собственном соку, 330г	3 399,00 ₽/шт	330 гр	https://www.perekrestok.ru/cat/182/p/krab-novaa-alaska-kamcatskij-v-sobstvennom-soku-330g-4323494	Wed Jul  3 15:04:31 2024	none	none	none	none	none	none	none	none	none	none	none
